lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_hippocampus,DOD94_F4_Female_5xFAD_hippocampus,DOD94_F3_Female_WT_hippocampus,FAD184_F3_Female_WT_hippocampus,FAD184_F4_Female_WT_hippocampus,Blank_Blank_Blank_Blank_Blank
DG(39:6)_C18:0,-2.0038682547332796,3.715345817764773,26.149326071860962,3.16007380867616e-7,9.270507436907245e-5,DAG,2588.800193786621,2589.4401893615723,21089.381511688232,2597.580173492432,2587.7402000427246,69420.62530517578
DG(31:1)_C16:1,1.8232859641274481,9.08670245518741,25.79670488263946,3.793355297074149e-7,1.0200964619715234e-4,DAG,3142247.3413085938,368648.7060852051,125250.8090171814,143884.9900894165,945925.6959571838,988632.05859375
DG(39:7)|DG(38:0)|DG(dO-40:0)_C18:0,-1.9800718232729926,4.096125421242896,25.61868513500894,4.159916752026883e-7,1.0326193352915963e-4,DAG,6355.400508880615,2589.5601921081543,36169.40261077881,4030.780296325684,2588.3601875305176,83052.00598144531
DG(32:3)_C16:1,1.7998235396324185,8.181637493977123,25.150810139602974,5.301737667982559e-7,1.2220505324699797e-4,DAG,1658128.8932495115,200632.7957611084,72543.48545837402,76907.56525039673,504374.49139404297,532644.7174072266
DG(36:7)|DG(35:0)_C16:1,1.768757492858504,11.228932307337683,24.307496662711856,8.211884139703081e-7,1.766650007921456e-4,DAG,1551640.8192634585,423112.9627189636,200922.41047668457,328623.79473114014,230454.91889572144,15056646.359405518
DG(38:8)|DG(dO-40:8)|DG(37:1)_C18:1,1.746778868990853,7.4808289544796684,23.716351826325976,1.116300394750261e-6,2.2514383586619329e-4,DAG,170829.49340057373,277437.6010360718,158374.57176208496,2904.9802169799805,7788.440601348877,842503.0589599609
DG(33:1)|DG(O-34:1)_C16:1,1.7279092378369378,8.631561792388943,23.218438469484674,1.4460420907245946e-6,2.744928133393098e-4,DAG,2188595.5294189453,312822.4830818176,102539.9465751648,116786.80853652954,710003.7331848145,719989.2328491211
DG(30:3)_C16:1,1.702669659404698,10.246301690544364,22.55706745153293,2.0399268708311295e-6,3.6571355623178084e-4,DAG,5149777.382019043,464402.0104980469,226026.51475143436,557126.44091796875,1372817.4193649292,3883894.088623047
DG(32:2)_C16:1,1.6167423725581027,7.440790509429556,20.369331049834727,6.384484663535134e-6,0.0010843543162751513,DAG,879722.9831542969,138545.15058898926,66261.48460006714,76750.46536254883,269670.63946533203,355963.46728515625
DG(O-40:9)|DG(38:2)_C18:1,-1.6755946607009446,4.019509624479276,18.910887574209482,1.3696872755001763e-5,0.0022099904190195346,DAG,2913.500202178955,26143.421867370605,11039.820793151855,65290.84437942505,63983.42464065552,4015.200294494629
DG(37:4)_C16:1,1.427492385193551,7.938113511799503,15.920726463285988,6.605142999528274e-5,0.01014990307594178,DAG,1786008.5904846191,137014.44999694824,39429.50277709961,37313.78267669678,784492.0373497009,43886.56324768066
DG(30:2)_C16:1,1.3979874895257587,8.796307882527257,15.273737200710457,9.300059707690303e-5,0.013641496671234822,DAG,2268862.3515625,300569.56157302856,182081.0933914185,274939.0178985596,759672.7119522095,834123.8420410156
DG(36:3)_C16:1,1.3737247524192941,6.4826681379736115,14.750325538625475,1.2272633494522436e-4,0.017219038385575612,DAG,558926.3790893555,87196.18650054932,41107.26296234131,37562.12256240845,228180.0153121948,48801.16325378418
LPI(19:1)|LPI(P-20:0),-1.3520913298227253,3.4364038017937975,12.65728317624718,3.7410545157473015e-4,0.05030159550965226,PI,3208.400177001953,3853.880306243897,8234.640548706055,8530.740753173828,7898.140491485596,54542.76413726807
FA(20:0),1.2264853099788964,10.491802347183345,11.767441629919631,6.027576549567767e-4,0.07780395810182075,FA,5418943.862548828,4535527.067626953,3392550.2607421875,667555.0563964844,1352433.9182128906,258155.2587890625
FA(20:4),1.1864685727142923,7.140676800557968,11.012227548519153,9.051280603677765e-4,0.11234031733872364,FA,277741.3200683594,600203.3309326172,340877.126159668,82560.56640625,90283.065673828125,74704.64587402344
DG(40:6)|DG(dO-40:0)_C16:1,1.1790912700143206,8.985035707051404,10.876096970459912,9.741331468638868e-4,0.11642695055295417,DAG,2200883.28704834,386018.9025878906,90848.88639831544,126283.36974334715,1190345.9880371094,1100294.9600830078
DG(28:1)_C16:1,1.1611716014936029,5.957808965314276,10.546917959184611,0.0011638199072934235,0.13413024431556705,DAG,299812.6218261719,64458.744556427,56531.64400482178,53623.103801727295,95288.28688430786,87459.32675170898
[TG(45:4)]_FA16:1,-1.1720690443043047,11.745434258429517,9.68036058380676,0.0018624807451770177,0.18661451146197464,TAG,1057515.7109375,167918.03125,2389217.2697753906,692092.9968261719,256088.79711914065,20843483.146850582
DG(35:3)_C16:1,-1.1758748963452252,1.9010925018727842,9.71820946273317,0.0018245118231826603,0.18661451146197464,DAG,4836.440368652344,2931.020206451416,16072.621196746826,2921.0602111816406,2920.780204772949,5898.74040222168
DG(36:6)_C16:1,1.1099175427019656,8.33494123888753,9.635655993105503,0.0019083603589231991,0.18661451146197464,DAG,263329.57807159424,71477.50493240356,57881.50393676758,70935.70457458496,71404.4443283081,1920249.1141052248
FA(19:0),1.1152888490566,9.096333522290893,9.73039511783281,0.0018124552151807692,0.18661451146197464,FA,1737239.639038086,1811562.2534179688,1378238.7719726562,275417.8934326172,451082.4600830078,183205.93432617188
LPE(20:4),1.1246972164553324,1.4954062287881265,9.869653091512761,0.0016802718692475625,0.18661451146197464,PE,4658.220355987549,11117.981048583984,3962.140274047852,3059.520179748535,3050.1002311706543,2961.640182495117
LPE(20:5),1.1026524550994738,6.234898517675732,9.509774090171042,0.002043803228983798,0.1939809711744328,PE,240803.7984657288,110713.1079788208,166295.4091911316,17827.58118057251,15243.80089187622,176354.4186477661
[TG(63:13)|TG(62:6)]_FA22:6,1.0905082613795856,12.265937523507413,9.302288027290547,0.002288678453190351,0.21101615338415036,TAG,28902878.841796875,5047176.015625,3483530.9897460938,10591312.298828123,6968792.619140625,1656073.8100585938
[TG(63:12)|TG(62:5)]_FA22:5,1.06128953047857,12.111685557181817,8.809529223036655,0.002996613430484404,0.2648931064448948,TAG,25577164.55029297,4535241.633789063,2987563.334228516,9825324.81982422,6291452.643554688,1611737.7868652344
FA(22:0),1.0598158238628739,10.112847617923645,8.784985276288353,0.0030372001668612044,0.2648931064448948,FA,3786212.616455078,3522277.805419922,2690426.7211914062,712017.3392333984,1114148.15625,158888.591796875
FA(22:7),1.0562163110255922,10.336164572843387,8.725280951563036,0.0031382770684451724,0.2665057921019098,FA,4533875.887939453,4002105.271972656,3405907.959228516,697554.1408691406,1133892.0786132812,193464.1936035156
DG(28:2)_C16:1,1.0433091268700088,5.7584327399893285,8.51175058777335,0.003528604419738642,0.2919693964742717,DAG,257271.07974243164,69024.40483093262,49504.823638916016,51974.86365127564,99802.92771148682,54922.8239440918
FA(21:0),1.0278615502164286,10.733900895610255,8.261924018705031,0.004048519814953561,0.3266143360713785,FA,6255064.768310547,4977912.603515625,4336334.653076172,1044317.0627441406,1646577.2846679688,227035.07763671875
DG(35:5)_C16:0,-1.0664498935389106,1.1780637415981479,8.05669873895988,0.004533571499522336,0.35682524948679456,DAG,2627.300178527832,2627.240188598633,2619.2601928710938,10778.220642089844,2637.440185546875,2623.7001914978027
DG(42:9)|DG(41:2)_C16:1,1.0088794057029031,8.41070431395888,7.958563051070087,0.004786039618860465,0.3677273773824457,DAG,1990564.348876953,321697.362827301,92775.82641220091,106348.5477027893,1210034.3367004397,97521.02673339844
DG(30:1)_C16:1,1.0026729841793565,5.968493812303156,7.8598072083132156,0.005054578179908917,0.37895760208881685,DAG,275591.14111328125,63956.38442611694,53245.64349746704,58248.48365402222,103447.94772720335,98332.88702392578
LPI(19:0)|LPI(O-20:0),-1.050430174696191,6.570087403723954,7.820017386949999,0.005167069876637106,0.37895760208881685,PI,2064.1801414489746,2244.16015625,3793.000289916992,4482.10022354126,3940.180282592773,649549.9510498047
PI(29:2)|PI(P-30:1),-1.0355815834207975,10.12785135001968,7.641300721777954,0.005704676594880222,0.40908869714841056,PI,270583.85888671875,190783.65234375,647404.8453979492,467597.17578125,140226.77056884766,6661615.031005859
DG(38:9)|DG(dO-40:9)|DG(37:2)_C18:1,0.983189508783909,4.43543392421953,7.55376270411125,0.005988490099156351,0.42010559891255533,DAG,46804.60360336304,44355.76335525513,45734.58324813843,2895.060195922852,9122.700645446776,54125.684020996094
[TG(62:7)|TG(61:0)]_FA14:0,0.9757682843060513,5.266197369379986,7.441905202062173,0.006372239789518345,0.42340145679401886,TAG,130829.46478271484,109108.28868103027,66242.08502197266,63323.12449645996,35058.78298950195,15074.141052246094
[TG(63:12)|TG(62:5)]_FA22:6,0.9746490403037134,8.946418065236362,7.425921471389302,0.006429089365635861,0.42340145679401886,TAG,2715589.7318725586,542690.6159667969,400965.5833129883,1092590.8434448242,698280.6698608398,183103.4722290039
FA(19:2),0.9762819854028653,10.078064074290236,7.4509663967182895,0.006340239876061369,0.42340145679401886,FA,2318478.11328125,4372414.701171875,2992134.381835937,659318.98388671875,842054.8463134766,216946.63403320312
FA(15:2),0.971941478291933,11.876236848773638,7.384643442803991,0.006578310987762484,0.4245641911501908,FA,10787620.960205078,13507930.600952148,12160172.736083984,1262052.7935180664,2385694.484008789,63076.88415527344
DG(37:3)_C18:1,0.9443872809466237,4.8066551356114555,6.9680398384243745,0.00829783441570478,0.5250414050878299,DAG,65367.74505233765,62507.80427932739,60999.32406616211,2895.380207061768,19418.38132095337,57847.16430664063
[TG(63:11)|TG(62:4)]_FA22:5,0.9308009400790296,8.647575102848393,6.770209684615111,0.009269194383990927,0.5648596894375632,TAG,2167288.761413574,436664.88928222656,310954.20263671875,922547.1664428712,577589.421081543,158149.33099365234
FA(29:3),0.9306903864341254,10.496228440197191,6.768666622927412,0.009277212128971443,0.5648596894375632,FA,775427.9139404297,7853645.913818359,5194426.479125977,489027.1326293945,438837.4135131836,61862.46453857422
FA(15:1),0.9013834106657075,8.032719299294248,6.347076382517116,0.011757490716250079,0.7026189359507223,FA,633031.7109375,848485.07861328125,757048.75927734375,106190.36651611328,157828.37063598633,191162.11645507807
FA(18:3),0.8978909157445072,7.052781284854374,6.297552129763062,0.01209048156529174,0.709381527476299,FA,139627.34912109375,522320.8508300781,340163.64306640625,63152.144958496094,75001.28497314453,165620.63159179688
[TG(45:3)]_FA16:1,-0.9326799417595549,9.846434341925912,6.248244515456463,0.01243164518401745,0.7163735537290056,TAG,333988.26373291016,75101.325439453125,674412.2067871094,173032.73303222656,101162.76690673828,5501317.548217773
FA(15:3),0.8807122101508649,5.93048253201419,6.057148131345457,0.013850117109444459,0.7575309815623266,FA,109847.74731445312,144802.7900390625,111767.1278076172,31425.26234436035,38103.28242492676,142284.43029785156
FA(28:1),0.8818151344622233,10.409467921549595,6.073307463899255,0.013723973831797263,0.7575309815623266,FA,2010182.442138672,6142033.014526367,3182513.053222656,1362861.212524414,1533596.2138671875,140184.7899169922
LPI(20:5),0.8829304285657122,4.370446150072228,6.086024324657956,0.01362553453968742,0.7575309815623266,PI,55853.38370895386,30637.86185836792,21534.821575164795,16369.20111465454,23099.54151535034,51888.90362548828
DG(38:3)_C16:1,0.8772335648636624,5.63939301584933,6.009252001280402,0.014231058841251563,0.7653937813453132,DAG,234767.07559204104,56833.34422302246,41560.50282287598,42640.643127441406,115811.78926467896,45506.98309326172
[TG(66:8)|TG(65:1)]_FA18:1,0.8719162099682719,5.0420638706125285,5.935884884947882,0.014835617912187198,0.7721699839133562,TAG,97821.92832946776,95878.52603149414,62108.82469177246,46738.06309509277,33304.68223571777,17076.481033325195
FA(22:6),0.8733849522450273,7.872643658746924,5.957014016901667,0.014658847068791512,0.7721699839133562,FA,567966.1102294922,792737.66015625,580328.92578125,149171.7699584961,244376.1587524414,117102.00854492188
[TG(65:0)]_FA18:0,0.8672437245876208,4.8457326334109645,5.871911485615556,0.01538433848400568,0.7880200045696243,TAG,77501.3246307373,87088.9055480957,50358.86331176758,40662.66346740723,31183.541763305664,18392.92127609253
FA(14:4),0.8562350636638755,7.5383660261493945,5.724057922081556,0.016734012159660937,0.8437602693629038,FA,355928.9024658203,431468.59143066406,294501.8410644531,130238.44915771484,151971.6514892578,417901.5070800781
FA(19:1),0.847618798512102,7.1773667616082655,5.60882823416614,0.017870209021005327,0.8607039479221521,FA,290567.4736328125,505497.4969482422,345746.5244140625,102591.9662475586,139597.35107421875,105899.4874267578
FA(30:1),0.8507692643754498,9.1096155086841,5.651033781148726,0.01744508488596952,0.8607039479221521,FA,913941.9959106444,2409260.2674980164,1444838.7722473145,303231.2611846924,718744.0816345215,25251.52146911621
PC(52:4),0.8491284471765443,5.277851285711044,5.628292018136449,0.01767284295602941,0.8607039479221521,PC,128604.88666915894,106127.72804260254,72014.86590576172,65900.36459350586,37460.08247375488,13041.280754089355
DG(37:5)_C16:1,0.8297826900424053,5.542569777998629,5.373428475584658,0.02044575202296701,0.9261343503741422,DAG,193809.8336181641,58454.46415710449,44304.042892456055,43003.18318557739,93197.26676940918,57806.043853759766
DG(38:6)|DG(dO-40:6)_C18:1,-0.8555806283613746,3.4304927778366827,5.283942738126427,0.02152295640255299,0.9261343503741422,DAG,17978.081272125244,2925.200210571289,20058.26160812378,15433.221118927002,12008.12089920044,31291.182106018063
DG(38:7)|DG(37:0)_C18:1,0.8229468491527036,5.59886064094413,5.283804956935455,0.021524659522175603,0.9261343503741422,DAG,68199.36566543579,49310.64292144776,68825.76572036743,2914.800224304199,10002.440715789797,208052.99420166016
FA(16:4),0.8274552971929279,6.404086159669641,5.343357046069286,0.020801377371360855,0.9261343503741422,FA,126565.30865478516,197890.25390625,142477.24963378906,46431.083068847656,53720.04373168945,221009.85595703125
FA(20:3),0.8307262228475676,8.618064682513749,5.386465098388728,0.020293540788251612,0.9261343503741422,FA,870682.1357421875,1418022.4848632812,894835.4396972656,345625.740234375,479532.3560791016,136383.86962890625
FA(29:0),0.8309334775672355,7.956150596424832,5.389121343876466,0.020262671371073154,0.9261343503741422,FA,565072.459197998,931372.7842102052,581784.7383117676,251051.61628723145,296701.9582672119,28903.92153930664
FA(32:0),0.8277100093658802,5.150211950002684,5.346329772685294,0.020765938522716444,0.9261343503741422,FA,100580.24603271484,109052.66638946532,47408.5235748291,41202.22265625,70079.34467315674,13181.56095123291
FA(42:6),-0.8581117308864321,6.070638619874577,5.318810548404144,0.02109640707605075,0.9261343503741422,FA,101457.2689666748,102349.0273284912,287879.3359451294,71887.24576950073,117169.72875976562,10848.6806640625
PE(38:5),0.8178039783723942,8.400397293745398,5.219254904630361,0.02233812023962677,0.9484883422799418,PE,981953.8098144532,1039524.7677001952,423923.5087890625,890837.8856201172,311544.1239013672,90965.40686035156
DG(39:7)|DG(38:0)|DG(dO-40:0)_C16:1,0.8091581038343583,5.891848954892131,5.1083112647284,0.02381148657763285,0.9851239382823231,DAG,233453.1551513672,76003.62538528442,64379.92429351807,58633.08406448364,102549.38773727416,83172.62533569336
FA(16:6),0.810281150130743,6.633302997740601,5.122797720890958,0.02361351686620066,0.9851239382823231,FA,177064.19409179688,282238.45947265625,229369.49536132807,51004.36346435547,63365.22448730469,166338.65234375
[TG(37:0)]_FA14:0,-0.2517802383451723,5.187652584160202,0.4763732810554302,0.49006968007514157,0.9999676149678289,TAG,69228.68505859375,51375.2236328125,56230.22412109375,73664.12561035156,63976.16467285156,53841.62384033203
[TG(37:0)]_FA16:0,-0.18454611916300864,5.804386170209283,0.2568798991497374,0.6122718547726679,0.9999676149678289,TAG,110296.00805664062,91158.24670410156,88696.006591796875,119384.62774658205,102851.0068359375,63377.2846069336
[TG(37:0)]_FA18:0,0.16586399959631395,6.593277078464918,0.21092405590843555,0.6460441006294375,0.9999676149678289,TAG,226877.81713867188,161053.6719970703,129784.7688293457,184971.7330932617,152838.93017578125,133977.5894165039
[TG(38:0)]_FA14:0,-0.29278308253298074,8.121914074861452,0.6427997335485998,0.4226987878104286,0.9999676149678289,TAG,456290.4956054688,517832.19677734375,524732.39306640625,525860.4755859375,572308.34423828125,263183.95703125
[TG(38:0)]_FA16:0,-0.15972542995679181,6.547949046278207,0.1926879277389162,0.6606888313107179,0.9999676149678289,TAG,167817.49243164062,151199.91064453125,140993.37036132812,198229.8342285156,148569.13037109375,139112.30981445312
[TG(38:0)]_FA18:0,-0.003801040525779112,7.0529572794352,1.099655382859055e-4,0.9916331804174733,0.9999676149678289,TAG,277070.3020019531,218180.6154785156,197607.29638671875,274061.39697265625,203617.49487304688,184773.5329589844
[TG(38:1)]_FA14:0,-0.38203522885390856,11.280640196369808,1.0887770466506481,0.296742334690897,0.9999676149678289,TAG,3074246.5869140625,6324180.271362305,6419185.5390625,3620762.0290527344,6663640.892578125,49943.38360595703
[TG(38:1)]_FA16:0 | DG(40:8)|DG(39:1)_C16:0,-0.04858008940325381,6.134385063222119,0.017923713880918513,0.8934978805741853,0.9999676149678289,DAG,136707.7296142578,116379.828125,107779.80780029295,128755.36902236938,117710.80755615234,102517.0669555664
[TG(38:1)]_FA16:0 | DG(40:8)|DG(39:1)_C16:0,-0.04858008940325381,6.134385063222119,0.017923713880918513,0.8934978805741853,0.9999676149678289,TAG,89049.56640625,75728.24523925781,74092.30554199219,97232.166748046875,78575.605712890625,66849.10485839844
[TG(38:1)]_FA16:1 | DG(40:8)|DG(39:1)_C16:1,0.06819163627107451,7.085696777675957,0.03550747583267366,0.8505362336896647,0.9999676149678289,DAG,275105.79931640625,226331.1563949585,214397.91551208496,209982.3946762085,216564.09506607056,217122.51489257807
[TG(38:1)]_FA16:1 | DG(40:8)|DG(39:1)_C16:1,0.06819163627107451,7.085696777675957,0.03550747583267366,0.8505362336896647,0.9999676149678289,TAG,186898.77221679688,150277.23193359375,140820.62939453125,219155.8359375,167781.65112304688,128104.22973632812
[TG(38:1)]_FA18:0 | DG(40:8)|DG(39:1)_C18:0,-0.12027371310497915,3.956717460221144,0.1094353623196298,0.7407878856057453,0.9999676149678289,TAG,80418.44610595703,70622.32427978516,67769.16436767578,89074.56536865234,72009.84533691406,42337.40307617188
[TG(38:1)]_FA18:0 | DG(40:8)|DG(39:1)_C18:0,-0.12027371310497915,3.956717460221144,0.1094353623196298,0.7407878856057453,0.9999676149678289,DAG,22368.44166564941,32218.021991729736,23791.74161529541,29285.08220672607,29120.60201644897,20074.461338043213
[TG(38:1)]_FA18:1 | DG(40:8)|DG(39:1)_C18:1,-0.270952156880693,7.432402288792004,0.5511689207071414,0.45784046677079193,0.9999676149678289,DAG,177736.1519432068,177435.03227233887,176573.19284820557,203173.83332061768,202969.4736289978,599906.1818847656
[TG(38:1)]_FA18:1 | DG(40:8)|DG(39:1)_C18:1,-0.270952156880693,7.432402288792004,0.5511689207071414,0.45784046677079193,0.9999676149678289,TAG,1174357.0390625,683698.0705566406,572145.4814453125,860563.8864746094,779948.88232421875,448310.7956542969
[TG(39:0)]_FA14:0,-0.11508687408687278,5.752189814786358,0.10026126275988645,0.7515163335319092,0.9999676149678289,TAG,98168.267578125,113511.4051513672,125595.65075683594,101047.4653930664,83996.38604736328,38063.52276611328
[TG(39:0)]_FA16:0,-0.10346903624586024,5.517366338733451,0.08108489189413605,0.7758325473055521,0.9999676149678289,TAG,92782.326904296875,70878.42498779297,71032.48474121094,95205.28674316406,72186.56481933594,64290.10437011719
[TG(39:0)]_FA18:0,-0.13408752827260093,6.562846964376427,0.1359759061343766,0.7123147398010464,0.9999676149678289,TAG,188917.07348632807,176812.4521484375,147520.89123535156,209081.4339599609,191859.9542236328,76476.26623535156
[TG(39:1)]_FA14:0,-0.06887990603008498,5.516974522497331,0.035995740285976296,0.849524289378739,0.9999676149678289,TAG,96087.84637451172,82755.16702270508,88745.70593261719,83881.02606201172,79266.00506591797,43193.203216552734
[TG(39:1)]_FA16:0,-0.13516652412080868,5.320052911129049,0.13815075757003115,0.7101263743715458,0.9999676149678289,TAG,79489.5658569336,66411.30450439453,65632.324462890625,85682.08660888672,66565.985107421875,47120.243408203125
[TG(39:1)]_FA16:1,-0.16122906396237033,5.620884432251163,0.19630461523706802,0.65772033548517,0.9999676149678289,TAG,96649.28662109376,78587.725341796875,72082.84503173828,110338.10888671876,85152.98547363281,62350.10430908203
[TG(39:1)]_FA18:0,-0.10911789907784261,6.081703524067983,0.09015977914714313,0.7639741277383265,0.9999676149678289,TAG,121120.44982910156,130870.36865234376,102077.06701660156,145873.78930664062,126408.56884765624,72345.824951171875
[TG(39:1)]_FA18:1,-0.12735747459620578,6.697959436684984,0.12271178400203553,0.7261117508512006,0.9999676149678289,TAG,205466.83325195312,201356.9141845703,155790.0496826172,233232.6348876953,220177.8563232422,76259.26550292969
[TG(40:0)]_FA14:0,-0.3095167870108148,6.767656936656169,0.7176575942561955,0.39691333718401106,0.9999676149678289,TAG,185297.09252929688,154257.84985351562,151657.73046875,236784.39819335935,186896.333984375,178000.93212890625
[TG(40:0)]_FA16:0,-0.2904712691141995,6.988949258805882,0.632751715892482,0.42634775939767633,0.9999676149678289,TAG,228668.45678710935,200044.29443359372,196602.53442382807,290633.142578125,229988.91552734372,156035.61059570312
[TG(40:0)]_FA18:0,-0.1172347888416146,6.327983457862849,0.1040308142082722,0.7470450927812594,0.9999676149678289,TAG,153895.49267578125,135913.9697265625,126916.88916015624,163852.35205078125,137075.77026367188,102814.8074951172
[TG(40:1)]_FA14:0,-0.17413177106943484,4.891712104949701,0.22880357518542382,0.6324123819166971,0.9999676149678289,TAG,55561.06396484375,47790.003173828125,48446.50360107422,60816.92462158203,49196.22314453125,40020.12298583984
[TG(40:1)]_FA16:0,-0.5224672597449761,8.972453210912013,2.0186052469907736,0.15538180760504142,0.9999676149678289,TAG,760654.9130859375,1026197.16796875,1102522.1133422852,1311551.1776123047,1135555.0513916016,53036.68341064453
[TG(40:1)]_FA16:1,-0.3067680511479797,7.023863234558729,0.7050906561566989,0.4010784286168325,0.9999676149678289,TAG,246103.3181152344,201355.35571289065,192770.05224609372,308243.8022460937,254972.84033203125,142653.38940429688
[TG(40:1)]_FA18:0,-0.04075197049678746,5.459639719102547,0.012616717025650814,0.9105663857361671,0.9999676149678289,TAG,91358.1865234375,73036.584716796875,67184.184814453125,84652.66662597656,76786.846435546875,56847.50402832031
[TG(40:1)]_FA18:1,-0.16522414840238833,6.308572511228542,0.20612219084637215,0.6498239194923447,0.9999676149678289,TAG,155307.951171875,130349.58911132812,123861.30920410156,168575.25317382812,143164.31079101562,93546.30700683594
[TG(40:2)]_FA14:0,-0.18090469421099126,5.469046673152966,0.24688422923571807,0.6192775827795846,0.9999676149678289,TAG,82418.205810546875,86887.92626953125,78565.466064453125,96190.32720947266,87765.826416015625,32060.7021484375
[TG(40:2)]_FA16:0,-0.03770856949692794,5.209796666946556,0.010803257873703842,0.9172179780166176,0.9999676149678289,TAG,64217.12536621094,43893.44314575195,50325.3235168457,54216.20373535156,43890.48284912109,94824.2857055664
[TG(40:2)]_FA16:1,-0.6455322717000437,9.202255658716254,3.056438371215336,0.08041776171357362,0.9999676149678289,TAG,880463.9066162109,1105074.0538330078,1112482.7717285156,1443883.5083007812,1713808.1204833984,54243.9838256836
[TG(40:2)]_FA18:0,-0.06279675458937553,5.260717187771871,0.029926277230828198,0.8626576132813865,0.9999676149678289,TAG,77210.3853149414,65495.90509033203,60581.78436279297,74604.5650024414,66773.88458251953,47691.243591308594
[TG(40:2)]_FA18:1,-0.09253574772478786,5.50772741046892,0.06488989515628418,0.7989278196872662,0.9999676149678289,TAG,91287.96618652344,78429.18505859375,67600.94482421875,90188.80712890624,87807.66613769531,52584.48400878906
[TG(40:2)]_FA18:2,-0.040556774119961767,6.372208079164479,0.012497225723791416,0.9109891306918213,0.9999676149678289,TAG,174562.2530517578,138496.96997070312,136197.63061523438,159014.37145996094,139108.77014160156,101763.20703125
[TG(41:0)]_FA14:0,-0.10076066665379738,4.91927893417023,0.07690064831200516,0.7815423416371353,0.9999676149678289,TAG,63310.80462646485,51140.54376220703,49767.20364379883,62940.72412109375,53497.743408203125,32394.162384033203
[TG(41:0)]_FA16:0 | DG(42:0)_C16:0,0.04347164566903468,6.191665999242612,0.014413831091587781,0.9044375072260592,0.9999676149678289,DAG,151349.57080078125,140872.92974853516,111624.50852203368,143785.1900062561,130875.00939941406,77633.20587158203
[TG(41:0)]_FA16:0 | DG(42:0)_C16:0,0.04347164566903468,6.191665999242612,0.014413831091587781,0.9044375072260592,0.9999676149678289,TAG,91863.1865234375,82830.60540771484,81490.966064453125,103757.32653808594,81764.50592041016,44945.602966308594
[TG(41:0)]_FA18:0 | DG(42:0)_C18:0,-0.21090922726062822,5.571270828132258,0.3350276691971885,0.5627135045340267,0.9999676149678289,TAG,88377.12561035156,75029.24475097656,79688.785400390625,99576.587158203125,74516.544677734375,56546.86358642578
[TG(41:0)]_FA18:0 | DG(42:0)_C18:0,-0.21090922726062822,5.571270828132258,0.3350276691971885,0.5627135045340267,0.9999676149678289,DAG,72113.84523391724,76061.54523468018,80772.84593582153,79325.64548873901,72741.04503250122,85876.92568969727
