lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_hippocampus,DOD94_F4_Female_5xFAD_hippocampus,DOD94_F3_Female_WT_hippocampus,FAD184_F3_Female_WT_hippocampus,FAD184_F4_Female_WT_hippocampus,Blank_Blank_Blank_Blank_Blank
DG(35:6)_C16:0,-5.269788143697899,4.7632510821428005,127.61790422772185,1.3607225978378668e-29,4.3910518232227965e-26,DAG,2627.060195922852,2626.620182037353,2619.440196990967,312484.14295196533,2637.020179748535,2623.120189666748
DG(O-38:9)|DG(36:2)_C18:2,4.000075713488695,7.378847077128362,110.46068928168916,7.767045646216742e-26,1.2532128150170714e-22,DAG,3246.8002281188965,298097.9258499145,19682.9810256958,3222.020248413086,3238.7802200317383,940433.7267990112
DG(34:0)_C16:0,-3.5268293376963973,3.740577977674799,69.0252374872365,9.721146680359773e-17,1.045671344584033e-13,DAG,4017.300235748291,4104.560279846191,2619.7601928710938,135001.09184646606,7551.460651397705,3417.0002250671387
DG(O-38:8)|DG(36:1)_C18:2,2.953722181227505,4.895705865575162,64.48347798637624,9.734521550536174e-16,7.853325260895058e-13,DAG,3245.26021194458,48310.96306228638,3264.3802604675293,3221.6602363586426,3239.1802253723145,166867.05351257324
DG(38:4)_C18:1,-2.8734479722182376,2.6858100628038026,49.16181913502936,2.3569394517902276e-12,1.5211687221854127e-9,DAG,2891.660202026367,2885.700206756592,10199.060661315918,23146.281631469727,25166.701778411865,3023.700225830078
DG(38:3)_C18:1,-2.5266411593422458,2.723399445121558,39.44752481955629,3.3699462038027524e-10,1.812469399945247e-7,DAG,2892.180206298828,4379.940319061279,5401.500377655029,27021.86197662353,27494.421939849857,2901.940200805664
DG(38:5)_C18:1,-2.3545767819862697,2.331258407663853,34.86232420843959,3.5386252285525583e-9,1.6313062303627295e-6,DAG,3043.2602195739746,2885.4202194213867,10706.06077194214,14303.021015167236,16217.181201934814,4106.460289001465
DG(36:8)|DG(35:1)_C16:1,2.044983577911612,12.820976655441765,32.24985827865021,1.3556697480290825e-8,5.4684328461123114e-6,DAG,2400776.2774658203,1115678.4473724363,1002685.428226471,10605.320755004885,2983.280216217041,47492099.30102539
DG(34:4)|DG(dO-36:4)_C16:1,1.9321623602614455,8.011340537673043,28.88669670908712,7.673815587417379e-8,2.7514892111773202e-5,DAG,1857368.0333251955,329758.5263786316,69864.04468536377,78258.94566726685,559346.867111206,77399.72564697266
FA(20:6),1.8469591263876082,7.630821188933421,26.45482491979601,2.697737966624711e-7,8.705600418297942e-5,FA,986097.483947754,503529.5822753906,330038.0654296875,71865.5454711914,114515.2861328125,145130.27124023438
