type,Down,Up
CAR,0,0
CE,0,0
Cer,0,0
DAG,14,14
FA,84,1
PC,9,0
PE,5,5
PG,1,4
PI,3,14
PS,0,1
SM,0,0
TAG,28,263
TAG | DAG,1,0
