,Unnamed: 0,Class,Lipid,OzESI_Intensity,Parent_Ion,Product_Ion,Retention_Time,Sample_ID,Transition,Unnamed: 0.1,n-7,n-9,n-10,n-12,db_pos
0,11556,TAG | DAG,"[TG(42:2)]_FA18:1 | DG(44:9),DG(43:2)_C18:1",595.0,736.6,437.3,13.23,11282023_DOD94_F3_WT_cereb_O3on_01,736.6 -> 437.3,11556,654.6,626.6,612.6,584.6,
4,65606,TAG,[TG(50:3)]_FA18:1,1096.0,846.8,547.5,13.29,11282023_DOD94_F3_WT_cereb_O3on_01,846.8 -> 547.5,65606,764.8,736.8,722.8,694.8,
783,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
784,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
785,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
786,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
787,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
788,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
789,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
790,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
791,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
792,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
793,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
794,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
795,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
796,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
797,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
798,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
799,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
800,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
801,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
802,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
803,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
804,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
805,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
806,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
807,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
808,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
809,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
810,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
811,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
812,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
813,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
814,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
815,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
816,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
817,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
818,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
819,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
820,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
821,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
822,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
823,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
824,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
825,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
826,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
827,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
828,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
829,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
830,12121,,[TG(50:3)]_FA18:1,559.0,736.7,547.5,13.32,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12121,654.7,626.7,612.7,584.7,n-9
5,73488,TAG,[TG(54:5)]_FA18:1,2626.0,898.8,599.5,13.28,11282023_DOD94_F3_WT_cereb_O3on_01,898.8 -> 599.5,73488,816.8,788.8,774.8,746.8,
831,36330,,[TG(54:5)]_FA18:1,778.0,788.7,599.5,13.3,11282023_DOD94_F3_WT_cereb_O3on_01,788.7 -> 599.5,36330,706.7,678.7,664.7,636.7,n-9
832,36330,,[TG(54:5)]_FA18:1,778.0,788.7,599.5,13.3,11282023_DOD94_F3_WT_cereb_O3on_01,788.7 -> 599.5,36330,706.7,678.7,664.7,636.7,n-9
833,36330,,[TG(54:5)]_FA18:1,778.0,788.7,599.5,13.3,11282023_DOD94_F3_WT_cereb_O3on_01,788.7 -> 599.5,36330,706.7,678.7,664.7,636.7,n-9
834,36330,,[TG(54:5)]_FA18:1,778.0,788.7,599.5,13.3,11282023_DOD94_F3_WT_cereb_O3on_01,788.7 -> 599.5,36330,706.7,678.7,664.7,636.7,n-9
835,36330,,[TG(54:5)]_FA18:1,778.0,788.7,599.5,13.3,11282023_DOD94_F3_WT_cereb_O3on_01,788.7 -> 599.5,36330,706.7,678.7,664.7,636.7,n-9
836,36330,,[TG(54:5)]_FA18:1,778.0,788.7,599.5,13.3,11282023_DOD94_F3_WT_cereb_O3on_01,788.7 -> 599.5,36330,706.7,678.7,664.7,636.7,n-9
837,36330,,[TG(54:5)]_FA18:1,778.0,788.7,599.5,13.3,11282023_DOD94_F3_WT_cereb_O3on_01,788.7 -> 599.5,36330,706.7,678.7,664.7,636.7,n-9
838,36330,,[TG(54:5)]_FA18:1,778.0,788.7,599.5,13.3,11282023_DOD94_F3_WT_cereb_O3on_01,788.7 -> 599.5,36330,706.7,678.7,664.7,636.7,n-9
