,Lipid,RT (min),Crude n-9/n-7,Degummed n-9/n-7,RBD n-9/n-7
0,[TG(52:2)]_FA18:1,18.0,4.4,4.3,4.3
1,[TG(52:3)]_FA18:1,16.1,3.2,2.6,2.6
2,[TG(52:4)]_FA18:1,14.4,3.1,3.1,3.1
3,[TG(54:2)]_FA18:1,20.0,4.5,4.2,4.2
4,[TG(54:3)]_FA18:1,18.0,5.7,5.7,5.7
5,[TG(54:4)]_FA18:1,16.1,4.8,4.0,4.0
6,[TG(54:5)]_FA18:1,14.3,4.1,3.4,3.4
