#"+ESI Neutral Loss:2 (rt: 13.057-13.370 min, 10 scans) Frag=166.0V CID@22.0 -[271.2] LD_NL-MUFA_FAD173-5XFAD-M1-liverLD_100x.d "
#Point,X(Thomsons),Y(Counts)
0,700.0,41.8999977111816
1,700.1,2612.44018554688
2,700.2,3349.79614257813
3,700.3,3049.84619140625
4,700.4,1930.580078125
5,700.5,709.404052734375
6,700.6,403.510040283203
7,700.7,461.390045166016
8,700.8,288.384002685547
9,700.9,124.007995605469
10,701.0,268.790008544922
11,701.1,750.212036132813
12,701.2,1104.52209472656
13,701.3,999.822082519531
14,701.4,507.7900390625
15,701.5,105.866004943848
16,701.6,8.70200061798096
17,701.7,398.212005615234
18,701.8,1137.80200195313
19,701.9,1553.9921875
20,702.0,1927.1962890625
21,702.1,2106.73217773438
22,702.2,2001.41015625
23,702.3,1381.57019042969
24,702.4,579.028015136719
25,702.5,240.09001159668
26,702.6,102.60001373291
27,702.7,29.3800010681152
28,702.8,26.6760005950928
29,702.9,24.3860015869141
30,703.0,23.5300025939941
31,703.1,99.7099990844727
32,703.2,477.160064697266
33,703.3,978.510070800781
34,703.4,1098.08813476563
35,703.5,734.385986328125
36,703.6,360.870025634766
37,703.7,320.410003662109
38,703.8,1153.13610839844
39,703.9,3028.47412109375
40,704.0,4390.92431640625
41,704.1,4142.8837890625
42,704.2,2761.81591796875
43,704.3,1740.18811035156
44,704.4,1616.91821289063
45,704.5,1925.7880859375
46,704.6,1891.17407226563
47,704.7,1270.29614257813
48,704.8,526.758117675781
49,704.9,138.600006103516
50,705.0,34.8720016479492
51,705.1,85.8680114746094
52,705.2,123.218002319336
53,705.3,114.360008239746
54,705.4,74.2180023193359
55,705.5,56.2280044555664
56,705.6,50.8200073242188
57,705.7,107.576011657715
58,705.8,237.276031494141
59,705.9,309.916046142578
60,706.0,248.370025634766
61,706.1,112.560012817383
62,706.2,67.5100021362305
63,706.3,119.388000488281
64,706.4,157.037994384766
65,706.5,130.712005615234
66,706.6,142.412002563477
67,706.7,273.400024414063
68,706.8,362.344055175781
69,706.9,299.488037109375
70,707.0,176.214019775391
71,707.1,108.06600189209
