#"+ESI Neutral Loss:3 (rt: 13.066-13.379 min, 10 scans) Frag=166.0V CID@22.0 -[327.2] LD_NL-MUFA_FAD173-5XFAD-M1-liverLD_100x.d "
#Point,X(Thomsons),Y(Counts)
0,700.0,41.8999977111816
1,700.1,658.516052246094
2,700.2,866.3720703125
3,700.3,880.256042480469
4,700.4,748.490051269531
5,700.5,511.042053222656
6,700.6,250.070022583008
7,700.7,71.2140045166016
8,700.8,15.9440002441406
9,700.9,15.988000869751
10,701.0,26.8839988708496
11,701.1,171.501998901367
12,701.2,454.091979980469
13,701.3,590.232055664063
14,701.4,456.537994384766
15,701.5,281.740020751953
16,701.6,275.464050292969
17,701.7,310.442047119141
18,701.8,276.146057128906
19,701.9,262.602020263672
20,702.0,506.842041015625
21,702.1,1071.14208984375
22,702.2,1453.70825195313
23,702.3,1346.25012207031
24,702.4,924.2060546875
25,702.5,588.066040039063
26,702.6,362.968017578125
27,702.7,137.494018554688
28,702.8,46.0460014343262
29,702.9,125.834007263184
30,703.0,674.473999023438
31,703.1,1288.2060546875
32,703.2,1423.18408203125
33,703.3,948.304077148438
34,703.4,337.08203125
35,703.5,76.6940078735352
36,703.6,19.234001159668
37,703.7,25.4220027923584
38,703.8,36.068000793457
39,703.9,42.9180030822754
40,704.0,44.1960029602051
41,704.1,44.7099990844727
42,704.2,44.0540046691895
43,704.3,42.6860008239746
44,704.4,37.7160034179688
45,704.5,37.4939994812012
46,704.6,37.6780052185059
47,704.7,132.264007568359
48,704.8,339.676025390625
49,704.9,444.922027587891
50,705.0,335.514007568359
51,705.1,129.641998291016
52,705.2,41.2240028381348
53,705.3,40.4480056762695
54,705.4,38.680004119873
55,705.5,41.8940048217773
56,705.6,40.7540054321289
57,705.7,38.0240020751953
58,705.8,37.612003326416
59,705.9,46.3720054626465
60,706.0,59.7599983215332
61,706.1,77.8099975585938
62,706.2,107.904006958008
63,706.3,210.840042114258
64,706.4,341.880004882813
65,706.5,365.124053955078
66,706.6,241.058029174805
67,706.7,83.5420074462891
68,706.8,27.4180030822754
69,706.9,34.4200019836426
70,707.0,40.802001953125
71,707.1,46.5720024108887
72,707.2,44.4880065917969
73,707.3,43.7200012207031
74,707.4,44.1339988708496
75,707.5,40.4320030212402
76,707.6,29.8339996337891
77,707.7,45.3320045471191
78,707.8,94.4440078735352
79,707.9,190.408004760742
80,708.0,322.754028320313
81,708.1,477.966003417969
82,708.2,782.934020996094
83,708.3,1074.78198242188
84,708.4,1113.81188964844
85,708.5,920.218078613281
86,708.6,717.658081054688
87,708.7,570.328063964844
88,708.8,525.148071289063
89,708.9,447.466003417969
90,709.0,750.470092773438
91,709.1,1565.78002929688
92,709.2,2139.51806640625
