type,Down,Up
CAR,0,0
CE,0,0
Cer,0,0
DAG,9,24
FA,39,0
PC,0,0
PE,2,0
PG,0,0
PI,0,8
PS,1,1
SM,0,0
TAG,0,84
TAG | DAG,0,0
