lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_cerebellum,DOD94_F4_Female_5xFAD_cerebellum,DOD94_F3_Female_WT_cerebellum,FAD184_F3_Female_WT_cerebellum,FAD184_F4_Female_WT_cerebellum,Blank_Blank_Blank_Blank_Blank
DG(35:6)_C16:0,5.952716923245004,4.7678595837419975,136.5002995487901,1.550902352287858e-31,5.004761890832917e-28,DAG,334638.4625053406,2941.7801933288574,2695.0801887512207,2628.8401794433594,2632.840171813965,2623.120189666748
DG(34:0)_C16:0,5.376396104310285,4.30937102666872,116.8271434462122,3.1320975892346033e-27,5.053639460230032e-24,DAG,235700.91619110107,5100.6403465271,3189.440223693848,2628.3801918029785,2631.440196990967,3417.0002250671387
DG(34:1)_C16:0,4.196860255759875,4.877056625162349,78.28384389388475,8.92488243273514e-19,9.6001985368121e-16,DAG,107350.76652526855,253799.51736450195,4183.460300445557,9291.960651397703,13285.021026611328,11391.08073425293
DG(O-38:9)|DG(36:2)_C18:2,-3.8647658289257305,7.331547290742333,52.217293037247146,4.968664626474823e-13,4.008470187408563e-10,DAG,19451.301349639893,3650.600257873535,225685.57572555545,233708.99546432492,3231.3002319335938,940433.7267990112
[TG(45:4)]_FA16:1,3.137420256371731,11.872997815277607,47.0920236722377,6.773076334488816e-12,4.371343466279082e-9,TAG,5892542.677490234,6688223.224609375,1527614.0837402344,201859.4140625,229297.83325195312,20843483.146850582
[TG(45:3)]_FA16:1,2.88024932783054,9.995060399166974,40.282888662306505,2.1972505495551872e-10,1.0561609029360945e-7,TAG,1665384.770263672,1911822.678955078,454612.6278076172,84018.2060546875,130126.00970458984,5501317.548217773
DG(41:5)_C16:0,2.8770558058708455,14.253549037484333,40.2012453864613,2.2910214814231985e-10,1.0561609029360945e-7,DAG,23320561.83972931,57783027.388916016,6184170.3427734375,4349201.729457855,4236692.446502686,97858455.88134766
DG(42:11)|DG(41:4)_C16:0,2.8515382145346173,12.896600738537696,39.54633318363238,3.203674081926656e-10,1.292282032797165e-7,DAG,6397373.657211304,15675656.850952148,1702038.0168457031,1171928.4338989258,1226164.0675849917,44577926.87664795
[TG(51:8)|TG(50:1)]_FA22:5,2.7453297695504353,10.280596734623808,36.86222531547537,1.2677862260073011e-9,4.5457179459172893e-7,TAG,1682325.5158691406,2211683.857910156,354913.64532470703,260008.2769165039,169015.9116821289,6991643.872253418
DG(35:5)_C16:1,-3.098141407617153,2.663534925696334,36.46406456978707,1.5550696211510837e-9,5.018209667454547e-7,DAG,2930.4601821899414,2939.920196533203,2930.020195007324,34895.44244766235,31042.52216720581,2927.8002281188965
[TG(51:9)|TG(50:2)]_FA22:6,2.6963343275870892,10.748020491212069,35.64767844277958,2.364294753541455e-9,6.935981063343886e-7,TAG,2210276.6618652344,3131029.305053711,494871.1936645508,393123.1095581055,217929.5346069336,9681670.674682615
