type,Down,Up
CAR,7,0
CE,0,0
Cer,21,0
DAG,26,36
FA,110,0
PC,14,56
PE,10,25
PG,5,11
PI,4,12
PS,0,15
SM,1,0
TAG,84,146
TAG | DAG,1,0
