lipid,logFC,logCPM,LR,PValue,FDR,type,FAD185_M1_Male_5xFAD_hippocampus,FAD185_M3_Male_5xFAD_hippocampus,FAD189_M1_Male_5xFAD_hippocampus,FAD189_M2_Male_5xFAD_hippocampus,FAD185_M4_Male_WT_hippocampus,FAD189_M3_Male_WT_hippocampus,Blank_Blank_Blank_Blank_Blank
DG(36:8)|DG(35:1)_C16:1,-6.031684133374837,12.43679148784796,299.3669089784444,4.525859400238906e-67,1.460494828457095e-63,DAG,2927.120204925537,3039.580223083496,3052.840217590332,2921.0602226257324,235055.37544250488,13650.041091918943,47492099.30102539
[TG(51:5)]_FA16:0,-4.872870754168521,8.680447342012373,212.5342484303619,3.845740998796457e-48,6.205103101558084e-45,TAG,178758.43466186523,148210.54956054688,81822.72570800781,112672.90786743164,2732314.543823242,2131708.7568969727,39190.08248901367
[TG(51:6)]_FA16:1,-4.8393755401955065,8.929677583010358,210.0983870429518,1.307376171558627e-47,1.4063009685398966e-44,TAG,235628.35778808597,166777.21270751953,90604.30615234376,140699.15106201172,2921303.8751220703,2860349.9962158203,41019.22302246094
[TG(38:1)]_FA14:0,-4.423184643641623,9.898620656279597,180.33917511348773,4.0866270659328283e-41,3.2968863854413094e-38,TAG,523998.888671875,391473.1638183594,290212.60119628906,418595.0930175781,2959342.0509033203,8168069.145141602,49943.38360595703
[TG(46:6)]_FA22:5,-4.249150858820918,12.630504881428243,168.2164447414599,1.814364366921731e-38,1.1694227695306762e-35,TAG,3537173.938842773,3074289.003540039,3001405.6555786133,2491813.448486328,17359756.292114258,56144623.94042969,55422.98370361328
[TG(51:4)]_FA14:0,-4.244016988876136,8.116574041834964,167.85659820187811,2.174321852241728e-38,1.1694227695306762e-35,TAG,173716.59295654297,129466.10809326172,92858.4071044922,117728.94714355467,1697107.4505004885,1406813.5804748535,82697.70608520508
[TG(53:8)|TG(52:1)]_FA18:3,-4.232664627109093,8.399897849545319,167.07462353079063,3.222030690929449e-38,1.4853561485184758e-35,TAG,213100.61627197263,172342.15173339844,119528.40829467772,139670.43029785156,2189673.580200196,1671665.2318725586,35997.24267578125
[TG(53:7)|TG(52:0)]_FA18:2,-4.190462125594255,8.01851655131104,164.17055173141216,1.3883655095264113e-37,5.600319374052161e-35,TAG,164086.3114013672,127228.1098022461,100502.58728027344,114746.76818847656,1661859.4553833008,1287158.9397583008,32808.362396240234
LPE(20:2),5.470863846575514,5.216846006286543,151.48377107965155,8.215858923138424e-35,2.945841860551966e-32,PE,386055.4677848816,342430.14724731445,10192.700828552246,2125.4401359558105,3187.380271911621,2087.800148010254,2000.340129852295
DG(35:6)_C16:0,5.31950879017622,5.066344312183763,145.6026592233311,1.585646976880607e-33,5.116882794393719e-31,DAG,384453.9259910584,273101.8372077942,3007.7002029418945,2629.8601837158203,2630.080173492432,2628.780174255371,2623.120189666748
[TG(52:5)]_FA18:0,-3.813153866637312,7.415175444825407,138.8444199136602,4.763428327292885e-32,1.3974166556521946e-29,TAG,128432.0085144043,104457.52661132812,81759.24615478516,104581.62664794922,1036941.0848999023,842065.9384765625,26629.72183227539
PE(44:1),-3.747264642483044,7.6636061338200365,134.54943123780868,4.142776258042688e-31,1.1140615820586462e-28,PE,161322.22917175293,137036.60969161987,91430.88668823242,118894.1287498474,1178938.33146286,997330.02759552,64799.24423217773
[TG(52:6)]_FA18:1,-3.6527473001933464,7.305807376429289,128.45774096823334,8.912477715334881e-30,2.2123511990296662e-27,TAG,131967.18701171875,112161.5473022461,87690.1060180664,96259.62655639648,976454.0100097656,739445.55419921875,25199.92176818848
[TG(52:7)|TG(51:0)]_FA18:2,-3.462018593962966,7.1806934795224455,116.44143359856571,3.804498389329594e-27,8.769368787404714e-25,TAG,126505.8480834961,110327.00775146484,86249.22595214844,113300.70819091795,865282.1577758789,667690.5902099609,31425.24237060547
DG(37:3)_C18:1,-3.446341024060814,3.550956447451239,115.31485343050417,6.7144024327937e-27,1.4444917767083513e-24,DAG,6818.940452575684,2897.8402137756348,2891.4002113342285,2893.7402114868164,51070.223709106445,2887.9602088928223,57847.16430664063
[TG(52:8)|TG(51:1)]_FA18:3,-3.39552248813546,7.315653523758194,112.3440085661433,3.003933541991527e-26,6.058558462504162e-24,TAG,144048.47119140625,128617.65014648438,101294.80725097656,123401.98846435548,923924.6457519532,744321.2060546875,36916.682678222656
LPC(24:1),-3.2942292678230753,9.783071069918373,106.20146195355483,6.660749329233747e-25,1.264366946202194e-22,PC,947463.6771240234,703872.4908447266,598382.2253417969,706272.10205078125,4545923.9130859375,4707881.474853516,98224.22705078124
DG(37:4)_C18:1,-3.280407744149924,3.1207394159250383,105.19671392140299,1.1059313886098209e-24,1.8547280008842425e-22,DAG,5060.680309295654,2898.2801780700684,2890.740196228028,2894.920223236084,37807.78257751465,4800.820365905762,40262.78248596192
LPC(24:0),-3.276938525457234,9.788021598935847,105.16415604888607,1.1242529394324427e-24,1.8547280008842425e-22,PC,962746.7464599608,714065.1926269531,600970.9619140625,718077.5908203125,4565285.9443359375,4701352.3974609375,98562.5264892578
LPE(20:1),4.256964585862563,3.786432991665667,105.1201399514702,1.1495060433122049e-24,1.8547280008842425e-22,PE,86616.38613510132,171943.6100578308,7805.120422363281,3642.240261077881,2318.440174102783,2107.780139923096,2031.0601501464844
[TG(46:6)]_FA22:6,-3.2581124946578406,8.69696198061462,104.03787810612994,1.984849575803734e-24,3.050052181485071e-22,TAG,391530.60232543945,327047.94244384766,390501.046875,310354.959564209,854610.526550293,3487472.8237304688,48950.82318115234
DG(37:5)_C18:1,-3.251236009239549,3.6059478867505357,103.50622194518337,2.5957765566727862e-24,3.807532249265037e-22,DAG,6905.040473937988,2896.9002227783203,2890.8602142333984,6792.460395812988,30324.10218429565,29078.30210113525,56453.1436920166
PC(22:0),-3.235487670480555,9.418208625573213,102.69170888271015,3.9157985030459124e-24,5.4940355518822435e-22,PC,742475.70751953125,560010.240234375,475063.4091796875,587647.1022949219,3554628.092773437,3554114.2106933594,98047.44714355467
DG(38:8)|DG(dO-40:8)|DG(37:1)_C18:1,4.139158912935437,6.837344725413934,100.79216342374166,1.0215971020206348e-23,1.3736224367585786e-21,DAG,69014.60486602783,122716.78902053832,126053.36786651611,2979.200206756592,2882.060218811035,2899.320209503174,842503.0589599609
[TG(46:5)]_FA22:5,-3.1995755531039434,8.544177156677538,100.5658203645653,1.1452712474538255e-23,1.478316126213398e-21,TAG,331557.5242919922,312750.70404052734,371034.56719970703,303534.88412475586,769967.9580688477,3102810.694213867,48261.743408203125
PI(35:5)|PI(O-36:5)|PI(P-36:4),-3.1465748808671705,6.655262630381257,97.45372660032808,5.512968229612697e-23,6.84244172190776e-21,PI,109441.62689208984,90236.58599853516,74545.58480834961,80061.4253540039,553821.1786499023,446469.6868896485,43434.64291381836
