Lipid,Class,DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M3-5xFAD-cerebellum10x_01202023,DOD99-M1-5xFAD-cerebellum10x_01202023,M1FAD173-5xFAD-Cerebellum10x_01182023,M2FAD173-5xFAD-Cerebellum10x_01192023,DOD100-M2-5xFAD-hippo10x_01202023,DOD100-M3-5xFAD-hippo10x_01202023,DOD99-M1-5xFAD-hippo10x_01202023,M1FAD173-5xFAD-Hippo10x_01182023,M2FAD173-5xFAD-Hippo10x_01192023,10xBlank_01202023,Title1,Title2,Title,length1,length2,Blank_name
(11Z)-eicoseneoylcarnitine,CAR,1256930.4736328125,1313193.267578125,1370506.4516601562,1476902.5249023438,1624465.5419921875,1324620.29296875,1469218.4106445312,1479341.6264648438,1496397.3359375,1650848.89453125,1770335.1005859375,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"(11Z,14Z)-eicosadienoylcarnitine",CAR,1262933.6362304688,1288290.3208007812,1349906.3383789062,1447970.6625976562,1569963.0502929688,1322329.38671875,1437470.2348632812,1481437.8369140625,1510009.1274414062,1611557.333984375,1833013.6752929688,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"(13Z,16Z)-docosadienoylcarnitine",CAR,1200177.8431396484,1229167.669921875,1293432.1517333984,1486547.2768554688,1530059.8298339844,1265010.6803588867,1427897.3614501953,1472655.911315918,1561466.8793945312,1541192.444946289,1846519.2565917969,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",CAR,1939767.9885253906,2430496.0634765625,2140645.078491211,2665311.731689453,2279392.241455078,2194784.690185547,2492220.4825439453,2412503.1643066406,2579735.21484375,2093678.0153808594,2077579.7651367188,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"(5Z,8Z)-tetradecadienoylcarnitine",CAR,154140949.5595703,92351915.6875,63344919.2109375,16220704.654785156,24353723.305664062,30582186.538085938,28337082.129882812,139608184.45239258,26376597.729492188,25367756.571044922,1785924.2541503906,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"(7Z,10Z)-hexadecadienoylcarnitine",CAR,1559599.7697753906,1588900.2687988281,1693150.3903808594,1906106.0573730469,1901348.1828613281,1606353.2426757812,1873921.4216308594,1902876.1496582031,2005393.2492675781,1818268.4250488281,2578376.0740966797,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",CAR,1049124.5791015625,1070540.3215332031,1140392.4146728516,1251955.5372314453,1374031.0412597656,1110796.737915039,1253343.1610107422,1276397.7185058594,1314163.5539550781,1433375.4030761719,1684194.2908935547,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
(9Z)-3-hydroxyoctadecenoylcarnitine,CAR,10822962.869628906,19673378.95703125,18254947.068847656,15744826.903320312,13176578.108886719,23314671.77001953,12741658.968261719,19088064.09716797,16634745.890625,15611679.194824219,2395006.220703125,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",CAR,4548090.254638672,7191994.978515625,7154281.061279297,6230783.154052734,5983506.459472656,8245887.214111328,5412256.6162109375,7534727.410644531,6695696.98828125,6682941.8681640625,2817110.0759277344,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",CAR,10354077.518066406,18743120.123535156,17230450.004882812,14976742.081542969,12457421.822753906,22132601.1640625,12139073.696289062,18102972.64501953,15758916.812988281,14440797.770507812,2155070.9477539062,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
1-O-behenoyl-Cer(d18:1/16:0),Cer,29398.342208862305,33126.942710876465,46202.783599853516,39305.7628326416,36187.022552490234,42416.122787475586,30153.32243347168,25673.94190979004,38013.282623291016,29481.562602996826,22294.401321411133,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
1-O-carboceroyl-Cer(d18:1/16:0),Cer,68731.26498031616,46299.72317123413,75554.60557937622,168528.36987304688,99853.7479057312,63292.42442703247,81261.78657150269,59303.043910980225,157176.4503211975,59104.12437057495,49086.90395736694,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
1-O-carboceroyl-Cer(d18:1/18:0),Cer,23379.941871643066,18910.121425628662,23674.221508026123,19387.241500854492,22414.021717071533,23518.86159515381,24620.981536865234,18542.74126815796,20872.98154449463,19351.66135406494,32565.38228225708,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
1-O-cerotoyl-Cer(d18:1/16:0),Cer,80859.80527496338,67606.82591247559,69276.28416442871,121797.58711624146,102118.72706985474,71531.56502151489,94600.40604019165,48290.72343444824,129686.40884780884,90206.18699645996,104272.36771011353,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
1-O-cerotoyl-Cer(d18:1/18:0),Cer,286598.67964172363,210867.73253631592,259933.4981918335,272286.04024124146,300706.4411582947,242689.6378440857,319763.26332473755,188144.5944366455,290259.72340393066,254315.69579315186,544596.580368042,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: hippoBlank1,5,5,10xBlank_01202023
