Lipid,Class,DOD100-M2-5xFAD-cortex10x_01202023,DOD99-M1-5xFAD-cortex10x_01202023,M1FAD173-5xFAD-Cortex10x_01182023,M2FAD173-5xFAD-Cortex10x_01192023,DOD100-M2-5xFAD-diencephalon10x_01202023,DOD100-M3-5xFAD-diencephalon10x_01202023,DOD99-M1-5xFAD-diencephalon10x_01202023,M1FAD173-5xFAD-Diencephalon10x_01182023,M2FAD173-5xFAD-Diencephalon10x_01192023,10xBlank_01202023,Title1,Title2,Title,length1,length2,Blank_name
(11Z)-eicoseneoylcarnitine,CAR,1461574.3852539062,1395572.740234375,1457662.7182617188,1408961.5532226562,1498962.5366210938,1640511.7080078125,1468215.3647460938,1455302.6083984375,1517652.2963867188,1770335.1005859375,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
"(11Z,14Z)-eicosadienoylcarnitine",CAR,1429124.1762695312,1350856.4809570312,1431788.9677734375,1357653.3920898438,1490627.2612304688,1620460.4702148438,1434255.701171875,1426995.7827148438,1442118.8286132812,1833013.6752929688,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
"(13Z,16Z)-docosadienoylcarnitine",CAR,1420361.1004638672,1281745.7750854492,1508125.2795410156,1349872.0334472656,1468592.0839233398,1801727.1483154297,1494908.485961914,1415503.9500732422,1514023.7989501953,1846519.2565917969,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",CAR,2184246.087890625,2205746.576171875,2470854.0014648438,2018780.2897949219,2392796.6845703125,2414485.858154297,2782494.2834472656,2515677.2600097656,2177589.061767578,2077579.7651367188,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
"(5Z,8Z)-tetradecadienoylcarnitine",CAR,29948597.337890625,26648913.84375,16632944.549316406,65346110.588378906,24583201.19921875,20847168.3828125,28155528.892578125,22671427.51611328,34723637.06933594,1785924.2541503906,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
"(7Z,10Z)-hexadecadienoylcarnitine",CAR,1770713.4094238281,1717515.3078613281,1811327.671875,1667394.3842773438,1929676.4936523438,1850445.7600097656,1793115.1359863281,1852051.1657714844,1707312.4143066406,2578376.0740966797,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",CAR,1260946.1431884766,1137990.1825561523,1271184.7647705078,1143505.6591796875,1291661.7513427734,1585961.4837646484,1354965.4031982422,1177180.6912841797,1447871.6550292969,1684194.2908935547,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
(9Z)-3-hydroxyoctadecenoylcarnitine,CAR,17311510.770996094,20298427.107910156,20722991.56201172,21033323.51171875,16167813.693847656,18424387.296875,16605329.997558594,25047980.522460938,24543649.78955078,2395006.220703125,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",CAR,6556788.756103516,7579394.700439453,7847061.452392578,7985043.2802734375,6473824.611083984,7022553.862060547,6461878.519042969,9142425.646728516,9132833.381347656,2817110.0759277344,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",CAR,16470506.173828125,19040901.25390625,19527801.967285156,19669121.095703125,15425044.841796875,17616816.35986328,15560660.842773438,23578611.47607422,23004359.768066406,2155070.9477539062,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: diencephalon,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: diencephalonBlank1,4,5,10xBlank_01202023
