Lipid,Class,DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M3-5xFAD-cerebellum10x_01202023,DOD99-M1-5xFAD-cerebellum10x_01202023,M1FAD173-5xFAD-Cerebellum10x_01182023,M2FAD173-5xFAD-Cerebellum10x_01192023,DOD100-M2-5xFAD-cortex10x_01202023,DOD99-M1-5xFAD-cortex10x_01202023,M1FAD173-5xFAD-Cortex10x_01182023,M2FAD173-5xFAD-Cortex10x_01192023,10xBlank_01202023,Title1,Title2,Title,length1,length2,Blank_name
(11Z)-eicoseneoylcarnitine,CAR,1256930.4736328125,1313193.267578125,1370506.4516601562,1476902.5249023438,1624465.5419921875,1461574.3852539062,1395572.740234375,1457662.7182617188,1408961.5532226562,1770335.1005859375,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
"(11Z,14Z)-eicosadienoylcarnitine",CAR,1262933.6362304688,1288290.3208007812,1349906.3383789062,1447970.6625976562,1569963.0502929688,1429124.1762695312,1350856.4809570312,1431788.9677734375,1357653.3920898438,1833013.6752929688,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
"(13Z,16Z)-docosadienoylcarnitine",CAR,1200177.8431396484,1229167.669921875,1293432.1517333984,1486547.2768554688,1530059.8298339844,1420361.1004638672,1281745.7750854492,1508125.2795410156,1349872.0334472656,1846519.2565917969,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",CAR,1939767.9885253906,2430496.0634765625,2140645.078491211,2665311.731689453,2279392.241455078,2184246.087890625,2205746.576171875,2470854.0014648438,2018780.2897949219,2077579.7651367188,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
"(5Z,8Z)-tetradecadienoylcarnitine",CAR,154140949.5595703,92351915.6875,63344919.2109375,16220704.654785156,24353723.305664062,29948597.337890625,26648913.84375,16632944.549316406,65346110.588378906,1785924.2541503906,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
"(7Z,10Z)-hexadecadienoylcarnitine",CAR,1559599.7697753906,1588900.2687988281,1693150.3903808594,1906106.0573730469,1901348.1828613281,1770713.4094238281,1717515.3078613281,1811327.671875,1667394.3842773438,2578376.0740966797,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",CAR,1049124.5791015625,1070540.3215332031,1140392.4146728516,1251955.5372314453,1374031.0412597656,1260946.1431884766,1137990.1825561523,1271184.7647705078,1143505.6591796875,1684194.2908935547,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
(9Z)-3-hydroxyoctadecenoylcarnitine,CAR,10822962.869628906,19673378.95703125,18254947.068847656,15744826.903320312,13176578.108886719,17311510.770996094,20298427.107910156,20722991.56201172,21033323.51171875,2395006.220703125,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",CAR,4548090.254638672,7191994.978515625,7154281.061279297,6230783.154052734,5983506.459472656,6556788.756103516,7579394.700439453,7847061.452392578,7985043.2802734375,2817110.0759277344,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",CAR,10354077.518066406,18743120.123535156,17230450.004882812,14976742.081542969,12457421.822753906,16470506.173828125,19040901.25390625,19527801.967285156,19669121.095703125,2155070.9477539062,Genotype: 5xFAD | Brain Region: cerebellum,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD__Brain Region: cerebellum vs Genotype: 5xFAD__Brain Region: cortexBlank1,5,4,10xBlank_01202023
