Gene,Reaction,Lipid 1,Lipid 2,T-Statistic,P-Value,Z-Score
"CEPT1,CHPT1,PLD1,PLPP1,PLPP2",85,P-PE,P-PC,0.6806060517350745,0.503326842384326,0.6692643834062162
CERK,41,Cer,Cer1P,-0.3182506377187452,0.7532734402257352,0.31432601689237905
"CERT1,SGMS1,SGMS2",17,Cer,SM,0.6587185447929428,0.5154113217072893,0.6504349282723949
"CRLS1,LPGAT1",32,LPG,PG,-0.20470670323384554,0.8392404792702279,0.20286509225515434
"CRLS1,PLA2G4D,PLA2G4F",33,PG,LPG,0.5752455137983244,0.5696743939277611,0.5685311006026255
"LPCAT1,LPCAT2,LPCAT3,LPCAT4",22,LPC,PC,0.6323337990728178,0.5321474489158808,0.6247312660177003
"LPCAT3,LPCAT4,MBOAT1",30,LPS,PS,0.26350711801479343,0.7941844851245873,0.2608807306615683
"LPCAT3,LPCAT4,MBOAT1,MBOAT2",26,LPE,PE,1.2228722891133808,0.23269240434192,1.1934519892551434
MBOAT7,28,LPI,PI,1.6303912066130504,0.11705063229315653,1.5672741184145325
PEDS1,84,O-PE,P-PE,-0.024193606374398203,0.9808668706332238,0.023982120182603317
PEMT,8,PE,PC,0.8634085123075952,0.39573945172605474,0.8492549337331329
PISD,6,PS,PE,-0.1575431985119342,0.8761369412456834,0.15586816242410081
"PLA2G1B,PLA2G2A,PLA2G2D,PLA2G2E,PLA2G2F,PLA2G4A,PLA2G4B,PLA2G4C,PLA2G4D,PLA2G4E,PLA2G4F",23,PC,LPC,-0.8130114735946543,0.42650703043663574,0.7951830493854236
"PLA2G2A,PLA2G2E,PLA2G2F",31,PS,LPS,-0.02409621188387979,0.9809480240314734,0.02388038035197121
PLA2G4C,27,PE,LPE,0.7756230075414712,0.447625948681197,0.7593788717575348
"PLA2G4D,PLA2G4E",29,PI,LPI,-0.8587792085049112,0.3980146037037374,0.8451723751713897
PTDSS1,9,PC,PS,0.8360931271171607,0.41062847550667503,0.8227881518553423
PTDSS2,7,PE,PS,0.23134695398198393,0.8189742914120457,0.2288644250711646
PTPA,42,Cer1P,Cer,0.24117199411602172,0.8119893359045779,0.23786044434831294
"SMPD1,SMPD2,SMPD3",18,SM,Cer,0.31801026513304403,0.7531312531739802,0.3145132519207411
