lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_cerebellum,DOD93_F4_Female_5xFAD_cortex,DOD93_F4_Female_5xFAD_diencephalon,DOD93_F4_Female_5xFAD_hippocampus,DOD94_F3_Female_WT_cerebellum,DOD94_F3_Female_WT_cortex,DOD94_F3_Female_WT_diencephalon,DOD94_F3_Female_WT_hippocampus,DOD94_F4_Female_5xFAD_cerebellum,DOD94_F4_Female_5xFAD_cortex,DOD94_F4_Female_5xFAD_diencephalon,DOD94_F4_Female_5xFAD_hippocampus,Blank_Blank_Blank_Blank_Blank
DG(35:6)_C16:0,1.970243025850362,4.075413795404012,56.945203567702265,4.48125929898137e-14,9.532462486330445e-11,DAG,334638.4625053406,2623.2201919555664,2627.0801734924316,2627.0601959228516,2695.0801887512207,44525.6035118103,2628.2201652526855,2619.440196990967,2941.7801933288574,2630.7801818847656,103629.78706359863,2626.6201820373535,2623.120189666748
FA(18:0),-2.2958374216280966,8.201252838512058,56.38333032742958,5.963379722446321e-14,9.532462486330445e-11,FA,165196.31158447266,169103.95184326172,68482.8251953125,430847.80822753906,450243.46838378906,784244.7049560547,2224399.793029785,1337041.2573242188,264344.87603759766,659083.6949462891,259828.10064697263,1529538.2463378906,142626.45068359375
DG(O-38:8)|DG(36:1)_C18:2,-1.98157063832971,3.7156899519743263,43.52162820689635,4.192994465948146e-11,4.468334435878741e-8,DAG,3228.860252380371,3257.020236968994,3236.480224609375,3245.26021194458,3342.520236968994,3238.9002227783203,30725.102615356445,3264.3802604675293,3233.420234680176,3236.080238342285,3229.9402389526367,48310.96306228638,166867.05351257324
DG(37:4)_C16:1,1.6159802560543164,7.097936252297628,38.20862437460892,6.357082857021704e-10,4.997992122415575e-7,DAG,38202.14278411865,766270.7359771729,38325.96268081665,1786008.5904846191,318890.8780708313,542675.7545471191,38204.083015441895,39429.50277709961,197078.99267196655,255512.80290222168,39209.00267410278,137014.44999694824,43886.563247680664
FA(29:3),-1.829187673659825,9.60759045541325,37.80535505543412,7.816690838935838e-10,4.997992122415575e-7,FA,840494.2980957031,623303.2073364258,669800.2587890625,775427.9139404297,2000565.202331543,569365.0314331055,823059.8135986328,5194426.479125977,126053.08672332764,1241775.5875740051,1539691.2971496582,7853645.913818359,61862.46453857422
FA(16:2),-1.6873980543113922,5.896727319016077,32.69567138502317,1.0777697038908149e-8,5.742716238898226e-6,FA,37940.742584228516,46851.96337890625,29211.581718444824,102232.1875,83160.80603027344,163644.79333496094,287682.77880859375,277902.2774658203,61548.603607177734,123172.34985351562,80565.4057006836,210021.85864257812,141914.6102294922
[TG(43:4)]_FA14:0,1.4138562991163797,5.364141069433347,29.133611068244136,6.755478158861256e-8,3.085323381982777e-5,TAG,86625.36477661133,35142.26266479492,445725.45696258545,62201.40512084961,56638.16360473633,26583.622009277344,26912.501922607426,53009.56359863281,115750.806640625,149146.42770385742,41004.462890625,49617.34393310547,20904.101501464844
[TG(53:8)|TG(52:1)]_FA14:0,1.3583872644630066,6.05925868597984,26.857421354441605,2.1903163278806134e-7,8.18180638722011e-5,TAG,74653.72540283203,96878.66595458984,717515.9384765625,94863.92584228516,92734.3466796875,80191.14630126953,70686.92517089844,67861.625244140625,188621.43231201172,112893.3882446289,91244.906005859375,132674.42950439453,53764.78381347656
FA(16:0),-1.5114626614083235,6.43799049440442,26.76022912019471,2.3032923830147323e-7,8.18180638722011e-5,FA,61157.94451904297,84782.90612792969,35831.30276489258,191858.63525390625,71500.5258178711,254970.1630859375,588931.9534912109,413173.4187011719,55567.12469482422,121016.748046875,50723.084228515625,385859.60974121094,127026.0908203125
DG(37:3)_C16:0,1.3210775806558706,9.339041572822337,25.379153472655155,4.709803450230584e-7,1.5057241630387177e-4,DAG,1729280.427886963,1085617.3080444336,5661513.271759033,1703547.8323059082,695420.4795074463,616216.1190490723,650873.919631958,239009.21829986572,1930320.427307129,491006.1948852539,1538141.663131714,2444192.6549987793,40108.38299560547
