type,Down,Up
CAR,0,84
CE,0,19
Cer,0,119
DAG,51,172
FA,0,160
PC,0,30
PE,46,14
PG,32,9
PI,53,6
PS,25,3
SM,0,41
TAG,585,116
TAG | DAG,0,1
