Sample Name,Cage,Genotype,Sex
FAD131-5xFAD-M1liver,FAD131,5xFAD,Male
FAD131-5xFAD-M2liver,FAD131,5xFAD,Male
FAD131-5xFAD-M4liver,FAD131,5xFAD,Male
FAD173-5xFAD-M1liver,FAD173,5xFAD,Male
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male
equisplash,equispash,equispash,equispash
blank_033123,blank,blank,blank
