Lipid,Class,DOD100-M2-5xFAD-cortex10x_01202023,DOD99-M1-5xFAD-cortex10x_01202023,M1FAD173-5xFAD-Cortex10x_01182023,M2FAD173-5xFAD-Cortex10x_01192023,DOD100-M2-5xFAD-hippo10x_01202023,DOD100-M3-5xFAD-hippo10x_01202023,DOD99-M1-5xFAD-hippo10x_01202023,M1FAD173-5xFAD-Hippo10x_01182023,M2FAD173-5xFAD-Hippo10x_01192023,10xBlank_01202023,Title1,Title2,Title,length1,length2,Blank_name
(11Z)-eicoseneoylcarnitine,CAR,1461574.3852539062,1395572.740234375,1457662.7182617188,1408961.5532226562,1324620.29296875,1469218.4106445312,1479341.6264648438,1496397.3359375,1650848.89453125,1770335.1005859375,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
"(11Z,14Z)-eicosadienoylcarnitine",CAR,1429124.1762695312,1350856.4809570312,1431788.9677734375,1357653.3920898438,1322329.38671875,1437470.2348632812,1481437.8369140625,1510009.1274414062,1611557.333984375,1833013.6752929688,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
"(13Z,16Z)-docosadienoylcarnitine",CAR,1420361.1004638672,1281745.7750854492,1508125.2795410156,1349872.0334472656,1265010.6803588867,1427897.3614501953,1472655.911315918,1561466.8793945312,1541192.444946289,1846519.2565917969,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",CAR,2184246.087890625,2205746.576171875,2470854.0014648438,2018780.2897949219,2194784.690185547,2492220.4825439453,2412503.1643066406,2579735.21484375,2093678.0153808594,2077579.7651367188,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
"(5Z,8Z)-tetradecadienoylcarnitine",CAR,29948597.337890625,26648913.84375,16632944.549316406,65346110.588378906,30582186.538085938,28337082.129882812,139608184.45239258,26376597.729492188,25367756.571044922,1785924.2541503906,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
"(7Z,10Z)-hexadecadienoylcarnitine",CAR,1770713.4094238281,1717515.3078613281,1811327.671875,1667394.3842773438,1606353.2426757812,1873921.4216308594,1902876.1496582031,2005393.2492675781,1818268.4250488281,2578376.0740966797,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",CAR,1260946.1431884766,1137990.1825561523,1271184.7647705078,1143505.6591796875,1110796.737915039,1253343.1610107422,1276397.7185058594,1314163.5539550781,1433375.4030761719,1684194.2908935547,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
(9Z)-3-hydroxyoctadecenoylcarnitine,CAR,17311510.770996094,20298427.107910156,20722991.56201172,21033323.51171875,23314671.77001953,12741658.968261719,19088064.09716797,16634745.890625,15611679.194824219,2395006.220703125,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",CAR,6556788.756103516,7579394.700439453,7847061.452392578,7985043.2802734375,8245887.214111328,5412256.6162109375,7534727.410644531,6695696.98828125,6682941.8681640625,2817110.0759277344,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",CAR,16470506.173828125,19040901.25390625,19527801.967285156,19669121.095703125,22132601.1640625,12139073.696289062,18102972.64501953,15758916.812988281,14440797.770507812,2155070.9477539062,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
1-O-behenoyl-Cer(d18:1/16:0),Cer,36692.462463378906,37616.98265457153,47163.46329879761,38684.44284820557,42416.122787475586,30153.32243347168,25673.94190979004,38013.282623291016,29481.562602996826,22294.401321411133,Genotype: 5xFAD | Brain Region: cortex,Genotype: 5xFAD | Brain Region: hippo,Genotype: 5xFAD__Brain Region: cortex vs Genotype: 5xFAD__Brain Region: hippoBlank1,4,5,10xBlank_01202023
