Start,End,Path,Edge_Genes,Edge_Reactions,Num_Reactions,Combo_Zscore
Cer,Cer1P,Cer -> Cer1P,CERK,41,1,0.6613196241290893
Cer,SM,Cer -> SM,"CERT1,SGMS1,SGMS2",17,1,0.5371713926132934
PE,PC,PE -> PC,PEMT,8,1,0.3047735616299134
PE,PS,PE -> PC -> PS,PEMT ; PTDSS1,8 ; 9,2,0.8559346912982292
PE,PS,PE -> PS,PTDSS2,7,1,0.4559362235801429
PS,PE,PS -> PE,PISD,6,1,0.3826210904283272
PS,PC,PS -> PE -> PC,PISD ; PEMT,6 ; 8,2,0.4860614198217493
PC,PS,PC -> PS,PTDSS1,9,1,0.9057008873096708
PC,PE,PC -> PS -> PE,PTDSS1 ; PISD,9 ; 6,2,0.9109812068102026
Cer1P,Cer,Cer1P -> Cer,PTPA,42,1,0.6449048714476548
Cer1P,SM,Cer1P -> Cer -> SM,"PTPA ; CERT1,SGMS1,SGMS2",42 ; 17,2,0.8358541421971564
SM,Cer,SM -> Cer,"SMPD1,SMPD2,SMPD3",18,1,0.800714382826584
SM,Cer1P,SM -> Cer -> Cer1P,"SMPD1,SMPD2,SMPD3 ; CERK",18 ; 41,2,1.0338141606436966
