Start,End,Path,Edge_Genes,Edge_Reactions,Num_Reactions,Combo_Zscore
Cer,Cer1P,Cer -> Cer1P,CERK,41,1,0.1098349573735421
Cer,SM,Cer -> SM,"CERT1,SGMS1,SGMS2",17,1,0.3838051728469239
PE,PC,PE -> PC,PEMT,8,1,0.4541499756637071
PE,PS,PE -> PC -> PS,PEMT ; PTDSS1,8 ; 9,2,0.34288931623980146
PE,PS,PE -> PS,PTDSS2,7,1,0.1496422627659746
PS,PE,PS -> PE,PISD,6,1,0.0089766951588487
PS,PC,PS -> PE -> PC,PISD ; PEMT,6 ; 8,2,0.32748000948697914
PC,PS,PC -> PS,PTDSS1,9,1,0.0307687457554573
PC,PE,PC -> PS -> PE,PTDSS1 ; PISD,9 ; 6,2,0.028104270791755023
Cer1P,Cer,Cer1P -> Cer,PTPA,42,1,0.5325860156384614
Cer1P,SM,Cer1P -> Cer -> SM,"PTPA ; CERT1,SGMS1,SGMS2",42 ; 17,2,0.6479864235976155
SM,Cer,SM -> Cer,"SMPD1,SMPD2,SMPD3",18,1,0.0984575235329883
SM,Cer1P,SM -> Cer -> Cer1P,"SMPD1,SMPD2,SMPD3 ; CERK",18 ; 41,2,0.14728502571917712
