Start,End,Path,Edge_Genes,Edge_Reactions,Num_Reactions,Combo_Zscore
Cer,Cer1P,Cer -> Cer1P,CERK,41,1,0.5453807866896836
Cer,SM,Cer -> SM,"CERT1,SGMS1,SGMS2",17,1,0.9276578137887392
PE,PC,PE -> PC,PEMT,8,1,1.183649544916067
PE,PS,PE -> PC -> PS,PEMT ; PTDSS1,8 ; 9,2,1.4772147850793207
PE,PS,PE -> PS,PTDSS2,7,1,0.122809951920677
PS,PE,PS -> PE,PISD,6,1,0.2927324044483102
PS,PC,PS -> PE -> PC,PISD ; PEMT,6 ; 8,2,1.043959688016965
PC,PS,PC -> PS,PTDSS1,9,1,0.9054476386811654
PC,PE,PC -> PS -> PE,PTDSS1 ; PISD,9 ; 6,2,0.8472412335792421
Cer1P,Cer,Cer1P -> Cer,PTPA,42,1,0.7017269177440415
Cer1P,SM,Cer1P -> Cer -> SM,"PTPA ; CERT1,SGMS1,SGMS2",42 ; 17,2,1.1521489928286515
SM,Cer,SM -> Cer,"SMPD1,SMPD2,SMPD3",18,1,1.5691977804082256
SM,Cer1P,SM -> Cer -> Cer1P,"SMPD1,SMPD2,SMPD3 ; CERK",18 ; 41,2,1.4952328441466642
