Start,End,Path,Edge_Genes,Edge_Reactions,Num_Reactions,Combo_Zscore
Cer,Cer1P,Cer -> Cer1P,CERK,41,1,0.5839577966223218
Cer,SM,Cer -> SM,"CERT1,SGMS1,SGMS2",17,1,0.7593455067246969
PE,PC,PE -> PC,PEMT,8,1,1.0329846781526506
PE,PS,PE -> PC -> PS,PEMT ; PTDSS1,8 ; 9,2,0.9256583189329082
PE,PS,PE -> PS,PTDSS2,7,1,0.2540891584474155
PS,PE,PS -> PE,PISD,6,1,0.020891407420512
PS,PC,PS -> PE -> PC,PISD ; PEMT,6 ; 8,2,0.7452029266391175
PC,PS,PC -> PS,PTDSS1,9,1,0.2760938706057481
PC,PE,PC -> PS -> PE,PTDSS1 ; PISD,9 ; 6,2,0.21000030400494066
Cer1P,Cer,Cer1P -> Cer,PTPA,42,1,0.6515385320380703
Cer1P,SM,Cer1P -> Cer -> SM,"PTPA ; CERT1,SGMS1,SGMS2",42 ; 17,2,0.9976456712770164
SM,Cer,SM -> Cer,"SMPD1,SMPD2,SMPD3",18,1,0.7612164076495423
SM,Cer1P,SM -> Cer -> Cer1P,"SMPD1,SMPD2,SMPD3 ; CERK",18 ; 41,2,0.9511818017178532
