Start,End,Path,Edge_Genes,Edge_Reactions,Num_Reactions,Combo_Zscore
Cer,Cer1P,Cer -> Cer1P,CERK,41,1,1.3222348798362815
Cer,SM,Cer -> SM,"CERT1,SGMS1,SGMS2",17,1,0.173327404749894
PE,PC,PE -> PC,PEMT,8,1,0.7383175908562469
PE,PS,PE -> PC -> PS,PEMT ; PTDSS1,8 ; 9,2,1.0892336001303788
PE,PS,PE -> PS,PTDSS2,7,1,0.4540296045786862
PS,PE,PS -> PE,PISD,6,1,0.2017571981428814
PS,PC,PS -> PE -> PC,PISD ; PEMT,6 ; 8,2,0.6647332581237965
PC,PS,PC -> PS,PTDSS1,9,1,0.8020913390406074
PC,PE,PC -> PS -> PE,PTDSS1 ; PISD,9 ; 6,2,0.7098281079266411
Cer1P,Cer,Cer1P -> Cer,PTPA,42,1,1.3368701187858612
Cer1P,SM,Cer1P -> Cer -> SM,"PTPA ; CERT1,SGMS1,SGMS2",42 ; 17,2,1.067870909823263
SM,Cer,SM -> Cer,"SMPD1,SMPD2,SMPD3",18,1,0.0605401582339629
SM,Cer1P,SM -> Cer -> Cer1P,"SMPD1,SMPD2,SMPD3 ; CERK",18 ; 41,2,0.9777696062749561
