Start,End,Path,Edge_Genes,Edge_Reactions,Num_Reactions,Combo_Zscore
Cer,Cer1P,Cer -> Cer1P,CERK,41,1,0.937743558531784
Cer,SM,Cer -> SM,"CERT1,SGMS1,SGMS2",17,1,0.2802945373075315
PE,PC,PE -> PC,PEMT,8,1,0.6781659001967345
PE,PS,PE -> PC -> PS,PEMT ; PTDSS1,8 ; 9,2,0.9588588690627814
PE,PS,PE -> PS,PTDSS2,7,1,0.5081652467374134
PS,PE,PS -> PE,PISD,6,1,0.5708638249408055
PS,PC,PS -> PE -> PC,PISD ; PEMT,6 ; 8,2,0.883197388548324
PC,PS,PC -> PS,PTDSS1,9,1,0.6778653168335788
PC,PE,PC -> PS -> PE,PTDSS1 ; PISD,9 ; 6,2,0.8829848440139247
Cer1P,Cer,Cer1P -> Cer,PTPA,42,1,1.0567780452579942
Cer1P,SM,Cer1P -> Cer -> SM,"PTPA ; CERT1,SGMS1,SGMS2",42 ; 17,2,0.9454530900706931
SM,Cer,SM -> Cer,"SMPD1,SMPD2,SMPD3",18,1,0.44373165622571
SM,Cer1P,SM -> Cer -> Cer1P,"SMPD1,SMPD2,SMPD3 ; CERK",18 ; 41,2,0.9768504923961661
