Start,End,Path,Edge_Genes,Edge_Reactions,Num_Reactions,Combo_Zscore
Cer,Cer1P,Cer -> Cer1P,CERK,41,1,1.324905625923954
Cer,SM,Cer -> SM,"CERT1,SGMS1,SGMS2",17,1,0.7241843109377599
PE,PC,PE -> PC,PEMT,8,1,0.5290925077848341
PE,PS,PE -> PC -> PS,PEMT ; PTDSS1,8 ; 9,2,1.2683709982484412
PE,PS,PE -> PS,PTDSS2,7,1,0.5915476416126463
PS,PE,PS -> PE,PISD,6,1,0.8720298315934235
PS,PC,PS -> PE -> PC,PISD ; PEMT,6 ; 8,2,0.990743107446325
PC,PS,PC -> PS,PTDSS1,9,1,1.2646549600588128
PC,PE,PC -> PS -> PE,PTDSS1 ; PISD,9 ; 6,2,1.5108643054354618
Cer1P,Cer,Cer1P -> Cer,PTPA,42,1,1.6051501939054738
Cer1P,SM,Cer1P -> Cer -> SM,"PTPA ; CERT1,SGMS1,SGMS2",42 ; 17,2,1.6470882240264593
SM,Cer,SM -> Cer,"SMPD1,SMPD2,SMPD3",18,1,1.0956331548682054
SM,Cer1P,SM -> Cer -> Cer1P,"SMPD1,SMPD2,SMPD3 ; CERK",18 ; 41,2,1.7115793860231538
