Start,End,Path,Edge_Genes,Edge_Reactions,Num_Reactions,Combo_Zscore
Cer,Cer1P,Cer -> Cer1P,CERK,41,1,0.570775703814524
Cer,SM,Cer -> SM,"CERT1,SGMS1,SGMS2",17,1,0.6985337390949399
PE,PC,PE -> PC,PEMT,8,1,0.5675951322366047
PE,PS,PE -> PC -> PS,PEMT ; PTDSS1,8 ; 9,2,0.47589179339597865
PE,PS,PE -> PS,PTDSS2,7,1,0.1191773653886221
PS,PE,PS -> PE,PISD,6,1,0.0997705200210593
PS,PC,PS -> PE -> PC,PISD ; PEMT,6 ; 8,2,0.47189877824237764
PC,PS,PC -> PS,PTDSS1,9,1,0.1054174962060432
PC,PE,PC -> PS -> PE,PTDSS1 ; PISD,9 ; 6,2,0.1450898376923995
Cer1P,Cer,Cer1P -> Cer,PTPA,42,1,0.5881222689233182
Cer1P,SM,Cer1P -> Cer -> SM,"PTPA ; CERT1,SGMS1,SGMS2",42 ; 17,2,0.9098031883241231
SM,Cer,SM -> Cer,"SMPD1,SMPD2,SMPD3",18,1,0.715496685454498
SM,Cer1P,SM -> Cer -> Cer1P,"SMPD1,SMPD2,SMPD3 ; CERK",18 ; 41,2,0.909531928905148
