Start,End,Path,Edge_Genes,Edge_Reactions,Num_Reactions,Combo_Zscore
Cer,Cer1P,Cer -> Cer1P,CERK,41,1,1.6267269480673718
Cer,SM,Cer -> SM,"CERT1,SGMS1,SGMS2",17,1,1.236104413911186
PE,PC,PE -> PC,PEMT,8,1,0.9682109898628346
PE,PS,PE -> PC -> PS,PEMT ; PTDSS1,8 ; 9,2,1.3594356455418064
PE,PS,PE -> PS,PTDSS2,7,1,0.230068628005797
PS,PE,PS -> PE,PISD,6,1,0.609851962717977
PS,PC,PS -> PE -> PC,PISD ; PEMT,6 ; 8,2,1.115859014909157
PC,PS,PC -> PS,PTDSS1,9,1,0.9543213372358116
PC,PE,PC -> PS -> PE,PTDSS1 ; PISD,9 ; 6,2,1.1060375473482635
Cer1P,Cer,Cer1P -> Cer,PTPA,42,1,1.687479366056433
Cer1P,SM,Cer1P -> Cer -> SM,"PTPA ; CERT1,SGMS1,SGMS2",42 ; 17,2,2.0672859161821027
SM,Cer,SM -> Cer,"SMPD1,SMPD2,SMPD3",18,1,1.573189100959671
SM,Cer1P,SM -> Cer -> Cer1P,"SMPD1,SMPD2,SMPD3 ; CERK",18 ; 41,2,2.2626823374946867
