Start,End,Path,Edge_Genes,Edge_Reactions,Num_Reactions,Combo_Zscore
Cer,Cer1P,Cer -> Cer1P,CERK,41,1,0.3631872676111154
Cer,SM,Cer -> SM,"CERT1,SGMS1,SGMS2",17,1,0.7321788926957238
PE,PC,PE -> PC,PEMT,8,1,0.5895431344364548
PE,PS,PE -> PC -> PS,PEMT ; PTDSS1,8 ; 9,2,1.060433249283568
PE,PS,PE -> PS,PTDSS2,7,1,0.8978700395737068
PS,PE,PS -> PE,PISD,6,1,1.09143161352497
PS,PC,PS -> PE -> PC,PISD ; PEMT,6 ; 8,2,1.188628643286871
PC,PS,PC -> PS,PTDSS1,9,1,0.9101359486917364
PC,PE,PC -> PS -> PE,PTDSS1 ; PISD,9 ; 6,2,1.41532199624646
Cer1P,Cer,Cer1P -> Cer,PTPA,42,1,0.5460236032904506
Cer1P,SM,Cer1P -> Cer -> SM,"PTPA ; CERT1,SGMS1,SGMS2",42 ; 17,2,0.9038256526413947
SM,Cer,SM -> Cer,"SMPD1,SMPD2,SMPD3",18,1,0.4515179194528808
SM,Cer1P,SM -> Cer -> Cer1P,"SMPD1,SMPD2,SMPD3 ; CERK",18 ; 41,2,0.5760835624408064
