Start,End,Path,Edge_Genes,Edge_Reactions,Num_Reactions,Combo_Zscore
Cer,Cer1P,Cer -> Cer1P,CERK,41,1,1.22987844531846
Cer,SM,Cer -> SM,"CERT1,SGMS1,SGMS2",17,1,0.5384187553666052
PE,PC,PE -> PC,PEMT,8,1,0.4361587616294191
PE,PS,PE -> PC -> PS,PEMT ; PTDSS1,8 ; 9,2,0.7646454520860614
PE,PS,PE -> PS,PTDSS2,7,1,0.746178018895708
PS,PE,PS -> PE,PISD,6,1,1.0478336832613122
PS,PC,PS -> PE -> PC,PISD ; PEMT,6 ; 8,2,1.04934112101184
PC,PS,PC -> PS,PTDSS1,9,1,0.6452132071175956
PC,PE,PC -> PS -> PE,PTDSS1 ; PISD,9 ; 6,2,1.197164937053723
Cer1P,Cer,Cer1P -> Cer,PTPA,42,1,1.123656109052444
Cer1P,SM,Cer1P -> Cer -> SM,"PTPA ; CERT1,SGMS1,SGMS2",42 ; 17,2,1.1752644074704213
SM,Cer,SM -> Cer,"SMPD1,SMPD2,SMPD3",18,1,0.6727160649345334
SM,Cer1P,SM -> Cer -> Cer1P,"SMPD1,SMPD2,SMPD3 ; CERK",18 ; 41,2,1.3453374800481899
