Start,End,Path,Edge_Genes,Edge_Reactions,Num_Reactions,Combo_Zscore
Cer,Cer1P,Cer -> Cer1P,CERK,41,1,0.1377574909866174
Cer,SM,Cer -> SM,"CERT1,SGMS1,SGMS2",17,1,0.6484899522136814
PE,PC,PE -> PC,PEMT,8,1,0.4263804778010625
PE,PS,PE -> PC -> PS,PEMT ; PTDSS1,8 ; 9,2,0.8141788281977275
PE,PS,PE -> PS,PTDSS2,7,1,0.2063042684438276
PS,PE,PS -> PE,PISD,6,1,0.0937440146657027
PS,PC,PS -> PE -> PC,PISD ; PEMT,6 ; 8,2,0.36778355568446097
PC,PS,PC -> PS,PTDSS1,9,1,0.7250422632331979
PC,PE,PC -> PS -> PE,PTDSS1 ; PISD,9 ; 6,2,0.5789693294448055
Cer1P,Cer,Cer1P -> Cer,PTPA,42,1,0.0406792611057706
Cer1P,SM,Cer1P -> Cer -> SM,"PTPA ; CERT1,SGMS1,SGMS2",42 ; 17,2,0.4873162241231828
SM,Cer,SM -> Cer,"SMPD1,SMPD2,SMPD3",18,1,0.8102766979457107
SM,Cer1P,SM -> Cer -> Cer1P,"SMPD1,SMPD2,SMPD3 ; CERK",18 ; 41,2,0.6703614037907377
