Start,End,Path,Edge_Genes,Edge_Reactions,Num_Reactions,Combo_Zscore
Cer,Cer1P,Cer -> Cer1P,CERK,41,1,0.314326016892379
Cer,SM,Cer -> SM,"CERT1,SGMS1,SGMS2",17,1,0.6504349282723949
PE,PC,PE -> PC,PEMT,8,1,0.7442228244097341
PE,PS,PE -> PC -> PS,PEMT ; PTDSS1,8 ; 9,2,1.0864085826773024
PE,PS,PE -> PS,PTDSS2,7,1,0.074712114137755
PS,PE,PS -> PE,PISD,6,1,0.1530742934934123
PS,PC,PS -> PE -> PC,PISD ; PEMT,6 ; 8,2,0.6344848768084598
PC,PS,PC -> PS,PTDSS1,9,1,0.792190927491039
PC,PE,PC -> PS -> PE,PTDSS1 ; PISD,9 ; 6,2,0.6684034477779058
Cer1P,Cer,Cer1P -> Cer,PTPA,42,1,0.2378604443483129
Cer1P,SM,Cer1P -> Cer -> SM,"PTPA ; CERT1,SGMS1,SGMS2",42 ; 17,2,0.6281196816767335
SM,Cer,SM -> Cer,"SMPD1,SMPD2,SMPD3",18,1,0.3145132519207411
SM,Cer1P,SM -> Cer -> Cer1P,"SMPD1,SMPD2,SMPD3 ; CERK",18 ; 41,2,0.44465651125414746
