Start,End,Path,Edge_Genes,Edge_Reactions,Num_Reactions,Combo_Zscore
Cer,Cer1P,Cer -> Cer1P,CERK,41,1,0.4906206014889582
Cer,SM,Cer -> SM,"CERT1,SGMS1,SGMS2",17,1,0.4392745170728883
PE,PC,PE -> PC,PEMT,8,1,0.1081504574733685
PE,PS,PE -> PC -> PS,PEMT ; PTDSS1,8 ; 9,2,0.3421087417891347
PE,PS,PE -> PS,PTDSS2,7,1,0.3840619013690005
PS,PE,PS -> PE,PISD,6,1,0.160911042989276
PS,PC,PS -> PE -> PC,PISD ; PEMT,6 ; 8,2,0.1902552115333633
PC,PS,PC -> PS,PTDSS1,9,1,0.3756643649712211
PC,PE,PC -> PS -> PE,PTDSS1 ; PISD,9 ; 6,2,0.37941610958680566
Cer1P,Cer,Cer1P -> Cer,PTPA,42,1,0.2608594417047504
Cer1P,SM,Cer1P -> Cer -> SM,"PTPA ; CERT1,SGMS1,SGMS2",42 ; 17,2,0.49506946999065105
SM,Cer,SM -> Cer,"SMPD1,SMPD2,SMPD3",18,1,0.7317066393348727
SM,Cer1P,SM -> Cer -> Cer1P,"SMPD1,SMPD2,SMPD3 ; CERK",18 ; 41,2,0.8643158808155729
