Start,End,Path,Edge_Genes,Edge_Reactions,Num_Reactions,Combo_Zscore
Cer,Cer1P,Cer -> Cer1P,CERK,41,1,1.3438613088547908
Cer,SM,Cer -> SM,"CERT1,SGMS1,SGMS2",17,1,1.6421364736655892
PE,PC,PE -> PC,PEMT,8,1,1.1461989741917409
PE,PS,PE -> PC -> PS,PEMT ; PTDSS1,8 ; 9,2,1.5129570088876698
PE,PS,PE -> PS,PTDSS2,7,1,0.3836370998133409
PS,PE,PS -> PE,PISD,6,1,0.661818062569453
PS,PC,PS -> PE -> PC,PISD ; PEMT,6 ; 8,2,1.2784611071946475
PC,PS,PC -> PS,PTDSS1,9,1,0.9934453470646334
PC,PE,PC -> PS -> PE,PTDSS1 ; PISD,9 ; 6,2,1.1704479816022284
Cer1P,Cer,Cer1P -> Cer,PTPA,42,1,1.421571063641187
Cer1P,SM,Cer1P -> Cer -> SM,"PTPA ; CERT1,SGMS1,SGMS2",42 ; 17,2,2.1663683752019587
SM,Cer,SM -> Cer,"SMPD1,SMPD2,SMPD3",18,1,1.0464008944249994
SM,Cer1P,SM -> Cer -> Cer1P,"SMPD1,SMPD2,SMPD3 ; CERK",18 ; 41,2,1.6901706127530376
