Start,End,Path,Edge_Genes,Edge_Reactions,Num_Reactions,Combo_Zscore
Cer,Cer1P,Cer -> Cer1P,CERK,41,1,0.1023524290478396
Cer,SM,Cer -> SM,"CERT1,SGMS1,SGMS2",17,1,1.0380341476538446
PE,PC,PE -> PC,PEMT,8,1,1.8493608099802377
PE,PS,PE -> PC -> PS,PEMT ; PTDSS1,8 ; 9,2,2.0398085461291684
PE,PS,PE -> PS,PTDSS2,7,1,0.4835484502917065
PS,PE,PS -> PE,PISD,6,1,0.5073856024473168
PS,PC,PS -> PE -> PC,PISD ; PEMT,6 ; 8,2,1.6664713697645916
PC,PS,PC -> PS,PTDSS1,9,1,1.0353641006001777
PC,PE,PC -> PS -> PE,PTDSS1 ; PISD,9 ; 6,2,1.0908887766984159
Cer1P,Cer,Cer1P -> Cer,PTPA,42,1,0.3098177915448106
Cer1P,SM,Cer1P -> Cer -> SM,"PTPA ; CERT1,SGMS1,SGMS2",42 ; 17,2,0.9530752462428072
SM,Cer,SM -> Cer,"SMPD1,SMPD2,SMPD3",18,1,0.575444958310981
SM,Cer1P,SM -> Cer -> Cer1P,"SMPD1,SMPD2,SMPD3 ; CERK",18 ; 41,2,0.47927512887194706
