LipidSample_ID,dbParent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Match_Group,Purity,FACTG,Group,Max_Intensity,Cluster_RT,Cluster_Ground_Truth_Dif,Area,Area_DDT,Area_DDT_Ratio,SLBG_group
n-77,90.75,73.6,14.3,16,15.033,Crude,FA18:1,TG(52:4),0,615.0,14.3,128830.0,7117182.0,182.0,1.99
n-97,62.65,73.6,14.3,1,875.03,Crude,FA18:1,TG(52:4),3,1875.0,14.3,120000.0,18800362.0,362.0,1.99
n-77,88.65,71.6,12.4,13,33.024,Crude,FA18:1,TG(52:5),6,333.0,12.4,57670.0,2423397.0,98.0,1.373
n-97,60.65,71.6,12.4,15,79.0,Crude,FA18:1,TG(52:5),9,579.0,12.4,99500.0,20050133.0,133.0,1.373
n-77,90.75,73.6,14.2,6,40.034,Degummed,FA18:1,TG(52:4),1,640.0,14.2,87500.0,121250179.0,179.0,1.981
n-97,62.65,73.6,14.1,89,7.04,Degummed,FA18:1,TG(52:4),4,1897.0,14.1,70670.0,132933354.0,354.0,1.981
n-77,88.65,71.6,12.2,92,51.025,Degummed,FA18:1,TG(52:5),7,251.0,12.2,16500.0,13835081.0,81.0,1.484
n-97,60.65,71.6,12.3,85,41.01,Degummed,FA18:1,TG(52:5),10,541.0,12.3,73670.0,52633120.0,120.0,1.484
n-77,90.75,73.6,14.3,14,92.035,RBD,FA18:1,TG(52:4),2,492.0,14.3,128830.0,7117179.0,179.0,1.792
n-97,62.65,73.6,14.3,51,317.05,RBD,FA18:1,TG(52:4),5,1317.0,14.3,1330.0,30133319.0,319.0,1.792
n-77,88.65,71.6,12.4,72,34.026,RBD,FA18:1,TG(52:5),8,234.0,12.4,10170.0,4101782.0,82.0,1.255
