Lipid,Sample_ID,dbParent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Match_Group,Purity,FACT,G_Group,Max_Intensity,Cluster_RT,Cluster_Ground_Truth_Dif,Area,Area_DDT,Area_DDT_Ratio,SLBG_group
[TG(52:4)]_FA18:1,CrudeCanola_O3on_150gN3_02082023n-7,790.7,573.6,14.3,1615.033,Crude,FA18:1,TG(52:4),0,615.0,14.31,28830.007117,182.0,182.0,1.990,
[TG(52:4)]_FA18:1,CrudeCanola_O3on_150gN3_02082023n-9,762.6,573.6,14.30,1875.03,Crude,FA18:1,TG(52:4),3,1875.0,14.301,2000.018800,362.0,362.0,1.990,
[TG(52:5)]_FA18:1,CrudeCanola_O3on_150gN3_02082023n-7,788.6,571.6,12.4,1333.024,Crude,FA18:1,TG(52:5),6,333.0,12.405,7670.024233,97.0,98.0,1.373,
[TG(52:5)]_FA18:1,CrudeCanola_O3on_150gN3_02082023n-9,760.6,571.6,12.4,1579.00,Crude,FA18:1,TG(52:5),9,579.0,12.409,9500.020050,133.0,134.0,1.373,
[TG(52:4)]_FA18:1,DegummedCanola_O3on_150gN3_02082023n-7,790.7,573.6,14.20,640.034,Degummed,FA18:1,TG(52:4),1,640.0,14.198,7500.121250,179.0,179.0,1.981,
[TG(52:4)]_FA18:1,DegummedCanola_O3on_150gN3_02082023n-9,762.6,573.6,14.19,1897.04,Degummed,FA18:1,TG(52:4),4,1897.0,14.187,0670.132933,354.0,354.0,1.981,
[TG(52:5)]_FA18:1,DegummedCanola_O3on_150gN3_02082023n-7,788.6,571.6,12.29,251.025,Degummed,FA18:1,TG(52:5),7,251.0,12.291,6500.138350,81.0,81.0,1.484,
[TG(52:5)]_FA18:1,DegummedCanola_O3on_150gN3_02082023n-9,760.6,571.6,12.38,541.01,Degummed,FA18:1,TG(52:5),10,541.0,12.377,3670.052633,120.0,120.0,1.484,
[TG(52:4)]_FA18:1,RBDCanola_O3on_150gN3_02082023n-7,790.7,573.6,14.31,492.035,RBD,FA18:1,TG(52:4),2,492.0,14.312,8830.007117,179.0,179.0,1.792,
[TG(52:4)]_FA18:1,RBDCanola_O3on_150gN3_02082023n-9,762.6,573.6,14.35,1317.05,RBD,FA18:1,TG(52:4),5,1317.0,14.350,1330.030133,319.0,321.0,1.792,
[TG(52:5)]_FA18:1,RBDCanola_O3on_150gN3_02082023n-7,788.6,571.6,12.47,234.026,RBD,FA18:1,TG(52:5),8,234.0,12.471,0170.041017,82.0,83.0,1.255,
