lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD73m2_500x_N1__liverLD__8_8_23_x,FAD131m1_500x_N1__liverLD__8_8_23_x,FAD131m2_500x_N1__liverLD__8_8_23_x,FAD131m4_500x_N1__liverLD__8_8_23_x,FAD173m1_500x_N1__liverLD__8_8_23_x,DOD73m2_500x_N1__liverLD__8_8_23_y,FAD131m1_500x_N1__liverLD__8_8_23_y,FAD131m2_500x_N1__liverLD__8_8_23_y,FAD131m4_500x_N1__liverLD__8_8_23_y,FAD173m1_500x_N1__liverLD__8_8_23_y,Blank_500x_N1__liverLD__8_8_23
"(11Z,14Z)-eicosadienoylcarnitine",0,10.476661881231474,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,CAR,22190.44157409668,21535.18148803711,25598.02178955078,21756.661514282227,21312.761611938477,22190.44157409668,21535.18148803711,25598.02178955078,21756.661514282227,21312.761611938477,21711.001541137695
(11Z)-eicoseneoylcarnitine,0,10.833449465510451,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,CAR,28064.80206298828,26633.14190673828,36119.48287963867,28947.962036132812,23925.901596069336,28064.80206298828,26633.14190673828,36119.48287963867,28947.962036132812,23925.901596069336,28265.76202392578
"(13Z,16Z)-docosadienoylcarnitine",0,10.234795100487824,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,CAR,18799.78143310547,20162.041133880615,23031.621772766113,21019.32152557373,10746.4808883667,18799.78143310547,20162.041133880615,23031.621772766113,21019.32152557373,10746.4808883667,20945.901260375977
"(5Z,8Z)-tetradecadienoylcarnitine",0,10.70219735789592,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,CAR,26443.741821289062,24920.64178466797,25642.281768798828,27426.221954345703,26536.481994628903,26443.741821289062,24920.64178466797,25642.281768798828,27426.221954345703,26536.481994628903,26167.74192047119
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",0,8.62779525953548,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,CAR,6231.680446624756,5658.200393676758,6238.640438079834,6927.740459442139,5781.840427398682,6231.680446624756,5658.200393676758,6238.640438079834,6927.740459442139,5781.840427398682,6689.760471343994
"(7Z,10Z)-hexadecadienoylcarnitine",0,10.477597967898808,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,CAR,23148.441619873047,21962.561569213867,25727.501663208008,22466.74151992798,18688.56120300293,23148.441619873047,21962.561569213867,25727.501663208008,22466.74151992798,18688.56120300293,22663.561637878414
1-O-behenoyl-Cer(d18:1/16:0),0,6.906375285302995,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Cer,1922.5001220703125,2084.200149536133,1822.2201309204104,1763.600128173828,1878.4401321411133,1922.5001220703125,2084.200149536133,1822.2201309204104,1763.600128173828,1878.4401321411133,1797.5801315307615
1-O-carboceroyl-Cer(d18:1/16:0),0,7.786954543445456,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Cer,3283.7802238464355,5583.520454406738,2669.180164337158,2023.3801383972168,4672.500343322754,3283.7802238464355,5583.520454406738,2669.180164337158,2023.3801383972168,4672.500343322754,1844.6401329040527
1-O-carboceroyl-Cer(d18:1/18:0),0,6.779131807232839,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Cer,1758.7401275634766,1687.4401092529297,1737.940128326416,1762.900119781494,1688.5601119995115,1758.7401275634766,1687.4401092529297,1737.940128326416,1762.900119781494,1688.5601119995115,1704.800121307373
1-O-cerotoyl-Cer(d18:1/16:0),0,6.899481351753552,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Cer,1827.9601364135744,1760.0801315307615,1829.700138092041,1932.6601486206057,2012.2001457214355,1827.9601364135744,1760.0801315307615,1829.700138092041,1932.6601486206057,2012.2001457214355,1898.200138092041
1-O-cerotoyl-Cer(d18:1/18:0),0,6.787718232756468,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Cer,1710.3801307678225,1722.2801208496094,1693.560131072998,1686.8001098632812,1797.6401252746582,1710.3801307678225,1722.2801208496094,1693.560131072998,1686.8001098632812,1797.6401252746582,1865.440128326416
1-O-eicosanoyl-Cer(d18:1/16:0),0,6.802479616072626,0,1,1,5,5,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Genotype_ 5xFAD | Sex_ Male | Brain Region_ Liver | Time Period_ New Data,Cer,1755.4001235961914,1802.5601272583008,1726.0201301574707,1705.0001182556152,1811.0001220703125,1755.4001235961914,1802.5601272583008,1726.0201301574707,1705.0001182556152,1811.0001220703125,1690.6401100158691
