lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD73m2_500x_N1__liverLD__8_8_23,FAD131m1_500x_N1__liverLD__8_8_23,FAD131m2_500x_N1__liverLD__8_8_23,FAD131m4_500x_N1__liverLD__8_8_23,FAD173m1_500x_N1__liverLD__8_8_23,DOD73-5xFAD-M2liver_033123,FAD131-5xFAD-M1liver_033123,FAD131-5xFAD-M2liver_033123,FAD131-5xFAD-M4liver_033123,FAD173-5xFAD-M1liver_033123,Blank_500x_N1__liverLD__8_8_23
C20:0,9.273367804466663,17.31679767402659,986.1127147935863,1.8744859857791695e-216,1.1546833672399683e-213,5,5,Time Period_ New Data,Time Period_ Older Data,FA,2752565.697265625,2762564.39453125,2810568.265625,2665492.2744140625,2743455.185546875,51124.02349853515,30520.202072143555,88291.20574951172,69975.42487716675,102983.40768051147,2564121.353515625
C34:0,8.793380130116338,13.007711630234283,920.9401505668258,2.7525884081420587e-202,8.477972297077541e-200,5,5,Time Period_ New Data,Time Period_ Older Data,FA,145935.21020507812,139074.66943359375,153991.55078125,128613.92980957033,149589.73046875,4688.840328216553,5685.300399780273,4910.900318145752,5078.140312194824,4569.480339050293,108167.7078857422
C18:0,8.473405027746576,16.532293103376855,878.1597898601467,5.491419916442092e-193,1.1275715561761096e-190,5,5,Time Period_ New Data,Time Period_ Older Data,FA,1564533.484375,1766853.1171875,1603816.03125,1530548.29296875,1617240.10546875,74532.825439453125,80053.16662597656,65888.664794921875,72870.60485839844,56996.963623046875,1391278.875
C28:0,8.450416579040452,13.51998887549719,874.8761357190332,2.8414023432307875e-192,4.3757596085754125e-190,5,5,Time Period_ New Data,Time Period_ Older Data,FA,213857.89501953125,209184.255859375,203960.65356445312,185559.93432617188,206251.916015625,9509.200622558594,8957.880760192871,8603.660606384277,7908.40047454834,9930.70068359375,157839.27172851562
C26:0,8.302818071263141,13.436918682244594,855.003618651501,5.939813695065819e-188,7.3178504723210895e-186,5,5,Time Period_ New Data,Time Period_ Older Data,FA,183435.07354736328,196148.27264404297,197070.5328369141,175716.4126586914,194878.43353271484,8593.300605773926,9950.04076385498,9932.800750732422,8630.180557250977,9203.220657348633,160921.02989196777
C22:0,8.214970629082082,16.2220330053649,843.3578828346208,2.0210789265832786e-185,2.0749743646254996e-183,5,5,Time Period_ New Data,Time Period_ Older Data,FA,1278306.0625,1312721.728515625,1300567.28515625,1258958.5327148438,1296348.5966796875,69413.66516113281,70126.16491699219,65914.54406738281,67336.18518066406,61859.204833984375,1176931.611328125
C12:0,7.964098598739369,14.443177455015007,809.5621318984499,4.4988015770861883e-178,3.9589453878358456e-176,5,5,Time Period_ New Data,Time Period_ Older Data,FA,397419.16796875,404795.4096679687,357318.04443359375,357572.20361328125,391951.4091796875,25020.86181640625,25642.541717529297,21358.921325683594,24290.981689453125,21423.401489257812,317237.04248046875
C26:1,7.891337401727327,13.651524306516391,799.7283817557656,6.181812561913487e-176,4.759995672673385e-174,5,5,Time Period_ New Data,Time Period_ Older Data,FA,214568.755859375,221483.2352294922,217743.55407714844,210119.4156494141,219799.93627929688,14668.400955200195,14744.301040649414,14093.840942382812,14348.221069335938,12539.700859069824,198837.61322021484
C12:1,7.653939039640937,14.76464018211455,767.9381616716654,5.047312613807209e-169,3.4546050778947115e-167,5,5,Time Period_ New Data,Time Period_ Older Data,FA,426497.6689453125,497496.1767578125,424308.33056640625,482191.3525390625,437906.232421875,33992.34246826172,36459.182189941406,33573.602294921875,34736.72253417969,34995.642578125,493761.1142578125
C24:0,7.626000959671829,13.5523818095045,764.1239602162582,3.407076916741821e-168,2.0987593807129618e-166,5,5,Time Period_ New Data,Time Period_ Older Data,FA,203958.99472045896,203980.3159866333,209732.3956604004,193793.35398864743,211180.456741333,16464.14109802246,16985.46124267578,16515.06120300293,15017.701034545898,14924.441024780272,175408.8727493286
C24:5,7.616911180270485,13.970190399188455,762.9369891728483,6.172571369957084e-168,3.456639967175967e-166,5,5,Time Period_ New Data,Time Period_ Older Data,FA,279957.46337890625,290178.83984375,282014.162109375,245801.31689453125,279969.77880859375,21285.121643066406,22620.441864013672,21180.161560058594,21634.0615234375,21450.941497802734,225283.4560546875
C19:0,7.491251350427885,16.138530526971845,746.1637365323322,2.7387110050666877e-164,1.4058716492675664e-162,5,5,Time Period_ New Data,Time Period_ Older Data,FA,1213776.84375,1286329.58984375,1193957.34765625,1149673.83984375,1298124.09375,107847.40795898438,109346.90881347656,115323.8074951172,111864.2081298828,82008.185302734375,1051877.1337890625
