Lipid,Class,DOD73-5xFAD-M2liver_x,FAD131-5xFAD-M1liver_x,FAD131-5xFAD-M2liver_x,FAD131-5xFAD-M4liver_x,FAD173-5xFAD-M1liver_x,DOD73-5xFAD-M2liver_y,FAD131-5xFAD-M1liver_y,FAD131-5xFAD-M2liver_y,FAD131-5xFAD-M4liver_y,FAD173-5xFAD-M1liver_y,blank_033123,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,34993.262214660645,49269.7829246521,65962.30405426025,11506.880954742432,35531.70199584961,34993.262214660645,49269.7829246521,65962.30405426025,11506.880954742432,35531.70199584961,7376.800495147705,Sex: Male | Brain Region: Liver,Sex: Male | Brain Region: Liver,Sex: Male__Brain Region: Liver vs Sex: Male__Brain Region: Liver,5,5,blank_033123
1-O-carboceroyl-Cer(d18:1/18:0),Cer,7887.820468902588,10345.180625915527,10388.600868225098,4972.780319213867,8970.620422363281,7887.820468902588,10345.180625915527,10388.600868225098,4972.780319213867,8970.620422363281,5592.080406188965,Sex: Male | Brain Region: Liver,Sex: Male | Brain Region: Liver,Sex: Male__Brain Region: Liver vs Sex: Male__Brain Region: Liver,5,5,blank_033123
1-O-cerotoyl-Cer(d18:1/16:0),Cer,56626.68326950073,118284.70900344849,124009.04661560059,21522.681526184082,91505.28868865967,56626.68326950073,118284.70900344849,124009.04661560059,21522.681526184082,91505.28868865967,7552.680511474609,Sex: Male | Brain Region: Liver,Sex: Male | Brain Region: Liver,Sex: Male__Brain Region: Liver vs Sex: Male__Brain Region: Liver,5,5,blank_033123
1-O-cerotoyl-Cer(d18:1/18:0),Cer,16180.161041259766,30063.662281036377,28952.962230682373,10819.9807472229,29125.741970062256,16180.161041259766,30063.662281036377,28952.962230682373,10819.9807472229,29125.741970062256,7564.720527648926,Sex: Male | Brain Region: Liver,Sex: Male | Brain Region: Liver,Sex: Male__Brain Region: Liver vs Sex: Male__Brain Region: Liver,5,5,blank_033123
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,11178.260723114014,12303.560836791992,12328.060791015625,9729.480697631836,11770.480796813965,11178.260723114014,12303.560836791992,12328.060791015625,9729.480697631836,11770.480796813965,8472.50059890747,Sex: Male | Brain Region: Liver,Sex: Male | Brain Region: Liver,Sex: Male__Brain Region: Liver vs Sex: Male__Brain Region: Liver,5,5,blank_033123
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,128046.36904907227,237023.6909790039,280851.90058898926,27560.402072906494,214795.79314422607,128046.36904907227,237023.6909790039,280851.90058898926,27560.402072906494,214795.79314422607,8005.880531311035,Sex: Male | Brain Region: Liver,Sex: Male | Brain Region: Liver,Sex: Male__Brain Region: Liver vs Sex: Male__Brain Region: Liver,5,5,blank_033123
1-O-pentacosanoyl-Cer(d18:1/16:0),Cer,113573.20904159546,235828.2760810852,286637.5709724426,26846.222297668457,188823.78869247437,113573.20904159546,235828.2760810852,286637.5709724426,26846.222297668457,188823.78869247437,8982.840637207031,Sex: Male | Brain Region: Liver,Sex: Male | Brain Region: Liver,Sex: Male__Brain Region: Liver vs Sex: Male__Brain Region: Liver,5,5,blank_033123
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,135550.37031173706,242584.0573272705,295372.82263565063,26276.462158203125,214653.89820480347,135550.37031173706,242584.0573272705,295372.82263565063,26276.462158203125,214653.89820480347,8560.020622253418,Sex: Male | Brain Region: Liver,Sex: Male | Brain Region: Liver,Sex: Male__Brain Region: Liver vs Sex: Male__Brain Region: Liver,5,5,blank_033123
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,5155.200401306152,5557.080352783203,5012.480361938477,4540.9603271484375,4959.780361175537,5155.200401306152,5557.080352783203,5012.480361938477,4540.9603271484375,4959.780361175537,4343.480308532715,Sex: Male | Brain Region: Liver,Sex: Male | Brain Region: Liver,Sex: Male__Brain Region: Liver vs Sex: Male__Brain Region: Liver,5,5,blank_033123
CAR,CAR,43697.62292480469,44859.34295654297,48166.002868652344,44927.50329589844,63015.04455566406,43697.62292480469,44859.34295654297,48166.002868652344,44927.50329589844,63015.04455566406,54781.803955078125,Sex: Male | Brain Region: Liver,Sex: Male | Brain Region: Liver,Sex: Male__Brain Region: Liver vs Sex: Male__Brain Region: Liver,5,5,blank_033123
CAR(10:0),CAR,240925.09521484375,236749.59619140625,258579.978515625,237972.71728515625,291691.96142578125,240925.09521484375,236749.59619140625,258579.978515625,237972.71728515625,291691.96142578125,272684.7998046875,Sex: Male | Brain Region: Liver,Sex: Male | Brain Region: Liver,Sex: Male__Brain Region: Liver vs Sex: Male__Brain Region: Liver,5,5,blank_033123
CAR(10:0)_QUAL,CAR,749754.892578125,735092.5146484375,835633.2001953125,765668.5546875,1018934.158203125,749754.892578125,735092.5146484375,835633.2001953125,765668.5546875,1018934.158203125,952429.642578125,Sex: Male | Brain Region: Liver,Sex: Male | Brain Region: Liver,Sex: Male__Brain Region: Liver vs Sex: Male__Brain Region: Liver,5,5,blank_033123
