,Q1,Q3,Intensity,Transition,Lipid,Class
155,964.9,691.9,6352.100399017334,964.9 -> 691.9,TAG(58:0)_FA 16:0,
156,964.9,693.9,5144.740386962891,964.9 -> 693.9,TAG(58:0)_FA 16:1,
157,968.9,667.9,6267.1604080200195,968.9 -> 667.9,TAG(60:12)_FA 18:0,
158,968.9,695.9,5307.9003982543945,968.9 -> 695.9,TAG(60:12)_FA 16:0,
159,968.9,697.9,5284.000373840332,968.9 -> 697.9,TAG(60:12)_FA 16:1,
160,970.9,669.9,5505.580402374268,970.9 -> 669.9,TAG(60:11)_FA 18:0,
161,970.9,697.9,5730.380443572998,970.9 -> 697.9,TAG(60:11)_FA 16:0,
162,970.9,699.9,5207.440338134766,970.9 -> 699.9,TAG(60:11)_FA 16:1,
163,972.9,671.9,5420.500370025635,972.9 -> 671.9,TAG(60:10)_FA 18:0,
164,972.9,699.9,5177.860347747803,972.9 -> 699.9,TAG(60:10)_FA 16:0,
165,972.9,701.9,5365.220371246338,972.9 -> 701.9,TAG(60:10)_FA 16:1,
166,974.9,673.9,5391.140350341797,974.9 -> 673.9,TAG(60:9)_FA 18:0,
167,974.9,701.9,5617.180393218994,974.9 -> 701.9,TAG(60:9)_FA 16:0,
168,974.9,703.9,6035.0404052734375,974.9 -> 703.9,TAG(60:9)_FA 16:1,
169,976.9,675.9,7332.560516357422,976.9 -> 675.9,TAG(60:8)_FA 18:0,
170,976.9,703.9,5558.94038772583,976.9 -> 703.9,TAG(60:8)_FA 16:0,
171,976.9,705.9,7328.680534362793,976.9 -> 705.9,TAG(60:8)_FA 16:1,
172,978.9,677.9,8188.160625457764,978.9 -> 677.9,TAG(60:7)_FA 18:0,
173,978.9,705.9,7163.860527038574,978.9 -> 705.9,TAG(60:7)_FA 16:0,
174,978.9,707.9,5686.460399627686,978.9 -> 707.9,TAG(60:7)_FA 16:1,
175,980.9,679.9,5335.020362854004,980.9 -> 679.9,TAG(60:6)_FA 18:0,
176,980.9,707.9,5822.120407104492,980.9 -> 707.9,TAG(60:6)_FA 16:0,
177,980.9,709.9,4899.7803382873535,980.9 -> 709.9,TAG(60:6)_FA 16:1,
178,982.9,681.9,7115.740497589111,982.9 -> 681.9,TAG(60:5)_FA 18:0,
179,982.9,709.9,5512.6203956604,982.9 -> 709.9,TAG(60:5)_FA 16:0,
180,982.9,711.9,5565.500347137451,982.9 -> 711.9,TAG(60:5)_FA 16:1,
181,984.9,683.9,5259.6604080200195,984.9 -> 683.9,TAG(60:4)_FA 18:0,
