,Q1,Q3,Intensity,Transition,Lipid,Class
152,962.9,689.9,6302.500453948975,962.9 -> 689.9,TAG(58:1)_FA 16:0,
153,962.9,691.9,8074.560592651367,962.9 -> 691.9,TAG(58:1)_FA 16:1,
154,964.9,663.9,15009.861106872559,964.9 -> 663.9,TAG(58:0)_FA 18:0,
155,964.9,691.9,7906.720573425293,964.9 -> 691.9,TAG(58:0)_FA 16:0,
156,964.9,693.9,6750.400493621826,964.9 -> 693.9,TAG(58:0)_FA 16:1,
157,968.9,667.9,5646.720401763916,968.9 -> 667.9,TAG(60:12)_FA 18:0,
158,968.9,695.9,5765.900436401367,968.9 -> 695.9,TAG(60:12)_FA 16:0,
159,968.9,697.9,6723.520496368408,968.9 -> 697.9,TAG(60:12)_FA 16:1,
160,970.9,669.9,7322.400482177734,970.9 -> 669.9,TAG(60:11)_FA 18:0,
161,970.9,697.9,6474.740432739258,970.9 -> 697.9,TAG(60:11)_FA 16:0,
162,970.9,699.9,5996.50040435791,970.9 -> 699.9,TAG(60:11)_FA 16:1,
163,972.9,671.9,5336.48042678833,972.9 -> 671.9,TAG(60:10)_FA 18:0,
164,972.9,699.9,5364.740379333496,972.9 -> 699.9,TAG(60:10)_FA 16:0,
165,972.9,701.9,6859.120510101318,972.9 -> 701.9,TAG(60:10)_FA 16:1,
166,974.9,673.9,6577.980438232422,974.9 -> 673.9,TAG(60:9)_FA 18:0,
167,974.9,701.9,5949.280429840088,974.9 -> 701.9,TAG(60:9)_FA 16:0,
168,974.9,703.9,5736.100421905518,974.9 -> 703.9,TAG(60:9)_FA 16:1,
169,976.9,675.9,7377.560516357422,976.9 -> 675.9,TAG(60:8)_FA 18:0,
170,976.9,703.9,5905.300426483154,976.9 -> 703.9,TAG(60:8)_FA 16:0,
171,976.9,705.9,6570.760437011719,976.9 -> 705.9,TAG(60:8)_FA 16:1,
172,978.9,677.9,8275.76058959961,978.9 -> 677.9,TAG(60:7)_FA 18:0,
173,978.9,705.9,6442.7404708862305,978.9 -> 705.9,TAG(60:7)_FA 16:0,
174,978.9,707.9,6830.280464172363,978.9 -> 707.9,TAG(60:7)_FA 16:1,
175,980.9,679.9,5884.10046005249,980.9 -> 679.9,TAG(60:6)_FA 18:0,
176,980.9,707.9,6436.98046875,980.9 -> 707.9,TAG(60:6)_FA 16:0,
177,980.9,709.9,6125.920490264893,980.9 -> 709.9,TAG(60:6)_FA 16:1,
178,982.9,681.9,6139.740383148193,982.9 -> 681.9,TAG(60:5)_FA 18:0,
179,982.9,709.9,5997.260444641113,982.9 -> 709.9,TAG(60:5)_FA 16:0,
180,982.9,711.9,4991.380321502686,982.9 -> 711.9,TAG(60:5)_FA 16:1,
181,984.9,683.9,5363.780364990234,984.9 -> 683.9,TAG(60:4)_FA 18:0,
