,Q1,Q3,Intensity,Transition,Lipid,Class
0,818.8,517.8,4341.580272674561,818.8 -> 517.8,TAG(48:3)_FA 18:0,
1,818.8,519.8,5288.040367126465,818.8 -> 519.8,TAG(48:3)_FA 18:1,
2,818.8,545.8,4617.600326538086,818.8 -> 545.8,TAG(48:3)_FA 16:0,
3,818.8,547.8,7841.340621948242,818.8 -> 547.8,TAG(48:3)_FA 16:1,
4,820.8,519.8,4990.420333862305,820.8 -> 519.8,TAG(48:2)_F A18:0,
5,820.8,521.8,6354.280433654785,820.8 -> 521.8,TAG(48:2)_FA 18:1,
6,820.8,547.8,6945.300457000732,820.8 -> 547.8,TAG(48:2)_FA 16:0,
7,820.8,549.8,13269.721008300781,820.8 -> 549.8,TAG(48:2)_FA 16:1,
8,822.8,521.8,6901.38049697876,822.8 -> 521.8,TAG(48:1)_FA18:0,
9,822.8,523.8,20872.681442260742,822.8 -> 523.8,TAG(48:1)_FA 18:1,
10,822.8,549.8,14703.520965576172,822.8 -> 549.8,TAG(48:1)_FA 16:0,
11,822.8,551.8,73887.62506103516,822.8 -> 551.8,TAG(48:1)_FA 16:1,
12,824.8,523.8,20414.381637573242,824.8 -> 523.8,TAG(48:0)_FA 18:0,
13,824.8,525.8,6524.160491943359,824.8 -> 525.8,TAG(48:0)_FA 18:1,
14,824.8,551.8,73582.22448730469,824.8 -> 551.8,TAG(48:0)_FA 16:0,
15,824.8,553.8,12592.560897827148,824.8 -> 553.8,TAG(48:0)_FA 16:1,
16,829.8,570.8,5155.160358428955,829.8 -> 570.8,STD_15:0-18:1(d7)-15:0 TAG,
17,846.8,545.8,5180.800361633301,846.8 -> 545.8,TAG(50:4)_FA 18:0,
18,846.8,547.8,7137.560436248779,846.8 -> 547.8,TAG(50:4)_FA 18:1,
19,846.8,573.8,6518.1204833984375,846.8 -> 573.8,TAG(50:4)_FA 16:0,
20,846.8,575.8,10443.700775146484,846.8 -> 575.8,TAG(50:4)_FA 16:1,
21,848.8,547.8,6317.960479736328,848.8 -> 547.8,TAG(50:3)_FA 18:0,
22,848.8,549.8,11174.460876464844,848.8 -> 549.8,TAG(50:3)_FA 18:1,
23,848.8,575.8,9893.420715332031,848.8 -> 575.8,TAG(50:3)_FA 16:0,
24,848.8,577.8,198323.03106689453,848.8 -> 577.8,TAG(50:3)_FA 16:1,
25,850.8,549.8,10216.320755004883,850.8 -> 549.8,TAG(50:2)_FA 18:0,
26,850.8,551.8,48464.863342285156,850.8 -> 551.8,TAG(50:2)_FA 18:1,
27,850.8,577.8,199818.1315612793,850.8 -> 577.8,TAG(50:2)_FA 16:0,
28,850.8,579.8,82806.28430175781,850.8 -> 579.8,TAG(50:2)_FA 16:1,
29,852.8,551.8,28830.06216430664,852.8 -> 551.8,TAG(50:1)_FA 18:0,
30,852.8,553.8,9914.38069152832,852.8 -> 553.8,TAG(50:1)_FA 18:1,
31,852.8,579.8,87857.86529541016,852.8 -> 579.8,TAG(50:0)_FA 16:0,
32,852.8,581.8,18608.560928344727,852.8 -> 581.8,TAG(50:0)_FA 16:1,
