,Q1,Q3,Intensity,Transition,Lipid,Class
0,818.8,517.8,4017.32027053833,818.8 -> 517.8,TAG(48:3)_FA 18:0,
1,818.8,519.8,4468.660297393799,818.8 -> 519.8,TAG(48:3)_FA 18:1,
2,818.8,545.8,4511.420299530029,818.8 -> 545.8,TAG(48:3)_FA 16:0,
3,818.8,547.8,6176.220462799072,818.8 -> 547.8,TAG(48:3)_FA 16:1,
4,820.8,519.8,3920.30029296875,820.8 -> 519.8,TAG(48:2)_F A18:0,
5,820.8,521.8,6470.500503540039,820.8 -> 521.8,TAG(48:2)_FA 18:1,
6,820.8,547.8,6505.700508117676,820.8 -> 547.8,TAG(48:2)_FA 16:0,
7,820.8,549.8,10586.620910644531,820.8 -> 549.8,TAG(48:2)_FA 16:1,
8,822.8,521.8,7221.140567779541,822.8 -> 521.8,TAG(48:1)_FA18:0,
9,822.8,523.8,19467.601318359375,822.8 -> 523.8,TAG(48:1)_FA 18:1,
10,822.8,549.8,11261.180770874023,822.8 -> 549.8,TAG(48:1)_FA 16:0,
11,822.8,551.8,65023.66418457031,822.8 -> 551.8,TAG(48:1)_FA 16:1,
12,824.8,523.8,18768.781372070312,824.8 -> 523.8,TAG(48:0)_FA 18:0,
13,824.8,525.8,5671.060375213623,824.8 -> 525.8,TAG(48:0)_FA 18:1,
14,824.8,551.8,63454.52380371094,824.8 -> 551.8,TAG(48:0)_FA 16:0,
15,824.8,553.8,10857.780822753906,824.8 -> 553.8,TAG(48:0)_FA 16:1,
16,829.8,570.8,5771.280414581299,829.8 -> 570.8,STD_15:0-18:1(d7)-15:0 TAG,
17,846.8,545.8,4808.200298309326,846.8 -> 545.8,TAG(50:4)_FA 18:0,
18,846.8,547.8,5289.440341949463,846.8 -> 547.8,TAG(50:4)_FA 18:1,
19,846.8,573.8,5860.140441894531,846.8 -> 573.8,TAG(50:4)_FA 16:0,
20,846.8,575.8,7410.1805419921875,846.8 -> 575.8,TAG(50:4)_FA 16:1,
21,848.8,547.8,5190.300365447998,848.8 -> 547.8,TAG(50:3)_FA 18:0,
22,848.8,549.8,10685.360748291016,848.8 -> 549.8,TAG(50:3)_FA 18:1,
23,848.8,575.8,7450.040473937988,848.8 -> 575.8,TAG(50:3)_FA 16:0,
24,848.8,577.8,16010.661041259766,848.8 -> 577.8,TAG(50:3)_FA 16:1,
25,850.8,549.8,8660.00065612793,850.8 -> 549.8,TAG(50:2)_FA 18:0,
26,850.8,551.8,46891.863342285156,850.8 -> 551.8,TAG(50:2)_FA 18:1,
27,850.8,577.8,14552.181076049805,850.8 -> 577.8,TAG(50:2)_FA 16:0,
28,850.8,579.8,29729.722106933594,850.8 -> 579.8,TAG(50:2)_FA 16:1,
29,852.8,551.8,25760.761932373047,852.8 -> 551.8,TAG(50:1)_FA 18:0,
30,852.8,553.8,8227.920570373535,852.8 -> 553.8,TAG(50:1)_FA 18:1,
31,852.8,579.8,29122.002075195312,852.8 -> 579.8,TAG(50:0)_FA 16:0,
32,852.8,581.8,8577.00048828125,852.8 -> 581.8,TAG(50:0)_FA 16:1,
33,868.7,567.7,5577.6803550720215,868.7 -> 567.7,TAG(52:6)_FA 18:0,
34,868.7,569.7,4491.980316162109,868.7 -> 569.7,TAG(52:6)_FA 18:1,
35,868.7,595.7,7189.820526123047,868.7 -> 595.7,TAG(52:6)_FA 16:0,
36,868.7,597.7,5996.800437927246,868.7 -> 597.7,TAG(52:6)_FA 16:1,
37,870.8,569.8,5360.500370025635,870.8 -> 569.8,TAG(52:5)_FA 18:0,
38,870.8,571.8,5834.4404296875,870.8 -> 571.8,TAG(52:5)_FA 18:1,
39,870.8,597.8,4765.380340576172,870.8 -> 597.8,TAG(52:5)_FA 16:0,
40,870.8,599.8,6841.780487060547,870.8 -> 599.8,TAG(52:5)_FA 16:1,
41,872.8,571.8,4280.42028427124,872.8 -> 571.8,TAG(52:4)_FA 18:0,
