,Q1,Q3,Intensity,Transition,Lipid,Class
0,818.8,517.8,4279.260322570801,818.8 -> 517.8,TAG(48:3)_FA 18:0,
1,818.8,519.8,4820.2603759765625,818.8 -> 519.8,TAG(48:3)_FA 18:1,
2,818.8,545.8,6636.980438232422,818.8 -> 545.8,TAG(48:3)_FA 16:0,
3,818.8,547.8,8057.0006103515625,818.8 -> 547.8,TAG(48:3)_FA 16:1,
4,820.8,519.8,4629.840297698975,820.8 -> 519.8,TAG(48:2)_F A18:0,
5,820.8,521.8,8250.520652770996,820.8 -> 521.8,TAG(48:2)_FA 18:1,
6,820.8,547.8,9169.160614013672,820.8 -> 547.8,TAG(48:2)_FA 16:0,
7,820.8,549.8,13850.760986328125,820.8 -> 549.8,TAG(48:2)_FA 16:1,
8,822.8,521.8,7227.840507507324,822.8 -> 521.8,TAG(48:1)_FA18:0,
9,822.8,523.8,20206.541275024414,822.8 -> 523.8,TAG(48:1)_FA 18:1,
10,822.8,549.8,15611.161117553711,822.8 -> 549.8,TAG(48:1)_FA 16:0,
11,822.8,551.8,73269.10498046875,822.8 -> 551.8,TAG(48:1)_FA 16:1,
12,824.8,523.8,19786.281448364258,824.8 -> 523.8,TAG(48:0)_FA 18:0,
13,824.8,525.8,5705.580402374268,824.8 -> 525.8,TAG(48:0)_FA 18:1,
14,824.8,551.8,70268.60473632812,824.8 -> 551.8,TAG(48:0)_FA 16:0,
15,824.8,553.8,11940.060859680176,824.8 -> 553.8,TAG(48:0)_FA 16:1,
16,829.8,570.8,8185.960662841797,829.8 -> 570.8,STD_15:0-18:1(d7)-15:0 TAG,
17,846.8,545.8,6307.340438842773,846.8 -> 545.8,TAG(50:4)_FA 18:0,
18,846.8,547.8,9146.960651397705,846.8 -> 547.8,TAG(50:4)_FA 18:1,
19,846.8,573.8,7136.000518798828,846.8 -> 573.8,TAG(50:4)_FA 16:0,
20,846.8,575.8,8654.220664978027,846.8 -> 575.8,TAG(50:4)_FA 16:1,
21,848.8,547.8,8439.920597076416,848.8 -> 547.8,TAG(50:3)_FA 18:0,
22,848.8,549.8,11359.360900878906,848.8 -> 549.8,TAG(50:3)_FA 18:1,
23,848.8,575.8,10255.44075012207,848.8 -> 575.8,TAG(50:3)_FA 16:0,
24,848.8,577.8,31127.24186706543,848.8 -> 577.8,TAG(50:3)_FA 16:1,
25,850.8,549.8,11035.520767211914,850.8 -> 549.8,TAG(50:2)_FA 18:0,
26,850.8,551.8,49096.32342529297,850.8 -> 551.8,TAG(50:2)_FA 18:1,
27,850.8,577.8,29803.742248535156,850.8 -> 577.8,TAG(50:2)_FA 16:0,
28,850.8,579.8,38324.842834472656,850.8 -> 579.8,TAG(50:2)_FA 16:1,
29,852.8,551.8,31812.881927490234,852.8 -> 551.8,TAG(50:1)_FA 18:0,
30,852.8,553.8,9572.880645751953,852.8 -> 553.8,TAG(50:1)_FA 18:1,
31,852.8,579.8,35180.54266357422,852.8 -> 579.8,TAG(50:0)_FA 16:0,
32,852.8,581.8,11047.620803833008,852.8 -> 581.8,TAG(50:0)_FA 16:1,
