,Q1,Q3,Intensity,Transition,Lipid,Class
0,818.8,517.8,7775.900539398193,818.8 -> 517.8,TAG(48:3)_FA 18:0,
1,818.8,519.8,8036.860527038574,818.8 -> 519.8,TAG(48:3)_FA 18:1,
2,818.8,545.8,9633.920642852783,818.8 -> 545.8,TAG(48:3)_FA 16:0,
3,818.8,547.8,17868.361221313477,818.8 -> 547.8,TAG(48:3)_FA 16:1,
4,820.8,519.8,8484.540668487549,820.8 -> 519.8,TAG(48:2)_F A18:0,
5,820.8,521.8,15673.201034545898,820.8 -> 521.8,TAG(48:2)_FA 18:1,
6,820.8,547.8,17981.041175842285,820.8 -> 547.8,TAG(48:2)_FA 16:0,
7,820.8,549.8,38788.54234313965,820.8 -> 549.8,TAG(48:2)_FA 16:1,
8,822.8,521.8,13281.72087097168,822.8 -> 521.8,TAG(48:1)_FA18:0,
9,822.8,523.8,41724.68276977539,822.8 -> 523.8,TAG(48:1)_FA 18:1,
10,822.8,549.8,41952.18293762207,822.8 -> 549.8,TAG(48:1)_FA 16:0,
11,822.8,551.8,163554.55102539062,822.8 -> 551.8,TAG(48:1)_FA 16:1,
12,824.8,523.8,38166.86264038086,824.8 -> 523.8,TAG(48:0)_FA 18:0,
13,824.8,525.8,10529.840805053711,824.8 -> 525.8,TAG(48:0)_FA 18:1,
14,824.8,551.8,167044.9327392578,824.8 -> 551.8,TAG(48:0)_FA 16:0,
15,824.8,553.8,25460.781707763672,824.8 -> 553.8,TAG(48:0)_FA 16:1,
16,829.8,570.8,12360.000953674316,829.8 -> 570.8,STD_15:0-18:1(d7)-15:0 TAG,
17,846.8,545.8,7758.380523681641,846.8 -> 545.8,TAG(50:4)_FA 18:0,
18,846.8,547.8,14583.361106872559,846.8 -> 547.8,TAG(50:4)_FA 18:1,
19,846.8,573.8,10758.220748901367,846.8 -> 573.8,TAG(50:4)_FA 16:0,
20,846.8,575.8,31382.92269897461,846.8 -> 575.8,TAG(50:4)_FA 16:1,
21,848.8,547.8,13230.140983581543,848.8 -> 547.8,TAG(50:3)_FA 18:0,
22,848.8,549.8,27290.061889648438,848.8 -> 549.8,TAG(50:3)_FA 18:1,
23,848.8,575.8,31997.62205505371,848.8 -> 575.8,TAG(50:3)_FA 16:0,
24,848.8,577.8,68722.28500366211,848.8 -> 577.8,TAG(50:3)_FA 16:1,
25,850.8,549.8,24562.321563720703,850.8 -> 549.8,TAG(50:2)_FA 18:0,
26,850.8,551.8,109854.1484375,850.8 -> 551.8,TAG(50:2)_FA 18:1,
27,850.8,577.8,71647.74433898926,850.8 -> 577.8,TAG(50:2)_FA 16:0,
28,850.8,579.8,83640.36581420898,850.8 -> 579.8,TAG(50:2)_FA 16:1,
29,852.8,551.8,72346.8046875,852.8 -> 551.8,TAG(50:1)_FA 18:0,
30,852.8,553.8,19046.60122680664,852.8 -> 553.8,TAG(50:1)_FA 18:1,
31,852.8,579.8,77680.32495117188,852.8 -> 579.8,TAG(50:0)_FA 16:0,
32,852.8,581.8,16076.021034240723,852.8 -> 581.8,TAG(50:0)_FA 16:1,
33,868.7,567.7,10394.920799255371,868.7 -> 567.7,TAG(52:6)_FA 18:0,
34,868.7,569.7,12770.000885009766,868.7 -> 569.7,TAG(52:6)_FA 18:1,
35,868.7,595.7,12063.740867614746,868.7 -> 595.7,TAG(52:6)_FA 16:0,
36,868.7,597.7,11125.000793457031,868.7 -> 597.7,TAG(52:6)_FA 16:1,
37,870.8,569.8,10250.94076538086,870.8 -> 569.8,TAG(52:5)_FA 18:0,
38,870.8,571.8,7532.96053314209,870.8 -> 571.8,TAG(52:5)_FA 18:1,
