lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD100-M1-WT-cerebellum10x_01202023,DOD99-M2-WT-cerebellum10x_01202023,M5FAD173-WT-Cerebellum10x_01192023,DOD100-M1-WT-hippo10x_01202023,DOD99-M2-WT-hippo10x_01202023,M5FAD173-WT-Hippo10x_01192023,10xBlank_01202023
Lyso_PE(18:4),3.7745948810564083,10.734631988511412,28.820332058050553,7.941305777165716e-8,1.1888134748417077e-4,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,PE,83877.54577636719,6150566.934814453,200389.6328125,82246.365234375,83568.72521972656,243814.63671875,48831.60382080078
PG (32:5),-3.1764505566657832,8.957047168660448,21.550778398687726,3.4458279888608413e-6,0.00257920224966234,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,PG,59121.56433105469,68848.2642211914,48331.803802490234,1390551.1256103516,58263.66400146485,52151.98425292969,52170.14404296875
PE (18:4),2.515608594320235,8.837548456300825,14.287353270965468,1.5691559311249937e-4,0.07830088096313718,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,PE,74175.2445678711,1346482.1478881836,78917.62585449219,69796.78509521484,70810.50482177734,90006.40637207031,71615.00396728516
PS (32:5),-2.4154090292960833,7.786022676151842,13.274869661692719,2.689875874983874e-4,0.10066860462127147,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,PS,34485.36241912842,38123.52275848389,45578.323150634766,526516.2245483398,33125.182247161865,46853.883239746094,43834.64358520508
"(11Z,14Z)-eicosadienoylcarnitine",0.05206199121735497,11.529491009717308,0.00684290420031175,0.9340727119113943,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CAR,1408351.625,1448199.4814453125,1567602.6728515625,1450859.4833984375,1382104.2397460938,1351883.9409179688,1833013.6752929688
(11Z)-eicoseneoylcarnitine,0.009497656853448827,11.53350054808585,2.277470994158648e-4,0.9879593480125186,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CAR,1410061.365234375,1453789.9145507812,1548320.9340820312,1456478.2348632812,1413134.9760742188,1427365.9682617188,1770335.1005859375
"(13Z,16Z)-docosadienoylcarnitine",0.2528912035101989,11.606093241135467,0.16126298141807638,0.6879963726868179,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CAR,1334500.4373779297,1392547.188293457,2235124.575866699,1468483.6235961914,1328693.3626708984,1344775.7668457031,1846519.2565917969
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",-0.0621006470562003,12.105251493408096,0.009736020954733235,0.9213992749793981,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CAR,2215148.1447753906,2234323.5102539062,2256080.6622314453,2338786.489624023,2207064.514526367,2303434.271972656,2077579.7651367188
"(5Z,8Z)-tetradecadienoylcarnitine",0.47046984794043295,16.745847345269162,0.5563805540130464,0.4557222594769976,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CAR,97017264.0888672,62660995.83984375,69671289.73339844,26782130.583007812,71101793.19970703,66282272.07910156,1785924.2541503906
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",0.1453735730014965,11.354935754818671,0.05333466392039554,0.8173590933342803,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CAR,1186263.4771728516,1201712.4168701172,1592147.222290039,1245549.2482910156,1155280.1492919922,1153606.4608154297,1684194.2908935547
"(7Z,10Z)-hexadecadienoylcarnitine",0.09421693378378201,11.914470236110025,0.02240801559673855,0.8810067748825416,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CAR,1807297.3984375,1819888.0288085935,2113105.662841797,1825433.856201172,1740083.2781982422,1721781.189453125,2578376.0740966797
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",-0.32432766818757386,14.638888932298963,0.26502016044169974,0.6066920248405566,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CAR,13681185.669433594,13360938.161621094,13065989.963378906,16027996.416015623,16234431.17919922,16859631.28076172,2155070.9477539062
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",-0.2486637693257873,13.457958847804393,0.15592342323883251,0.6929377972493399,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CAR,5710127.011474609,5824302.9326171875,5732824.095458984,6432831.161865234,6656555.244384766,6981670.763916016,2817110.0759277344
(9Z)-3-hydroxyoctadecenoylcarnitine,-0.3265624981702592,14.716779066390584,0.26867728386886103,0.6042204445723912,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CAR,14309309.020996094,14130034.278320312,13802748.841796877,16846448.53515625,17096836.13671875,17868681.639160156,2395006.220703125
1-O-behenoyl-Cer(d18:1/16:0),-0.03562107726620099,6.048216079006867,0.0032032192357291933,0.954866232626369,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,Cer,36516.56300354004,35957.262645721436,34225.282024383545,31600.96230316162,38293.782245635986,37147.423122406006,22294.401321411133
1-O-carboceroyl-Cer(d18:1/16:0),-0.15928034243379438,7.392890871691659,0.06401943662217491,0.8002522752900002,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,Cer,92730.02653503418,82360.3857345581,87016.90506744385,61262.46444320679,92696.36716842651,134329.46858596802,49086.90395736694
1-O-carboceroyl-Cer(d18:1/18:0),0.004735421969157548,5.554781167666058,5.6607850751788646e-5,0.9939969177030749,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,Cer,23910.721534729004,21830.84148788452,21737.881813049316,21668.40147781372,23203.34190750122,21004.281448364258,32565.38228225708
1-O-cerotoyl-Cer(d18:1/16:0),-0.0022748084100532155,7.5845008913847485,1.3064568520348985e-5,0.9971160571403774,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,Cer,97478.24760437012,85335.76477050781,105676.1282157898,82006.22617340088,104129.10850906372,99503.34856796265,104272.36771011353
1-O-cerotoyl-Cer(d18:1/18:0),0.08104638776608888,9.348953361712136,0.016581688731321265,0.8975397186462053,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,Cer,305559.53926086426,284533.3180465698,315078.30672073364,280969.05976486206,300359.0815124512,259670.51651763916,544596.580368042
1-O-eicosanoyl-Cer(d18:1/16:0),0.7917816292013986,6.412407359566256,1.5632410724174408,0.21119129526688518,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,Cer,50221.263679504395,97699.06726837158,35528.922370910645,29833.582180023193,35027.162464141846,34894.54271697998,28402.641986846924
1-O-lignoceroyl-Cer(d18:1/16:0),-0.12831643891764352,7.1225223399841635,0.04155537656083652,0.8384696567431886,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,Cer,77242.60544967651,81890.94709014893,73431.82516098022,54778.02419662475,81422.12617874146,112472.52647018433,19274.341342926025
1-O-myristoyl-Cer(d18:1/16:0),0.1543864663996949,6.646165908711978,0.060146109223353506,0.8062651578202005,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,Cer,55769.94352340698,59503.92415237427,51984.18327713013,46942.16307449341,50195.963748931885,49277.52336502075,43334.30277252197
1-O-palmitoyl-Cer(d18:1/16:0),0.22999293408915125,6.510468795271297,0.1334018871589251,0.7149305969402662,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,Cer,42922.682651519775,68184.54487991333,40714.48252868652,41863.74258804321,41158.282787323,40904.52328491211,50665.82361602783
1-O-stearoyl-Cer(d18:1/16:0),1.040917368848389,6.713572395207896,2.678102941149973,0.10173685831722948,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,Cer,61475.42427444458,137949.04893875122,43658.14338684082,34317.60231781006,35969.52249908447,40138.9030418396,32940.40257644653
1-O-tricosanoyl-Cer(d18:1/16:0),0.04276545959081081,6.3044226968152275,0.004617013247354862,0.9458265450260457,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,Cer,43802.02247619629,44314.10312652588,45363.443408966064,36280.562450408936,43573.80286026001,47277.84367752075,21537.66153717041
1-O-tricosanoyl-Cer(d18:1/18:0),-0.06734459657334647,4.480231940817182,0.011446197919577905,0.9147993681313573,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,Cer,11110.9609375,11287.780799865724,10400.820728302002,10864.320823669434,11811.08076095581,10880.9607963562,12759.900817871094
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",-0.1327015408327182,12.939162348512847,0.04444490728554751,0.8330280371135935,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CAR,4113421.935546875,4024964.0034179688,4172629.288574219,4530618.3974609375,4468202.2490234375,4224210.512207031,2428656.8916015625
12:0 Cholesteryl ester,0.032193706681015524,8.165056352540073,0.002616655925521627,0.9592033968137013,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,194297.81564331055,206243.57360839844,53790.523944854736,186232.6936645508,183007.07179260257,49461.103244781494,158999.98956298828
12:0 Cholesteryl ester_2,-0.024987255988138276,8.157277563051734,0.001576323207700625,0.9683299601246735,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,190207.0535888672,198169.45237731937,51690.70365142822,189840.21322631836,177894.63215637207,54207.28388977051,163044.15301513672
14:0 Cholesteryl ester,0.14638158764966414,7.506297086408903,0.05407480690337252,0.8161186976722462,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,151012.9727783203,95271.94723510742,54412.36402511597,104420.42792510986,109004.62704467772,49358.223373413086,85346.74568939209
14:1 Cholesteryl ester,0.1339702107907981,7.521062570390541,0.04529693254517042,0.8314589700859197,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,146649.31089782715,99486.52751159668,53858.74382400513,103682.6265411377,112287.36878967284,47979.98323059082,91728.62675476074
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,-0.05244441836477719,8.772280015331905,0.006943708634935319,0.9335900067248205,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,273822.9802246094,280063.29833984375,99011.74743652344,274064.7186279297,268143.77795410156,100182.9266052246,268696.0985107422
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,-0.10223823369510528,8.772247106487058,0.026384726479591336,0.870964286983811,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,266944.2990722656,270783.4014892578,96553.88653564452,278048.1408691406,271687.5393066406,96428.72689819336,281328.5203857422
15:0 Cholesteryl ester,-0.09320125832101188,8.672919765992553,0.021927262991084717,0.8822807613847189,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,241246.33728027344,253455.57739257812,105602.46716308594,258305.59765625,248950.81713867188,102162.18740844728,248100.27880859375
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,-0.09395045941980944,8.827297906609413,0.022281178426055703,0.8813415234480905,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,278759.4783935547,273873.7996826172,111482.82788085938,286384.1994628906,276976.9796142578,111654.76879882812,282264.8193359375
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,-0.11746047947190877,8.840771174039853,0.03482416687620571,0.8519645877770075,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,272410.89880371094,280813.90087890625,110884.42791748048,293948.66052246094,278041.7590332031,112872.2681274414,287922.24072265625
15:1 Cholesteryl ester,-0.05765044009258176,8.708931205308215,0.008390597904508468,0.9270156870585612,0.9999596388429572,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ hippo,CE,260969.47998046875,254370.2586669922,106415.78732299805,261043.47790527344,247970.59814453125,107635.2876586914,255572.7781982422
