lipid,logFC,logCPM,LR,PValue,FDR,type,DOD100-M2-5xFAD-cortex10x_01202023,DOD99-M1-5xFAD-cortex10x_01202023,M1FAD173-5xFAD-Cortex10x_01182023,M2FAD173-5xFAD-Cortex10x_01192023,DOD100-M2-5xFAD-hippo10x_01202023,DOD100-M3-5xFAD-hippo10x_01202023,DOD99-M1-5xFAD-hippo10x_01202023,M1FAD173-5xFAD-Hippo10x_01182023,M2FAD173-5xFAD-Hippo10x_01192023,10xBlank_01202023
Lyso_PE(18:4),1.9151627466674348,8.509121210924008,12.48621618135121,4.0996572723166e-4,0.613718693665795,PE,132420.98950195312,49292.863525390625,50390.56359863281,1178031.4189453125,160638.87255859375,112687.5479736328,27969.562103271484,35946.782318115234,90881.506103515625,48831.60382080078
"(11Z,14Z)-eicosadienoylcarnitine",-0.4366852316422855,11.574324598480155,0.6538480196904859,0.4187402624881608,0.9994622267857053,CAR,1429124.1762695312,1350856.4809570312,1431788.9677734375,1357653.3920898438,1322329.38671875,1437470.2348632812,1481437.8369140625,1510009.1274414062,1611557.333984375,1833013.6752929688
(11Z)-eicoseneoylcarnitine,-0.40580952801952846,11.585434574597052,0.5653838184516644,0.4520991170998999,0.9994622267857053,CAR,1461574.3852539062,1395572.740234375,1457662.7182617188,1408961.5532226562,1324620.29296875,1469218.4106445312,1479341.6264648438,1496397.3359375,1650848.89453125,1770335.1005859375
"(13Z,16Z)-docosadienoylcarnitine",-0.42259883063962783,11.564483651303242,0.6127076794036839,0.43377013868602027,0.9994622267857053,CAR,1420361.1004638672,1281745.7750854492,1508125.2795410156,1349872.0334472656,1265010.6803588867,1427897.3614501953,1472655.911315918,1561466.8793945312,1541192.444946289,1846519.2565917969
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",-0.4499906487208024,12.191004008386296,0.6939074381261892,0.40483848760836927,0.9994622267857053,CAR,2184246.087890625,2205746.576171875,2470854.001464844,2018780.289794922,2194784.690185547,2492220.4825439453,2412503.1643066406,2579735.21484375,2093678.0153808591,2077579.7651367188
"(5Z,8Z)-tetradecadienoylcarnitine",-1.1905402521334445,16.568201751953296,4.66216267501666,0.030834330208618612,0.9994622267857053,CAR,29948597.337890625,26648913.84375,16632944.549316406,65346110.588378906,30582186.538085938,28337082.129882812,139608184.45239258,26376597.729492188,25367756.57104492,1785924.2541503906
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",-0.4412331288176009,11.377680845513126,0.6674093056935819,0.41395630167652275,0.9994622267857053,CAR,1260946.1431884766,1137990.1825561523,1271184.7647705078,1143505.6591796875,1110796.737915039,1253343.1610107422,1276397.7185058594,1314163.553955078,1433375.403076172,1684194.2908935547
"(7Z,10Z)-hexadecadienoylcarnitine",-0.44162809620652027,11.923447604463796,0.668593995866104,0.41354223389794686,0.9994622267857053,CAR,1770713.409423828,1717515.307861328,1811327.671875,1667394.3842773438,1606353.2426757812,1873921.4216308591,1902876.1496582031,2005393.249267578,1818268.425048828,2578376.0740966797
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",-0.21243497765355052,14.991237798021416,0.15606432905704004,0.6928061500605195,0.9994622267857053,CAR,16470506.173828123,19040901.25390625,19527801.967285156,19669121.095703125,22132601.1640625,12139073.696289062,18102972.64501953,15758916.81298828,14440797.770507812,2155070.9477539062
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",-0.26824011638602746,13.753959991778718,0.24834294483022923,0.6182442852120851,0.9994622267857053,CAR,6556788.756103516,7579394.700439453,7847061.452392578,7985043.280273437,8245887.214111328,5412256.6162109375,7534727.410644531,6695696.98828125,6682941.8681640625,2817110.0759277344
