lipid,logFC,logCPM,LR,PValue,FDR,type,DOD100-M2-5xFAD-cortex10x_01202023,DOD99-M1-5xFAD-cortex10x_01202023,M1FAD173-5xFAD-Cortex10x_01182023,M2FAD173-5xFAD-Cortex10x_01192023,DOD100-M2-5xFAD-diencephalon10x_01202023,DOD100-M3-5xFAD-diencephalon10x_01202023,DOD99-M1-5xFAD-diencephalon10x_01202023,M1FAD173-5xFAD-Diencephalon10x_01182023,M2FAD173-5xFAD-Diencephalon10x_01192023,10xBlank_01202023
22:2 Campesteryl ester,-2.1509723340097002,10.479420364395736,18.680540968693094,1.5455171045867686e-5,0.011568195527831962,CE,560526.3181762695,350653.6643676758,191685.95164108276,109390.46683120728,3415261.498123169,1941418.5549240112,950963.794708252,341881.02141952515,226201.93586730957,80835.36569976807
22:3 Campesteryl ester,-2.197545072535964,10.712409255675539,19.417521364142885,1.050389563637203e-5,0.011568195527831962,CE,665137.4459533691,401060.3264312744,213215.67528152463,110209.54704284668,4006962.4003601074,2313333.353652954,1145395.0406341553,463608.8536758423,215819.47241592407,78485.72638702393
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",-1.9868472972436957,10.822161087501572,16.168518229387704,5.7949242260935613e-5,0.018846929519958547,CE,760646.4669799805,476102.9566268921,238534.7177581787,214955.03761291504,4193570.23059082,2436225.9285354614,1227538.8339004517,487762.71195983887,245699.79766082764,79871.64535522461
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",-2.0273887093573686,10.832265367399602,16.776375825735155,4.205360901660679e-5,0.018846929519958547,CE,759511.5723876953,460364.1280517578,238796.4598121643,205046.51355743408,4263195.970428467,2450399.517211914,1237139.4935913086,480094.97539901733,260850.21912384033,78654.8657836914
"Cholesteryl 11-hydroperoxy-eicosatetraenoate, 22:2 Cholesteryl ester, 20:1 Stigmasteryl ester, 20:2 Sitosteryl ester",-1.9763013761247017,10.846357304306233,16.01179768280417,6.294899639264712e-5,0.018846929519958547,CE,785230.433883667,486303.7544708252,242612.57849502563,212423.1340522766,4335094.217636108,2424601.445907593,1214155.489013672,473240.09295654297,260224.8973274231,95162.20687866212
TAG(58:8)_FA 20:0,1.746966137505784,6.853267389567728,13.854556481217049,1.9751722972121053e-4,0.04928054881544203,TAG,34199.32277679443,347220.5799560547,42440.74317932129,25080.001861572266,28455.601776123047,35273.68272399902,40271.56262207031,36963.423263549805,24750.1417388916,27536.982162475582
"ecdysone palmitate, 22:3 Cholesteryl ester, 20:2 Stigmasteryl ester, 20:3 Sitosteryl ester",-1.7646659880597784,10.941656532367185,12.99373985567945,3.125341124147381e-4,0.066837652326409,CE,886596.4566040039,609977.1625366211,312567.95877075195,252679.2993774414,4266531.996337891,2546012.7651367188,1304348.4512939453,547096.079498291,299023.34020996094,186491.7528076172
PS (32:5),-1.7398346340828834,7.835618948063747,12.655666305812701,3.7442912746480457e-4,0.07006505047685156,PS,30044.382289886475,21637.281494140625,142611.30975341797,50807.263427734375,34273.522399902344,65589.324462890625,26214.4017868042,45109.22280883789,718289.7510681152,43834.64358520508
20:0 Campesteryl ester,-1.5593353312780205,11.124272196029732,10.311848139826907,0.0013217884646736639,0.18386606711919581,CE,1051954.5400390625,802405.31298828125,404391.10778808594,333963.88360595703,4539166.369384766,2738800.2377929688,1488004.1958007812,631150.6455078125,367630.4270629883,317584.8635253906
22:5 Cholesteryl ester,-1.5431169562763893,11.14236957408411,10.110991758701857,0.0014738762895326319,0.18386606711919581,CE,1072980.8911132812,829280.7783203125,412156.6676635742,328844.22247314453,4551026.404541016,2730467.060913086,1502246.861694336,666926.9046630859,385240.2494506836,343852.4637451172
22:6 Cholesteryl ester,-1.549827045245774,11.115751548207982,10.193891778617399,0.0014090661663025887,0.18386606711919581,CE,1064576.5604248047,808378.1989746094,398871.7492675781,318702.20233154297,4458070.431640625,2715212.2209472656,1491101.0864257812,645550.1623535156,377736.9682617187,318345.9444580078
Cholesteryl nitrolinoleate,-1.5472836702073398,11.090286813464651,10.162435270496644,0.0014333116707051668,0.18386606711919581,CE,1035345.849609375,787725.51953125,392853.3888854981,329565.4995727539,4343857.308349609,2643083.231811523,1497477.1091308594,648281.0699462891,371760.6458129883,321258.66369628906
20:1 Campesteryl ester,-1.5192527630567894,11.053806347735424,9.818462683761027,0.001727686917329507,0.19841467580922054,CE,1035268.6345214844,770815.9124755859,390393.90771484375,324425.34533691406,4235422.83215332,2598765.4096679688,1407519.564819336,627173.1862182617,362508.36560058594,310572.0031738281
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",-1.5084454037476647,11.162526525044418,9.687179561937228,0.0018555814704937124,0.19841467580922054,CE,1093322.7568359375,861990.7429199219,423409.32794189453,346047.02673339844,4550953.7470703125,2741932.9650878906,1526239.79296875,680709.7716064453,397991.8699951172,370215.2233886719
PG (32:5),-1.4300715860739786,8.009621361941845,8.757405726595607,0.0030834735548180515,0.30773066077084155,PG,64834.60479736328,61361.8037109375,141260.64776611328,55899.803955078125,56995.0637512207,66687.0654296875,55179.38348388672,45016.043365478516,738903.2070922852,52170.14404296875
"lanosteryl oleate, 20:2 Campesteryl ester",-1.3141406318329736,10.826896085753189,7.457223916979274,0.0063182370279308165,0.591150051925777,CE,916787.4792480468,753635.3916015625,374125.9454345703,316658.740234375,3263123.1767578125,2069157.8939208984,1236304.8525390625,569448.6436157227,348855.00384521484,399176.990234375
"(11Z,14Z)-eicosadienoylcarnitine",-0.11219216372918009,11.422355995681812,0.0578163715726987,0.8099811479766543,0.9998952798792559,CAR,1429124.1762695312,1350856.4809570312,1431788.9677734375,1357653.3920898438,1490627.2612304688,1620460.4702148438,1434255.701171875,1426995.7827148438,1442118.8286132812,1833013.6752929688
(11Z)-eicoseneoylcarnitine,-0.10565635287038674,11.445605650369743,0.051286369845911395,0.8208398233678699,0.9998952798792559,CAR,1461574.3852539062,1395572.740234375,1457662.7182617188,1408961.5532226562,1498962.5366210938,1640511.7080078125,1468215.3647460938,1455302.6083984375,1517652.2963867188,1770335.1005859375
"(13Z,16Z)-docosadienoylcarnitine",-0.1689979093815579,11.448323981592436,0.13095445359977023,0.7174444742259319,0.9998952798792559,CAR,1420361.1004638672,1281745.7750854492,1508125.2795410156,1349872.0334472656,1468592.0839233398,1801727.1483154297,1494908.485961914,1415503.9500732422,1514023.7989501953,1846519.2565917969
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",-0.1689689547733204,12.055373608351562,0.13090984257246419,0.7174905420384422,0.9998952798792559,CAR,2184246.087890625,2205746.576171875,2470854.001464844,2018780.289794922,2392796.6845703125,2414485.858154297,2782494.2834472656,2515677.2600097656,2177589.061767578,2077579.7651367188
"(5Z,8Z)-tetradecadienoylcarnitine",0.4004201914836652,15.595059178150692,0.7440471357358289,0.38836751255093654,0.9998952798792559,CAR,29948597.337890625,26648913.84375,16632944.549316406,65346110.588378906,24583201.19921875,20847168.3828125,28155528.892578125,22671427.51611328,34723637.06933594,1785924.2541503906
