lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD100-M1-WT-cortex10x_01202023,DOD100-M2-5xFAD-cortex10x_01202023,DOD99-M1-5xFAD-cortex10x_01202023,DOD99-M2-WT-cortex10x_01202023,M1FAD173-5xFAD-Cortex10x_01182023,M2FAD173-5xFAD-Cortex10x_01192023,M5FAD173-WT-Cortex10x_01192023,DOD100-M1-WT-diencephalon10x_01202023,DOD99-M2-WT-diencephalon10x_01202023,M5FAD173-WT-Diencephalon10x_01192023,10xBlank_01202023
1-O-carboceroyl-Cer(d18:1/16:0),0.42896746492621407,7.437538800219786,0.7519765894921873,0.385851151515052,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,Cer,119585.8681526184,94097.04789352416,71634.02543640137,86770.38639831543,152652.411567688,90605.04538345335,115558.20627593994,63072.24443435669,96314.38687133788,71027.58568572998,49086.90395736694
1-O-carboceroyl-Cer(d18:1/18:0),0.1858800612288102,5.458893352431986,0.14467688590650596,0.7036751231705892,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,Cer,24480.881874084476,24564.40146255493,21907.801445007324,23461.22156906128,21279.241298675537,21167.64161300659,21810.941791534424,16931.921321868896,20784.1814994812,21460.881801605225,32565.38228225708
1-O-cerotoyl-Cer(d18:1/16:0),0.046828871055855904,7.405349010643915,0.009306873651439673,0.9231456003559488,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,Cer,100954.5672607422,77182.18599319458,67614.68476867676,83571.66579055786,112079.00816345216,75406.60494613647,98255.28512954712,63247.98458099365,78392.94470977783,111197.36640167236,104272.36771011353
1-O-cerotoyl-Cer(d18:1/18:0),0.0947765324426737,9.095706960080287,0.037951090200408544,0.8455413837679109,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,Cer,304801.284576416,261576.97959136963,228328.8583450317,276514.4203910828,223601.6531028748,227696.1364517212,285917.71657562256,157930.9115447998,228741.71733093265,339689.64263916016,544596.580368042
1-O-eicosanoyl-Cer(d18:1/16:0),-0.1384341873399372,6.1832607651609095,0.08271122936963593,0.773656313036286,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,Cer,38517.28271102905,36027.762283325195,42948.363021850586,40629.2631149292,42736.36308288574,30331.58203125,37163.8623008728,40477.462688446045,47302.34348678589,36310.98204803467,28402.641986846924
1-O-lignoceroyl-Cer(d18:1/16:0),0.3758348185570483,7.248870127660627,0.5804010281894989,0.4461551736109602,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,Cer,104923.82834243774,84782.36605834961,66330.18539047241,79647.96742630005,144407.71041107178,81413.10648345947,97751.66666412354,70156.98491287231,90403.96683502196,53195.04327392578,19274.341342926025
1-O-myristoyl-Cer(d18:1/16:0),0.13285882514686348,6.553072861257798,0.07430060277397388,0.7851750351014445,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,Cer,55029.08363342285,54183.54351043701,53711.363929748535,50479.26407623291,49155.66358947754,50361.16374969482,45911.8233833313,44181.50326156616,49011.963397979736,45070.7234954834,43334.30277252197
1-O-palmitoyl-Cer(d18:1/16:0),0.01751045844040399,6.380583008714909,0.0013047860764849872,0.971185221668239,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,Cer,41975.34289932251,42159.56315231323,46103.00323486328,43672.76354598999,43331.863063812256,40639.18308258057,43771.94339752197,39518.76318740845,44456.16331863403,41486.06307220459,50665.82361602783
1-O-stearoyl-Cer(d18:1/16:0),-0.17020256108112078,6.437648817633484,0.12537983347333181,0.723271324575122,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,Cer,44340.32306671143,41978.90271377564,47592.20374298096,49289.16366195679,53856.84366226196,37718.002490997314,44351.12351226807,51899.82354354858,56296.36441421509,42019.50308609009,32940.40257644653
1-O-tricosanoyl-Cer(d18:1/16:0),0.2645620714161725,6.434041909670175,0.29084420420565493,0.5896800516447979,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,Cer,45042.482692718506,47917.14291381836,44551.78361511231,47179.88382720947,79700.04627227783,46306.86296844482,49861.92351913452,42341.26301193237,47969.623191833496,34593.72241592407,21537.66153717041
1-O-tricosanoyl-Cer(d18:1/18:0),0.13783917406885915,4.434714409853484,0.07991440085901047,0.7774134455775984,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,Cer,13229.820877075195,11874.98077774048,11112.440662384031,10774.420791625977,11614.500896453856,10037.64073562622,11459.260730743408,9018.440578460692,11086.620765686035,10810.2406539917,12759.900817871094
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",-0.08619094897321947,13.016685318566374,0.0319172068680631,0.8582094892119013,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CAR,3537992.9995117188,4612804.606933594,5059683.297363281,4869216.183105469,5089087.544433594,4672021.863769531,3993657.2543945312,5983760.49609375,5044906.811035156,2897261.4868164062,2428656.8916015625
12:0 Cholesteryl ester,-0.04436150909301598,8.053001085298717,0.008422823695582338,0.9268760581620715,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,184184.01274108887,206443.9545135498,187842.8329925537,194290.03338623047,54702.86418151856,53449.14390563965,57300.26417160034,169429.59413146973,191839.97328186035,48507.40311431885,158999.98956298828
12:0 Cholesteryl ester_2,-0.012674557902066064,8.045645703122338,6.855675455881283e-4,0.9791111002428794,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,194223.2352294922,198899.3538360596,189600.5742797852,194121.27363967896,50913.96357727051,49618.86361312866,55628.72424697876,170046.1913909912,177208.31147766113,51444.80327987671,163044.15301513672
14:0 Cholesteryl ester,0.22727320260356706,7.389837028322261,0.21543953385389614,0.6425369538488622,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,174361.71353149414,107908.76762390137,103784.52690124512,103502.50770568848,43653.82319641113,49058.56335067749,44501.42287063599,99233.18690490724,90300.9059906006,40449.28260803223,85346.74568939209
14:1 Cholesteryl ester,0.19791642888726846,7.368859864935956,0.16384995366843214,0.6856364114962085,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,167934.35008239746,101516.40711975098,103069.94741821288,103306.90727233888,42685.24269104004,45816.14336395264,43761.02275466919,93945.5266494751,94580.62687683104,39776.48303985596,91728.62675476074
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,-0.0795720568290479,8.745645427096383,0.027186680701561272,0.8690354120933894,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,292253.8006591797,289878.5213623047,287886.201171875,309868.7003173828,121756.2882385254,94190.34649658205,101925.20712280272,282307.5396728516,277162.119140625,107436.90838623048,268696.0985107422
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,-0.08452264363134349,8.75636357961114,0.030688425846165046,0.860937316650044,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,288007.4022216797,292477.3010253906,290238.6412353516,308109.24353027344,120988.00839233398,93845.26657104492,105516.18823242188,282309.6809082031,278571.67907714844,108698.96670532228,281328.5203857422
15:0 Cholesteryl ester,-0.13150532893352374,8.61011509396755,0.0745991526346188,0.7847544744969729,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,253107.4787597656,259193.8380126953,259023.73706054688,264173.32067871094,110598.20782470705,99013.02743530272,101124.08694458008,257820.4782714844,246816.4970703125,116445.74822998048,248100.27880859372
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,-0.11174941484334548,8.779566326145302,0.05377459451847244,0.8166207345672571,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,278878.5386352539,296957.74169921875,290135.00103759766,308956.20349121094,120349.36853027344,108678.26788330078,115424.5080871582,295206.8620605469,267262.1589355469,126887.06896972656,282264.8193359375
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,-0.06841135850320082,8.783396281986542,0.020074943953659385,0.887327974217174,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,286760.6004638672,299675.64099121094,298718.8214111328,295662.2412109375,121086.38803100586,111295.56848144533,118771.74865722656,280321.3400878906,274924.6597290039,121661.82904052734,287922.24072265625
15:1 Cholesteryl ester,-0.0901597203547479,8.66286186253536,0.034935980242153164,0.8517298726272726,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,279110.23876953125,268055.0593261719,267581.09765625,272599.61767578125,112505.0086364746,97831.46688842772,109607.08767700195,268707.9381103516,249741.7177734375,113070.3878173828,255572.7781982422
16:0 Campesteryl ester | 17:0 Cholesteryl ester,-0.16387985558060797,8.729975679030522,0.11618130115857639,0.7332136595137497,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,181109.19328308103,482661.26905822754,230368.095413208,438289.16777038574,157669.31104660034,44475.38328170776,77134.06510925293,336776.8264312744,328525.7266998291,76195.66496658325,121273.30940246582
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,-0.18879181836443804,8.735069823351962,0.15452302249832428,0.694249933646976,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,187184.9127502441,457017.1744232178,232697.2156829834,443183.8342895508,162404.1529197693,42214.92322540283,79354.32606506348,347830.1068267822,326737.5634002685,75534.00523757935,125768.08905029295
16:2 Campesteryl ester,-0.1733981961476178,8.690577874050565,0.13017718046512528,0.7182484028577477,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,167781.59133911133,468778.7299804688,229844.91590881348,418315.46867370605,165206.61423492432,43435.38317108154,74919.82628250122,342955.9080352783,310051.0410308838,69768.96461868286,117353.56846618652
"16:2 Cholesteryl ester, zymosteryl palmitoleate",-0.07900597216858443,8.749024182686943,0.02679987130977679,0.8699620724859587,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,292551.71875,286850.72009277344,293157.0216064453,297439.0616455078,113731.94830322266,101456.2074584961,110140.7073059082,280581.6188964844,265993.7189941406,119384.78771972656,274790.7999267578
16:3 Campesteryl ester,-0.17225988333864176,8.672167328234638,0.12846086198987905,0.7200332378844145,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,170507.59172058103,456562.5186233521,217033.97341918945,427672.8699798584,160582.991481781,41053.32256317139,75315.50601577759,332875.0812988281,310477.7449951172,71218.46506500244,114802.70822143556
16:3 Cholesteryl ester,-0.07656915505988839,8.689175066635931,0.0251666193435085,0.8739525875351173,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,270792.63830566406,273550.51916503906,280845.88049316406,275931.4796142578,118023.78784179688,104182.76788330078,110097.02749633788,259728.7784423828,258171.55993652344,119627.44903564452,268572.4782714844
16:3 Stigmasteryl ester,-0.1598282212729292,9.01567078954133,0.11046871186908902,0.739611143779804,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,238233.19439697263,542890.2322692871,303466.01583862305,491452.9175415039,177535.57064819336,70479.92538833618,112134.6275253296,417130.1490478516,365903.52224731445,105826.8872909546,174687.61349487305
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",-0.13740902807775368,9.175073453807467,0.08149060158029897,0.7752874652978969,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,269417.33947753906,609582.4785461426,339927.88663482666,589933.1188049316,196164.55129241943,63067.42455291748,103941.22734069824,472836.2958374024,411432.9081420898,95725.1279220581,197711.39486694336
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",-0.1427814953303828,9.188703566253706,0.08802918071887689,0.7666977563787531,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,275774.5595397949,612892.9210205078,352186.2632141113,578218.7215881348,199214.2363128662,66339.54444122314,105990.80756378174,467518.1094055176,432811.65029907227,94433.90701293944,197452.6138916016
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",-0.12635116698571983,9.17159584331808,0.06883523249052814,0.793040289858773,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,272276.99826049805,604201.1010437012,344977.4267883301,578229.0800170898,195620.6760406494,66619.54499816895,104960.36757659912,449361.2501220703,421981.7488708496,102442.5464553833,201944.2561798096
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",-0.15206176748049927,9.181647991910527,0.09992572851751902,0.7519187809283892,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,282595.2204284668,601233.5832366943,331640.3845214844,584872.5077514648,200966.05520629883,63674.6642036438,106163.54775619508,468996.0119934082,424691.0045776367,98708.50708389282,199674.9553833008
17:1 Cholesteryl ester; 16:1 Campesteryl ester,-0.19863097218156894,8.721185278558925,0.1711947101575788,0.6790522063903095,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,172803.25178527832,471428.01194763184,218880.09548187256,436325.7263793945,165967.61249160767,46261.54291534424,77847.66497421265,345805.9059753418,328314.5411529541,73089.96499633789,122837.10720825195
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,-0.20671625351099998,8.668061123478012,0.18554450191004435,0.6666510540511141,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,165014.77180480957,460792.76985168457,206078.07276916504,415234.27352905273,160566.41161346436,45343.34331130981,75341.58574676514,334849.38470458984,315089.0400085449,72327.7248840332,119584.48794555664
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",-0.06903346125206684,8.497979768665186,0.020442777386051603,0.886307365822045,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,238098.99700927731,278488.0610809326,250274.46084594727,265711.5782318115,88312.66635894775,66861.42481994629,72586.16502380371,251351.8338623047,233254.1951904297,69918.46492004395,232670.8377380371
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",-0.0920080152012444,8.518748857623608,0.03638900494843256,0.8487143937959989,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,234472.71701049805,273423.89978027344,259398.0389404297,270909.55950927734,92443.26620483398,70337.48574829102,68150.66487884521,256823.51718139648,238287.11483764648,71601.82501220703,241449.8783721924
18:1 Campesteryl ester,-0.11283326126434468,8.458746082273608,0.05482780334568815,0.8148659096721217,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,233450.5391235352,263904.27825927734,252689.3544921875,261731.28118896484,82409.8259010315,56984.78404998779,63951.22497558594,251414.53872680664,228142.67880249023,71419.0849647522,225617.7167816162
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",-0.21483518842036559,9.247523527726354,0.2005465443835419,0.6542800523659144,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,289138.4790649414,604406.4444274902,375458.106048584,585151.3779449463,202646.0722885132,67644.66412353516,102739.50680541992,503344.5899963379,456015.0985107422,103999.52606201172,224405.7758178711
18:3 Campesteryl ester,-0.11019765981048511,8.341741113335582,0.05228397720929934,0.8191355973094445,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,213127.35446166992,233462.63381958008,232237.91787719727,242607.49642944336,76780.36492156982,65536.76523590088,66174.2045288086,230115.6553955078,210156.63537597656,71416.26483917236,197820.75631713867
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",-0.1872532370037781,9.284689339367219,0.15199517212749925,0.6966359455506133,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,315847.1044616699,619175.6261291504,365628.6613922119,595870.3013763428,202318.07664489743,71515.98536682129,103495.5284690857,507221.6766357422,458659.0358581543,101501.9271697998,254542.4615478516
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",-0.03366753382803024,9.265574944411073,0.004846757248742506,0.9444971877102897,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,419422.98986816406,447091.572631836,447873.4123535156,415310.3869628906,205471.35342407227,140569.51007080078,146106.55047607422,410047.4875488281,395767.2680664063,149879.97039794922,328716.4434814453
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",-0.01656234360469414,9.274592026209715,0.0011710921971825883,0.9727007418543975,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,427756.9488525391,443882.2932128906,452466.95568847656,430666.9284667969,199821.99346923828,138753.42993164062,150386.73071289062,410446.4294433594,389397.6693115234,154023.69094848633,329537.4803466797
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",-0.014682182176344207,11.26504205255293,9.201489447150379e-4,0.975800715289962,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CAR,1218044.2957763672,1195290.807861328,1194065.662109375,1240025.518798828,1239282.0832519531,1133090.1042480469,1244585.4881591797,1111581.3986816406,1121579.8967285156,1366424.7204589844,1930786.4631347656
20:0 Campesteryl ester,0.14053108050190974,10.178327174540117,0.08307458698254777,0.773173269860658,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,944354.227294922,1051954.5400390625,802405.31298828125,799106.8182373047,404391.10778808594,333963.88360595703,242206.25750732425,792573.4987792969,704186.2043457031,251567.6792602539,317584.8635253906
20:1 Campesteryl ester,0.12975249931014607,10.13860704034753,0.0708933418864035,0.7900404890755128,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,922340.90771484375,1035268.6345214844,770815.9124755859,768436.0723876953,390393.90771484375,324425.34533691406,229859.89709472656,774650.533203125,688702.3489990234,246157.97802734372,310572.0031738281
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",-0.044421081559780584,9.26991371496682,0.008445650804787874,0.9267773150741899,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,420065.7504882813,445063.4099121094,438793.0089111328,422728.80859375,196959.51458740237,143887.10974121094,149125.32971191406,414108.267944336,387061.1658935547,159229.2709350586,336350.2844238281
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",-0.07787176042971589,9.27023069240579,0.026033410147647373,0.8718187511787319,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,420005.0883789063,442481.4721679688,434864.9537353516,413933.3474121094,198226.1947631836,142786.26989746094,152263.0704345703,419701.06994628906,395618.7508544922,162763.43139648438,332064.9237060547
20:3 Campesteryl ester,0.08234748288062081,9.998954710585616,0.02868398471036926,0.865510755704267,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,831691.5396728516,690644.8483886719,670642.06982421875,630418.0675048828,303552.1791381836,338287.26470947266,291385.0417480469,603714.2861328125,607590.48828125,299902.3406982422,532591.3153076172
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",-0.025205367315417095,9.05311405756843,0.0027144218183821067,0.9584489225943956,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,340624.28259277344,373994.6680908203,377226.9892578125,362469.4854736328,181923.79260253903,143761.37060546875,146808.49047851562,346226.2841796875,322671.5235595703,153372.83123779297,281844.6805419922
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",-0.014866072810707558,9.190349838659692,9.433481027372181e-4,0.9754976480282928,0.9994260028005292,7,3,Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,348037.0646057129,426969.5148162842,402345.11001586914,402231.2696151733,157411.192817688,135987.24981689453,144343.5308227539,355207.22428894043,350653.64825439453,149925.87145996094,433173.9257125855
