lipid,logFC,logCPM,LR,PValue,FDR,type,DOD100-M1-WT-cortex10x_01202023,DOD99-M2-WT-cortex10x_01202023,M5FAD173-WT-Cortex10x_01192023,DOD100-M1-WT-hippo10x_01202023,DOD99-M2-WT-hippo10x_01202023,M5FAD173-WT-Hippo10x_01192023,10xBlank_01202023
PG (32:5),-3.2119509187671307,8.960397398057452,23.962409926030887,9.823503866652996e-7,0.0014705785288379536,PG,56942.42364501953,58152.703552246094,54420.323791503906,1390551.1256103516,58263.66400146485,52151.98425292969,52170.14404296875
PS (32:5),-2.456978906460397,7.793539999156549,14.935886831245625,1.1122695640756905e-4,0.08325337687106543,PS,37565.022899627686,23301.04162597656,54567.80407714844,526516.2245483398,33125.182247161865,46853.883239746094,43834.64358520508
"(11Z,14Z)-eicosadienoylcarnitine",-0.0033873640054522024,11.554752249542346,3.160312553518452e-5,0.995514583336752,0.999964504802779,CAR,1464825.83203125,1445031.9301757812,1422254.4301757812,1450859.4833984375,1382104.2397460938,1351883.9409179688,1833013.6752929688
(11Z)-eicoseneoylcarnitine,-0.03188104290300035,11.564215176902385,0.0027993482144665904,0.957804519394886,0.999964504802779,CAR,1450974.412109375,1446175.0439453125,1469500.5795898438,1456478.2348632812,1413134.9760742188,1427365.9682617188,1770335.1005859375
"(13Z,16Z)-docosadienoylcarnitine",0.016980942932485515,11.553680873757722,7.941855801618658e-4,0.977517553005948,0.999964504802779,CAR,1547859.026428223,1384342.3704833984,1401085.4095458984,1468483.6235961914,1328693.3626708984,1344775.7668457031,1846519.2565917969
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",-0.07181078951871381,12.144576006795553,0.014201544516254216,0.9051404889116385,0.999964504802779,CAR,2341072.076904297,2281951.5776367188,2132253.7890625,2338786.489624023,2207064.514526367,2303434.271972656,2077579.7651367188
"(5Z,8Z)-tetradecadienoylcarnitine",-0.1598548177925516,16.450541309071685,0.07034466158376329,0.7908356129358469,0.999964504802779,CAR,75825428.853515625,29749622.64453125,40969587.21484375,26782130.583007812,71101793.19970703,66282272.07910156,1785924.2541503906
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",0.053917008156001534,11.365921433155327,0.008006206762729562,0.9287025063812109,0.999964504802779,CAR,1355693.1580810547,1244091.2459716797,1216621.2817382812,1245549.2482910156,1155280.1492919922,1153606.4608154297,1684194.2908935547
"(7Z,10Z)-hexadecadienoylcarnitine",0.0016466128701790482,11.926966057928217,7.4671551146821e-6,0.9978196957191571,0.999964504802779,CAR,1808904.2744140625,1820135.4990234375,1873401.7072753904,1825433.856201172,1740083.2781982422,1721781.189453125,2578376.0740966797
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",-0.27262922831353076,14.692558618567679,0.20440961563682503,0.6511848297086108,0.999964504802779,CAR,10508922.293945312,17918375.471679688,14634731.657226562,16027996.416015623,16234431.17919922,16859631.28076172,2155070.9477539062
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",-0.21089137843113906,13.510852129113317,0.12238631513723257,0.7264606126833559,0.999964504802779,CAR,4689957.828857422,7210002.552490234,6411734.287353516,6432831.161865234,6656555.244384766,6981670.763916016,2817110.0759277344
(9Z)-3-hydroxyoctadecenoylcarnitine,-0.2685196869107417,14.773441852665377,0.19830242977718643,0.656094579007778,0.999964504802779,CAR,11026079.612304688,19093728.143554688,15453683.57763672,16846448.53515625,17096836.13671875,17868681.639160156,2395006.220703125
1-O-behenoyl-Cer(d18:1/16:0),-0.03306263890933727,6.089416861210664,0.0030103989588496916,0.9562443406243987,0.999964504802779,Cer,33323.14264297485,36546.822441101074,39283.802684783936,31600.96230316162,38293.782245635986,37147.423122406006,22294.401321411133
1-O-carboceroyl-Cer(d18:1/16:0),0.11367799096956412,7.561739782779718,0.03558171196573312,0.8503819143774262,0.999964504802779,Cer,119585.8681526184,86770.38639831543,115558.20627593994,61262.46444320679,92696.36716842651,134329.46858596802,49086.90395736694
1-O-carboceroyl-Cer(d18:1/18:0),0.03404789837230931,5.616298252796693,0.003192297291121804,0.9549431621414238,0.999964504802779,Cer,24480.881874084473,23461.22156906128,21810.941791534424,21668.40147781372,23203.34190750122,21004.281448364258,32565.38228225708
1-O-cerotoyl-Cer(d18:1/16:0),-0.05979218626730127,7.6080412929061545,0.009845620130363386,0.920959547637746,0.999964504802779,Cer,100954.5672607422,83571.66579055786,98255.28512954712,82006.22617340088,104129.10850906372,99503.34856796265,104272.36771011353
1-O-cerotoyl-Cer(d18:1/18:0),-0.002894668515115037,9.372207398516734,2.3077618607203476e-5,0.9961670435315708,0.999964504802779,Cer,304801.284576416,276514.42039108276,285917.71657562256,280969.05976486206,300359.0815124512,259670.51651763916,544596.580368042
1-O-eicosanoyl-Cer(d18:1/16:0),0.16645859311121805,6.132578819368441,0.0762658303023045,0.7824231138032595,0.999964504802779,Cer,38517.28271102905,40629.2631149292,37163.8623008728,29833.582180023193,35027.162464141846,34894.54271697998,28402.641986846924
1-O-lignoceroyl-Cer(d18:1/16:0),0.13786841246635703,7.290317279436688,0.05232972381645595,0.8190578596622019,0.999964504802779,Cer,104923.82834243774,79647.96742630005,97751.66666412354,54778.02419662475,81422.12617874146,112472.52647018433,19274.341342926025
1-O-myristoyl-Cer(d18:1/16:0),0.002613435956281076,6.621739030266634,1.881027685612935e-5,0.9965395203964867,0.999964504802779,Cer,55029.08363342285,50479.26407623291,45911.8233833313,46942.16307449341,50195.963748931885,49277.52336502075,43334.30277252197
1-O-palmitoyl-Cer(d18:1/16:0),0.005323609389038527,6.46111753480658,7.805074608313589e-5,0.9929510741610686,0.999964504802779,Cer,41975.34289932251,43672.76354598999,43771.94339752197,41863.74258804321,41158.282787323,40904.52328491211,50665.82361602783
1-O-stearoyl-Cer(d18:1/16:0),0.26154842543519036,6.333996198970211,0.1881369910644253,0.6644717278843295,0.999964504802779,Cer,44340.323066711426,49289.16366195679,44351.12351226807,34317.60231781006,35969.52249908447,40138.9030418396,32940.40257644653
1-O-tricosanoyl-Cer(d18:1/16:0),0.10108815139692796,6.3710433190923474,0.028137054885462476,0.8667870121344964,0.999964504802779,Cer,45042.482692718506,47179.88382720947,49861.92351913452,36280.562450408936,43573.80286026001,47277.84367752075,21537.66153717041
1-O-tricosanoyl-Cer(d18:1/18:0),0.03831074600981018,4.569575354246934,0.004041054404595457,0.9493131867144431,0.999964504802779,Cer,13229.820877075195,10774.420791625977,11459.260730743408,10864.320823669434,11811.08076095581,10880.9607963562,12759.900817871094
