lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD100-M1-WT-cerebellum10x_01202023,DOD99-M2-WT-cerebellum10x_01202023,M5FAD173-WT-Cerebellum10x_01192023,DOD100-M1-WT-diencephalon10x_01202023,DOD99-M2-WT-diencephalon10x_01202023,M5FAD173-WT-Diencephalon10x_01192023,10xBlank_01202023
(9Z)-3-hydroxyoctadecenoylcarnitine,-0.3337309897912318,14.761405787220136,0.2762512473942347,0.599168875584824,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CAR,14309309.020996094,14130034.278320312,13802748.841796877,25626555.60546875,21029996.708984375,8047711.172851563,2395006.220703125
1-O-behenoyl-Cer(d18:1/16:0),-0.01278696092017726,6.091279738835306,4.064169884259172e-4,0.9839159071500069,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,Cer,36516.56300354004,35957.262645721436,34225.282024383545,41078.122703552246,41187.70300292969,27728.001831054688,22294.401321411133
1-O-carboceroyl-Cer(d18:1/16:0),0.22760744213098236,7.273756229196025,0.1286421451686693,0.7198440843683559,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,Cer,92730.02653503418,82360.3857345581,87016.90506744385,63072.24443435669,96314.38687133788,71027.58568572998,49086.90395736694
1-O-carboceroyl-Cer(d18:1/18:0),0.2151639284547578,5.549146588883729,0.11496028204328468,0.7345660877972352,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,Cer,23910.721534729004,21830.84148788452,21737.881813049316,16931.921321868896,20784.1814994812,21460.881801605225,32565.38228225708
1-O-cerotoyl-Cer(d18:1/16:0),0.2179020409241913,7.563191814065204,0.11791579495184124,0.7313060641524326,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,Cer,97478.24760437012,85335.76477050781,105676.1282157898,63247.98458099365,78392.94470977783,111197.36640167236,104272.36771011353
1-O-cerotoyl-Cer(d18:1/18:0),0.33767214960026803,9.342373559808756,0.2827963231866306,0.5948742375657798,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,Cer,305559.53926086426,284533.3180465698,315078.30672073364,157930.9115447998,228741.71733093265,339689.64263916016,544596.580368042
1-O-eicosanoyl-Cer(d18:1/16:0),0.527671803222978,6.547416013398825,0.6882896007261365,0.4067467608723472,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,Cer,50221.263679504395,97699.06726837158,35528.922370910645,40477.462688446045,47302.34348678589,36310.98204803467,28402.641986846924
1-O-lignoceroyl-Cer(d18:1/16:0),0.15544208130344778,7.030602067585209,0.060032404773210146,0.8064447307818464,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,Cer,77242.60544967651,81890.94709014893,73431.82516098022,70156.98491287231,90403.96683502196,53195.04327392578,19274.341342926025
1-O-myristoyl-Cer(d18:1/16:0),0.2930268216552636,6.648834569679929,0.2130685621957582,0.6443728544321985,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,Cer,55769.94352340698,59503.92415237427,51984.18327713013,44181.50326156616,49011.963397979736,45070.7234954834,43334.30277252197
1-O-palmitoyl-Cer(d18:1/16:0),0.26370773599427305,6.556928222596263,0.1726191455115611,0.6777945035167604,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,Cer,42922.682651519775,68184.54487991333,40714.48252868652,39518.76318740845,44456.16331863403,41486.06307220459,50665.82361602783
1-O-stearoyl-Cer(d18:1/16:0),0.6465721715582653,6.881176222467078,1.030594342222457,0.31001911465752446,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,Cer,61475.42427444458,137949.04893875122,43658.14338684082,51899.823543548584,56296.36441421509,42019.50308609009,32940.40257644653
1-O-tricosanoyl-Cer(d18:1/16:0),0.13021700490238866,6.3158392890867745,0.042134016768926585,0.8373645234291569,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,Cer,43802.02247619629,44314.10312652588,45363.443408966064,42341.26301193237,47969.623191833496,34593.72241592407,21537.66153717041
1-O-tricosanoyl-Cer(d18:1/18:0),0.1068434993436726,4.475299032199775,0.028362376962064673,0.8662596932794002,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,Cer,11110.9609375,11287.780799865724,10400.820728302002,9018.440578460692,11086.620765686035,10810.2406539917,12759.900817871094
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",-0.14174413963214122,12.995487615903945,0.04992434426678294,0.8231949726555516,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CAR,4113421.935546875,4024964.0034179688,4172629.288574219,5983760.49609375,5044906.811035156,2897261.4868164062,2428656.8916015625
12:0 Cholesteryl ester,0.14839988505154492,8.181086919058902,0.05471965437754989,0.8150452807355537,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CE,194297.81564331055,206243.57360839844,53790.523944854736,169429.59413146973,191839.97328186035,48507.40311431885,158999.98956298828
12:0 Cholesteryl ester_2,0.13878123797116276,8.155476498434865,0.047858758611255325,0.8268319846843204,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CE,190207.0535888672,198169.45237731937,51690.70365142822,170046.1913909912,177208.31147766113,51444.80327987671,163044.15301513672
14:0 Cholesteryl ester,0.41589680068229995,7.468393485189834,0.428483824876821,0.5127338515508275,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CE,151012.9727783203,95271.94723510742,54412.36402511597,99233.18690490724,90300.9059906006,40449.28260803223,85346.74568939209
14:1 Cholesteryl ester,0.42223284376900544,7.477963733766867,0.4415922122025222,0.5063549618326993,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CE,146649.31089782715,99486.52751159668,53858.74382400513,93945.5266494751,94580.62687683104,39776.48303985596,91728.62675476074
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,-0.03077537805327686,8.829106482103183,0.0023543417410110123,0.9613005826413324,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CE,273822.9802246094,280063.29833984375,99011.74743652344,282307.53967285156,277162.119140625,107436.90838623048,268696.0985107422
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,-0.07766261996835169,8.829417978199082,0.014991410804213956,0.9025510231810376,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CE,266944.2990722656,270783.4014892578,96553.88653564452,282309.6809082031,278571.67907714844,108698.96670532228,281328.5203857422
