lipid,logFC,logCPM,LR,PValue,FDR,type,DOD100-M2-5xFAD-diencephalon10x_01202023,DOD100-M3-5xFAD-diencephalon10x_01202023,DOD99-M1-5xFAD-diencephalon10x_01202023,M1FAD173-5xFAD-Diencephalon10x_01182023,M2FAD173-5xFAD-Diencephalon10x_01192023,DOD100-M2-5xFAD-hippo10x_01202023,DOD100-M3-5xFAD-hippo10x_01202023,DOD99-M1-5xFAD-hippo10x_01202023,M1FAD173-5xFAD-Hippo10x_01182023,M2FAD173-5xFAD-Hippo10x_01192023,10xBlank_01202023
22:3 Campesteryl ester,2.9448279763654073,10.543282191198381,32.24822303946711,1.3568111608891586e-8,2.0311463078510704e-5,CE,4006962.4003601074,2313333.353652954,1145395.0406341553,463608.8536758423,215819.47241592407,345234.3631744385,229129.03816223145,175946.43223571777,34748.142459869385,32327.26247024536,78485.72638702393
22:2 Campesteryl ester,2.761497571679536,10.325129034785617,28.79910344804011,8.028827042476137e-8,6.009577041293389e-5,CE,3415261.498123169,1941418.5549240112,950963.794708252,341881.02141952515,226201.93586730957,310858.8617248535,204018.31434631348,165681.3123474121,55576.944202423096,53085.56405258179,80835.36569976807
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",2.375526369536181,10.71392031078935,21.977110147374333,2.7592163663752323e-6,0.0013768489668212409,CE,4263195.970428467,2450399.517211914,1237139.4935913086,480094.97539901733,260850.21912384033,429962.6456832886,281520.3006362915,380934.2229003906,58387.70426940918,56851.843799591064,78654.8657836914
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",2.338463312489717,10.703127401564165,21.356663121448946,3.812932439682978e-6,0.0014269899655513544,CE,4193570.23059082,2436225.9285354614,1227538.8339004517,487762.71195983887,245699.79766082764,418908.9720458984,288414.3606262207,395202.1464691162,60594.46385574341,54126.38396835327,79871.64535522461
"Cholesteryl 11-hydroperoxy-eicosatetraenoate, 22:2 Cholesteryl ester, 20:1 Stigmasteryl ester, 20:2 Sitosteryl ester",2.307632166114165,10.730905511068869,20.84551195615495,4.978574697133399e-6,0.0014905852643217396,CE,4335094.217636108,2424601.445907593,1214155.489013672,473240.09295654297,260224.8973274231,440693.1749420166,302909.70166015625,399352.206993103,67133.70456695557,60102.20470428467,95162.20687866212
PS (32:5),2.05187922261672,7.6588940838699955,16.787400474763103,4.1809988231381146e-5,0.010431592063729596,PS,34273.522399902344,65589.324462890625,26214.4017868042,45109.22280883789,718289.7510681152,42006.22310256958,20760.681663513184,32196.062271118164,48801.88397216797,47388.063537597656,43834.64358520508
PG (32:5),2.0080387439454492,7.78316484557814,16.12639500627938,5.925244822127825e-5,0.012671559283893363,PG,56995.0637512207,66687.0654296875,55179.38348388672,45016.043365478516,738903.2070922852,28723.361907958984,67011.54473876953,24903.141830444336,50010.76354980469,53159.36410522461,52170.14404296875
"ecdysone palmitate, 22:3 Cholesteryl ester, 20:2 Stigmasteryl ester, 20:3 Sitosteryl ester",1.9637210168084542,10.85024520939976,15.469346714555286,8.385417586023952e-5,0.01569121265784732,CE,4266531.996337891,2546012.7651367188,1304348.4512939453,547096.079498291,299023.34020996094,551197.3804321289,404505.4692993164,510826.01599121094,108040.34707641602,97633.84701538086,186491.7528076172
Lyso_PE(18:4),1.921841751083781,8.58923294838384,14.85780365406481,1.1592744716918147e-4,0.019282598712473852,PE,128090.62939453124,98033.467529296875,906425.1446533204,39787.3427734375,602193.0234375,160638.87255859375,112687.5479736328,27969.562103271484,35946.782318115234,90881.506103515625,48831.60382080078
20:0 Campesteryl ester,1.6094675359809576,11.069047188360718,10.624769511392515,0.0011158287553273867,0.16703956467250977,CE,4539166.369384766,2738800.2377929688,1488004.1958007812,631150.6455078125,367630.4270629883,726330.0109863281,579660.4241943359,684587.46630859375,186229.01287841797,183809.9330444336,317584.8635253906
"(5Z,8Z)-tetradecadienoylcarnitine",-1.568770665461259,16.40143299678833,10.117842813596972,0.0014684076470407022,0.16909278827845625,CAR,24583201.19921875,20847168.3828125,28155528.892578125,22671427.51611328,34723637.06933594,30582186.538085938,28337082.129882812,139608184.45239258,26376597.729492188,25367756.57104492,1785924.2541503906
22:5 Cholesteryl ester,1.590756551968139,11.087983545160684,10.390357461816166,0.0012667509746600379,0.16909278827845625,CE,4551026.404541016,2730467.060913086,1502246.861694336,666926.9046630859,385240.2494506836,732844.8115234375,586350.77685546875,696990.0095214844,195039.9539489746,201413.27459716797,343852.4637451172
22:6 Cholesteryl ester,1.5735826778775646,11.06698527250065,10.177188210545864,0.0014218884956286584,0.16909278827845625,CE,4458070.431640625,2715212.2209472656,1491101.0864257812,645550.1623535156,377736.9682617187,724647.8146972656,589545.1394042969,698972.4873046875,192804.07348632812,194199.51263427737,318345.9444580078
Cholesteryl nitrolinoleate,1.552179934002671,11.046230890160087,9.914207905749208,0.0016400770730430377,0.17537109845324483,CE,4343857.308349609,2643083.231811523,1497477.1091308594,648281.0699462891,371760.6458129883,706709.7972412109,587135.15966796875,709355.73291015625,189059.81372070312,186714.47326660156,321258.66369628906
20:1 Campesteryl ester,1.5374724106011703,11.007288713081516,9.73522705277719,0.0018076968359178557,0.180408144224602,CE,4235422.83215332,2598765.4096679688,1407519.564819336,627173.1862182617,362508.36560058594,711627.2513427734,574620.6032714844,681386.88427734375,190459.41339111328,188184.5531616211,310572.0031738281
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",1.5223808403774237,11.117317144179998,9.553053445313708,0.0019961708234281926,0.18676673266700028,CE,4550953.7470703125,2741932.9650878906,1526239.79296875,680709.7716064453,397991.8699951172,761836.2901611328,625923.0830078125,729867.6760253906,213621.0160522461,221255.75579833984,370215.2233886719
Lyso_PI(18:3) | PI (18:3)_2,1.2785303562468693,13.319837921992589,6.82318504998166,0.008998195042647709,0.7923704693437423,PI,10262036.209655762,7198681.598144531,9584171.07055664,10543160.662719728,6396502.955978394,155264.61316299438,7210440.148864746,16847.700981140137,7149942.082290649,3382115.435218811,72475.46408081055
Lyso_PI(18:3) | PI (18:3),1.2656426704678867,13.333433999511602,6.690420130892967,0.009693235884524998,0.8061541177296624,PI,10354794.567565918,7085729.344970703,9609994.51916504,10714701.921875,6500267.43334198,158652.03149414062,7375118.41418457,10136.16060256958,7252704.404907227,3408904.908050537,70834.02569580078
"(11Z,14Z)-eicosadienoylcarnitine",-0.2830424941846719,11.589552203700137,0.34458147965324315,0.5571965675577666,0.9972693222116406,CAR,1490627.2612304688,1620460.4702148438,1434255.701171875,1426995.7827148438,1442118.8286132812,1322329.38671875,1437470.2348632812,1481437.8369140625,1510009.1274414062,1611557.333984375,1833013.6752929688
(11Z)-eicoseneoylcarnitine,-0.2593041134485875,11.600973629972383,0.28928042525512865,0.5906820200448849,0.9972693222116406,CAR,1498962.5366210938,1640511.7080078125,1468215.3647460938,1455302.6083984375,1517652.2963867188,1324620.29296875,1469218.4106445312,1479341.6264648438,1496397.3359375,1650848.89453125,1770335.1005859375
"(13Z,16Z)-docosadienoylcarnitine",-0.21345488571345395,11.603022021463584,0.19611030036321608,0.6578789900099348,0.9972693222116406,CAR,1468592.0839233398,1801727.1483154297,1494908.485961914,1415503.9500732422,1514023.7989501953,1265010.6803588867,1427897.3614501953,1472655.911315918,1561466.8793945312,1541192.444946289,1846519.2565917969
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",-0.23607519256310333,12.237003710990985,0.23982866440201178,0.6243298897412836,0.9972693222116406,CAR,2392796.6845703125,2414485.858154297,2782494.2834472656,2515677.2600097656,2177589.061767578,2194784.690185547,2492220.4825439453,2412503.1643066406,2579735.21484375,2093678.0153808591,2077579.7651367188
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",-0.18888008466211342,11.43101988555112,0.15358408601514384,0.6951335396840328,0.9972693222116406,CAR,1291661.7513427734,1585961.4837646484,1354965.4031982422,1177180.6912841797,1447871.6550292969,1110796.737915039,1253343.1610107422,1276397.7185058594,1314163.553955078,1433375.403076172,1684194.2908935547
"(7Z,10Z)-hexadecadienoylcarnitine",-0.30889028450466005,11.928818330812188,0.41026534778211476,0.5218348560331149,0.9972693222116406,CAR,1929676.493652344,1850445.7600097656,1793115.135986328,1852051.1657714844,1707312.4143066406,1606353.2426757812,1873921.4216308591,1902876.1496582031,2005393.249267578,1818268.425048828,2578376.0740966797
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",-0.10411778984742567,15.017188462138888,0.04669176996155011,0.8289232183373677,0.9972693222116406,CAR,15425044.841796877,17616816.35986328,15560660.842773438,23578611.47607422,23004359.768066406,22132601.1640625,12139073.696289062,18102972.64501953,15758916.81298828,14440797.770507812,2155070.9477539062
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",-0.16037753879917513,13.772378261333705,0.11075110652101516,0.7392906268497811,0.9972693222116406,CAR,6473824.611083984,7022553.862060547,6461878.519042969,9142425.646728516,9132833.381347656,8245887.214111328,5412256.6162109375,7534727.410644531,6695696.98828125,6682941.8681640625,2817110.0759277344
(9Z)-3-hydroxyoctadecenoylcarnitine,-0.10186004555193885,15.100034580028051,0.04468916565455938,0.8325766226691281,0.9972693222116406,CAR,16167813.693847656,18424387.296875,16605329.997558594,25047980.522460938,24543649.78955078,23314671.77001953,12741658.96826172,19088064.09716797,16634745.890625,15611679.19482422,2395006.220703125
1-O-behenoyl-Cer(d18:1/16:0),0.008752874475373982,6.11657532531959,3.300223172573169e-4,0.9855060142871351,0.9972693222116406,Cer,34723.00240325928,36657.50228881836,39095.64287948608,48923.5634727478,37555.882331848145,42416.122787475586,30153.32243347168,25673.94190979004,38013.282623291016,29481.562602996823,22294.401321411133
1-O-carboceroyl-Cer(d18:1/18:0),-0.33696596180687965,5.479586098228921,0.48797748387818274,0.4848308923281016,0.9972693222116406,Cer,22350.521404266357,19638.42140197754,19103.36149597168,21265.18152618408,19184.941383361816,23518.86159515381,24620.98153686523,18542.74126815796,20872.98154449463,19351.66135406494,32565.38228225708
1-O-cerotoyl-Cer(d18:1/16:0),-0.2857525353539048,7.400964074329068,0.35118712734129076,0.55344189416756,0.9972693222116406,Cer,77170.1263885498,71760.08392715454,66176.30462646484,109173.28615570068,77536.20505905151,71531.56502151489,94600.40604019164,48290.72343444824,129686.40884780884,90206.18699645996,104272.36771011353
1-O-cerotoyl-Cer(d18:1/18:0),-0.40063804913163636,9.107688521284084,0.6892751304214926,0.40641104519283133,0.9972693222116406,Cer,260292.91549301147,226606.41647338867,224349.4774131775,218882.65203475952,217872.79592895508,242689.6378440857,319763.26332473755,188144.5944366455,290259.72340393066,254315.69579315183,544596.580368042
1-O-eicosanoyl-Cer(d18:1/16:0),0.4249160930742206,6.28853606295923,0.7749769478134569,0.37868178370429817,0.9972693222116406,Cer,40271.942752838135,48901.74348449707,79985.14546966553,45007.06316757202,38794.08239746094,38312.82266235352,32873.5220451355,24691.961532592773,32300.022270202637,30083.80215072632,28402.641986846924
1-O-lignoceroyl-Cer(d18:1/16:0),0.12690972492761787,7.216212272999469,0.06936109924015454,0.792269299646294,0.9972693222116406,Cer,88004.54573059082,67973.50408935547,83376.7452545166,147981.1301498413,69986.14563369751,61918.36474227905,70929.20533752441,51119.96410369873,132110.53005218506,46688.28359603882,19274.341342926025
1-O-myristoyl-Cer(d18:1/16:0),-0.032880897533977875,6.54484735454455,0.004657265179787373,0.9455912754242061,0.9972693222116406,Cer,48533.30375289917,53109.183780670166,59416.14421081543,49433.40335083008,43722.223094940186,52282.40361404419,51031.74311065674,29999.60227203369,47704.262954711914,41838.42319107056,43334.30277252197
1-O-palmitoyl-Cer(d18:1/16:0),0.06958850611675149,6.417400740004189,0.02085840576830833,0.8851653546058795,0.9972693222116406,Cer,42280.12342071533,51340.90389251709,57042.14367675781,44925.50315475464,38691.3226890564,37671.40256881714,41503.562911987305,30627.382152557373,38626.942794799805,38395.3628578186,50665.82361602783
1-O-stearoyl-Cer(d18:1/16:0),0.5728516002951505,6.551488795218769,1.404443461962046,0.2359810048111913,0.9972693222116406,Cer,45861.98350524902,60920.96372222901,108743.84694671632,58732.24412536621,43761.362968444824,39907.92282104492,41409.22291183472,24739.361751556396,39577.362842559814,37099.262493133545,32940.40257644653
1-O-tricosanoyl-Cer(d18:1/16:0),0.10031382967591235,6.490780097175264,0.043339880078519855,0.8350866095408469,0.9972693222116406,Cer,42481.76253890991,46389.883586883545,47993.662883758545,85672.64553451538,45309.76321029663,46462.44305038452,36770.78251647949,26529.861740112305,74690.7049446106,34747.30205154419,21537.66153717041
1-O-tricosanoyl-Cer(d18:1/18:0),-0.2993956578204669,4.456911363872155,0.38535027546546985,0.5347536770830742,0.9972693222116406,Cer,9886.160655975342,11597.380840301514,10146.580741882324,12243.720832824709,8869.920574188232,12337.640785217283,10196.060813903809,9660.040676116943,10959.840721130371,10466.840755462646,12759.900817871094
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",-0.19517806034553167,13.181812489711223,0.16398936249619966,0.6855098533423659,0.9972693222116406,CAR,4456442.3203125,4906805.72265625,4376553.2001953125,5851287.732910156,5240845.183105469,5415979.7744140625,3846312.868652344,4968330.218261719,4577722.708984375,4138307.3325195312,2428656.8916015625
12:0 Cholesteryl ester,-0.4428531346825399,8.182206719461936,0.8415802776435157,0.3589452014417414,0.9972693222116406,CE,197889.75340270996,192208.85467529297,196251.07221984863,46403.643058776855,45492.56311035156,200241.51499938965,196464.39416503903,191143.31437683103,48828.74309921265,50371.44329452515,158999.98956298828
12:0 Cholesteryl ester_2,-0.4244163175726364,8.132755162928298,0.7732103042071685,0.3792257476210961,0.9972693222116406,CE,188985.39365386963,191529.11226654053,181537.25415039065,43779.26319885254,49127.3635559082,185237.65446472168,194796.03422546387,182998.5949554443,46823.283615112305,44904.20314788818,163044.15301513672
14:0 Cholesteryl ester,-0.7417544700899412,7.526487152996837,2.3445585385802588,0.1257211730496628,0.9972693222116406,CE,107592.74710083008,111948.30752563477,95863.90637207033,37085.942611694336,34170.76250457764,105610.56730651855,107985.74781799316,168315.25177001953,36109.662437438965,35977.82231903076,85346.74568939209
14:1 Cholesteryl ester,-0.7359950407751462,7.5153506710873,2.308673783814811,0.1286537773014841,0.9972693222116406,CE,105616.70771789552,114755.32794189452,89815.826416015625,36128.2225151062,35097.92267227173,109536.30744934082,108556.44799804688,160008.3309020996,36776.74267196655,35528.5424118042,91728.62675476074
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,-0.35329290214390097,8.911792711431,0.5363717613581684,0.46394028809253035,0.9972693222116406,CE,344296.18408203125,322049.3430175781,282733.9587402344,111289.70825195312,97976.74700927734,306373.8005371094,299731.0216064453,295858.30310058594,112840.5672302246,105376.86743164062,268696.0985107422
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,-0.40071508926025345,8.910961951983795,0.6895384506497066,0.40632141512378683,0.9972693222116406,CE,339298.6618652344,310006.2232055664,279367.6589355469,109775.18774414062,90888.4663696289,303455.8826904297,299659.14196777344,302988.9415283203,112044.8677368164,106071.48748779295,281328.5203857422
15:0 Cholesteryl ester,-0.4853975008117789,8.743036234565812,1.0102634014056093,0.31483974446230045,0.9972693222116406,CE,266142.63873291016,262806.1593017578,247914.3380126953,100862.94711303712,93542.90643310548,266860.19885253906,267613.71813964844,272503.86083984375,114434.50775146484,111157.34732055664,248100.27880859375
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,-0.40639210043772933,8.928265952761219,0.7091500562150941,0.39972611709609573,0.9972693222116406,CE,325613.7829589844,314207.48400878906,285182.6004638672,111228.06823730467,104504.52752685548,297769.2003173828,290351.58154296875,308943.9620361328,124084.7282409668,119824.3484802246,282264.8193359375
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,-0.3786549246478207,8.941823867411012,0.6159180405425104,0.4325682247287208,0.9972693222116406,CE,332167.22412109375,320285.1428222656,290290.8615722656,109240.58813476562,110252.7873840332,301401.74060058594,287615.060546875,309998.6005859375,119055.92895507812,120952.50833129884,287922.24072265625
15:1 Cholesteryl ester,-0.5135187015448031,8.79094664414069,1.1300840745743699,0.2877574063406193,0.9972693222116406,CE,268890.8377685547,271941.56005859375,254635.35803222656,99233.0864868164,98567.5069580078,284971.76025390625,274811.8981933594,285592.7198486328,114059.18821716309,115133.86862182616,255572.7781982422
16:0 Campesteryl ester | 17:0 Cholesteryl ester,-0.1414467173253467,9.166342937163979,0.08615729655184623,0.7691204104696302,0.9972693222116406,CE,599021.1501617432,364204.10803222656,448713.8888244629,151944.7908821106,56299.903301239014,351679.80712890625,393651.0072021485,180673.55206298828,528545.7402648926,78532.206298828125,121273.30940246582
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,-0.09527770410344237,9.168246884336908,0.03910063726652879,0.8432494226452016,0.9972693222116406,CE,609993.4200134277,360084.2857208252,463799.4299316406,156451.45086669922,55858.1439781189,337068.3601837158,390498.6081542969,178450.37184143066,527734.0662574768,75855.20571899414,125768.08905029295
16:2 Campesteryl ester,-0.11043458333404241,9.13814767030048,0.05252720350654272,0.8187226902017481,0.9972693222116406,CE,625300.3235015869,333241.1462402344,437722.5107727051,152684.90951156616,56317.044551849365,337974.6212387085,383311.68368530273,173929.8528137207,523835.7752380371,71962.5654296875,117353.56846618652
"16:2 Cholesteryl ester, zymosteryl palmitoleate",-0.4114748179412618,8.920224136686906,0.7269394671654936,0.3938770286881821,0.9972693222116406,CE,318423.20361328125,314303.2229003906,291071.2001953125,108236.02865600586,103669.7276916504,297905.1613769531,287947.70153808594,311092.66162109375,121413.6282043457,118804.1879272461,274790.7999267578
16:3 Campesteryl ester,-0.0859734050961844,9.12796122305415,0.03183787382135961,0.8583839507764928,0.9972693222116406,CE,615577.74658203125,344850.82232666016,433388.474029541,157380.9925956726,58418.86434555054,331275.62284851074,373961.9270172119,172677.89218139648,515711.15589141846,74763.10524368286,114802.70822143556
16:3 Cholesteryl ester,-0.4293480505333655,8.869506645087284,0.7912265022205247,0.37372951567168167,0.9972693222116406,CE,310266.3620605469,293686.3809814453,270211.9997558594,109016.26788330078,102616.72705078124,294535.90087890625,284794.66064453125,298385.6613769531,113194.88842773438,113224.94805908205,268572.4782714844
16:3 Stigmasteryl ester,-0.10013793809059497,9.43866693052411,0.04319077875697985,0.8353664604810046,0.9972693222116406,CE,727697.5627822876,427144.43183898926,529747.2166748047,192696.09077453613,87870.18571090698,411188.2872314453,460511.33279418945,242870.8171234131,562328.8849334717,103573.42597198486,174687.61349487305
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",-0.1081381489591989,9.645682390699868,0.05036602256404876,0.8224275869336777,0.9972693222116406,CE,855093.6213684082,510967.8601989746,612365.7075805664,204385.93420410156,84979.48628616333,499268.83602905273,530913.7354736328,301160.1184692383,602502.1294021606,107037.6085472107,197711.39486694336
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",-0.0797919013002251,9.629837362122787,0.027424812273238786,0.8684682963535045,0.9972693222116406,CE,852660.2135925293,521878.4792175293,601565.92333984375,199647.8141479492,89481.14645385742,479157.2927246094,521070.05615234375,297985.96279907227,599676.2238388062,98678.10720062256,197452.61389160156
