lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M3-5xFAD-cerebellum10x_01202023,DOD99-M1-5xFAD-cerebellum10x_01202023,M1FAD173-5xFAD-Cerebellum10x_01182023,M2FAD173-5xFAD-Cerebellum10x_01192023,DOD100-M1-WT-cerebellum10x_01202023,DOD99-M2-WT-cerebellum10x_01202023,M5FAD173-WT-Cerebellum10x_01192023,10xBlank_01202023
C24:6,-2.6353207744745073,6.406527820936633,20.001854482317867,7.736709515188217e-6,0.01158185414423676,5,3,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cerebellum,FA,12326.400840759276,10077.6607131958,14030.540996551514,47751.12338256836,9621.36060333252,10561.200748443604,13263.780952453611,272243.0631752014,15041.60111618042
C24:5,-2.120578325304904,7.485309472042688,13.16614439713885,2.850526471328284e-4,0.21336190637892205,5,3,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cerebellum,FA,13476.480907440186,11292.020793914797,15463.721138000488,52588.40413665772,181311.0133934021,12792.980945587158,13827.74101638794,556735.4445800781,13804.400928497314
"(11Z,14Z)-eicosadienoylcarnitine",-0.14467358786885953,11.353967148755597,0.05963145874829934,0.8070793858624842,0.9999477014863185,5,3,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cerebellum,CAR,1262933.6362304688,1288290.3208007812,1349906.3383789062,1447970.6625976562,1569963.0502929688,1408351.625,1448199.4814453125,1567602.6728515625,1833013.6752929688
(11Z)-eicoseneoylcarnitine,-0.11669671092906694,11.35668292367078,0.03874094515595061,0.8439627679304909,0.9999477014863185,5,3,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cerebellum,CAR,1256930.4736328125,1313193.267578125,1370506.4516601562,1476902.5249023438,1624465.5419921875,1410061.365234375,1453789.9145507812,1548320.9340820312,1770335.1005859375
"(13Z,16Z)-docosadienoylcarnitine",-0.3733649821969221,11.400950116570211,0.40155859250808135,0.5262854306542241,0.9999477014863185,5,3,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cerebellum,CAR,1200177.8431396484,1229167.669921875,1293432.1517333984,1486547.2768554688,1530059.8298339844,1334500.4373779297,1392547.188293457,2235124.575866699,1846519.2565917969
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",-0.022497697995713134,11.959831748630346,0.0014324165001653455,0.9698094484538174,0.9999477014863185,5,3,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cerebellum,CAR,1939767.9885253904,2430496.0634765625,2140645.078491211,2665311.731689453,2279392.241455078,2215148.1447753906,2234323.5102539062,2256080.6622314453,2077579.7651367188
"(5Z,8Z)-tetradecadienoylcarnitine",-0.04334251562038893,16.880045613459608,0.005322733994667317,0.9418402799763493,0.9999477014863185,5,3,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cerebellum,CAR,154140949.5595703,92351915.6875,63344919.2109375,16220704.654785156,24353723.305664062,97017264.0888672,62660995.83984375,69671289.73339844,1785924.2541503906
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",-0.23909641932737216,11.167934289599309,0.16365256254539418,0.6858157143695458,0.9999477014863185,5,3,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cerebellum,CAR,1049124.5791015625,1070540.3215332031,1140392.4146728516,1251955.5372314453,1374031.0412597656,1186263.4771728516,1201712.4168701172,1592147.222290039,1684194.2908935547
"(7Z,10Z)-hexadecadienoylcarnitine",-0.20417716318205886,11.721762334353421,0.11913491576251545,0.7299746435291378,0.9999477014863185,5,3,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cerebellum,CAR,1559599.7697753906,1588900.268798828,1693150.3903808594,1906106.0573730469,1901348.182861328,1807297.3984375,1819888.0288085935,2113105.662841797,2578376.07409668
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",0.08605258676146223,14.46251804661466,0.02082309510918179,0.8852619227181271,0.9999477014863185,5,3,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cerebellum,CAR,10354077.518066406,18743120.12353516,17230450.004882812,14976742.081542969,12457421.822753906,13681185.669433594,13360938.161621094,13065989.963378906,2155070.9477539062
