lipid,logFC,logCPM,LR,PValue,FDR,type,DOD100-M2-5xFAD-cortex10x_01202023,DOD99-M1-5xFAD-cortex10x_01202023,M1FAD173-5xFAD-Cortex10x_01182023,M2FAD173-5xFAD-Cortex10x_01192023,DOD100-M1-WT-cortex10x_01202023,DOD99-M2-WT-cortex10x_01202023,M5FAD173-WT-Cortex10x_01192023,10xBlank_01202023
C24:6,-2.474228144865033,6.810955536412769,18.556931394188723,1.6490449150491674e-5,0.024686202378286035,FA,14724.921058654783,13442.360980987549,59095.50420379639,10546.140739440918,14481.600986480713,14948.381107330322,354402.948135376,15041.60111618042
Cer(d18:2/14:0),-1.816561013213086,10.651553393165052,10.311171231092885,0.001322273376951923,0.9897216226485143,Cer,184679.39221954343,320432.4026184082,169115.53117370603,1229022.122581482,3416852.9455070496,269664.724155426,694974.3241043091,40619.60283660889
"(11Z,14Z)-eicosadienoylcarnitine",-0.16771859158243657,11.45349271677008,0.08875002654531275,0.7657722929520747,0.99988633890637435,CAR,1429124.1762695312,1350856.4809570312,1431788.9677734375,1357653.3920898438,1464825.83203125,1445031.9301757812,1422254.4301757812,1833013.6752929688
(11Z)-eicoseneoylcarnitine,-0.13754772681825597,11.465651910787587,0.05964287116239575,0.8070612900100028,0.99988633890637435,CAR,1461574.3852539062,1395572.740234375,1457662.7182617188,1408961.5532226562,1450974.412109375,1446175.0439453125,1469500.5795898438,1770335.1005859375
"(13Z,16Z)-docosadienoylcarnitine",-0.1785724184138344,11.456132676514121,0.10063719236222823,0.751066314147498,0.99988633890637435,CAR,1420361.1004638672,1281745.7750854492,1508125.2795410156,1349872.0334472656,1547859.026428223,1384342.3704833984,1401085.4095458984,1846519.2565917969
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",-0.14223313285202482,12.032404323257364,0.0637836993066685,0.8006126105702559,0.99988633890637435,CAR,2184246.087890625,2205746.576171875,2470854.001464844,2018780.289794922,2341072.076904297,2281951.5776367188,2132253.7890625,2077579.7651367188
"(5Z,8Z)-tetradecadienoylcarnitine",-0.6327021140470028,16.06847799507948,1.27314118296417,0.25917822224843234,0.99988633890637435,CAR,29948597.337890625,26648913.84375,16632944.549316406,65346110.588378906,75825428.853515625,29749622.64453125,40969587.21484375,1785924.2541503906
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",-0.20205660365062986,11.271713587750167,0.12892477129935287,0.7195494879680926,0.99988633890637435,CAR,1260946.1431884766,1137990.1825561523,1271184.7647705078,1143505.6591796875,1355693.1580810547,1244091.2459716797,1216621.2817382812,1684194.2908935547
"(7Z,10Z)-hexadecadienoylcarnitine",-0.1877305856764448,11.816516490605544,0.1112507222496788,0.7387246747912256,0.99988633890637435,CAR,1770713.409423828,1717515.307861328,1811327.671875,1667394.3842773438,1808904.2744140625,1820135.4990234375,1873401.7072753904,2578376.0740966797
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",0.29741436293970114,14.738543182942564,0.27451756255828286,0.6003173259537975,0.99988633890637435,CAR,16470506.173828123,19040901.25390625,19527801.967285156,19669121.095703125,10508922.293945312,17918375.471679688,14634731.657226562,2155070.9477539062
