lipid,logFC,logCPM,LR,PValue,FDR,type,DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M3-5xFAD-cerebellum10x_01202023,DOD99-M1-5xFAD-cerebellum10x_01202023,M1FAD173-5xFAD-Cerebellum10x_01182023,M2FAD173-5xFAD-Cerebellum10x_01192023,DOD100-M2-5xFAD-hippo10x_01202023,DOD100-M3-5xFAD-hippo10x_01202023,DOD99-M1-5xFAD-hippo10x_01202023,M1FAD173-5xFAD-Hippo10x_01182023,M2FAD173-5xFAD-Hippo10x_01192023,10xBlank_01202023
Lyso_PE(18:4),5.602679962108674,11.885440035148738,76.76734006178022,1.9233212322897896e-18,2.879211884737815e-15,PE,130497.98791503906,87590.98681640625,47646.68365478515,113600.64776611328,23387747.104492188,160638.87255859375,112687.5479736328,27969.562103271484,35946.782318115234,90881.506103515625,48831.60382080078
PE (18:4),3.9361810426133,9.809390764629585,44.42281607679433,2.6458545943033282e-11,1.9804221638360413e-8,PE,80714.68505859375,65658.66418457031,53452.603942871094,61294.06396484375,5058780.06439209,88363.60675048828,80230.005859375,30112.48207092285,42175.1432800293,57911.06384277344,71615.00396728516
Lyso_PE(19:0),2.5211021398234483,7.498671908544328,20.640277782147685,5.541787999120089e-6,0.0027653522115609246,PE,32638.6025390625,36080.06256103515,31262.64222717285,9018.200611114502,832296.9360809326,41702.543212890625,38341.44256591797,21300.421630859375,12631.180755615234,20793.961639404297,40591.5235748291
Lyso_PE(18:3),2.1566580218752462,7.267618856031826,15.525313359926717,8.140779192081961e-5,0.030383772984312354,PE,38985.44259643555,39686.52282714844,30993.122283935547,20712.301467895508,630635.526260376,45883.56365966797,45220.30334472656,15673.501068115234,18577.92140197754,21406.421356201172,40781.843017578125
PI (40:6),2.1251235331189977,8.184012797440102,15.108927976885754,1.0148220769643405e-4,0.030383772984312354,PI,95400.52703857422,880145.4570922852,112043.58770751952,153318.1918334961,159172.87158203125,31695.44228363037,89961.9873046875,11190.440803527832,80806.38606262207,73823.88565063477,163903.69165039062
16:0 Campesteryl ester | 17:0 Cholesteryl ester,-1.499510417569632,8.644497087906375,7.82607996648312,0.005149766682537381,0.5886938918592709,CE,104547.70739746094,125639.16746520996,145071.9510192871,181893.13065719604,67114.82503509521,351679.80712890625,393651.0072021485,180673.55206298828,528545.7402648926,78532.206298828125,121273.30940246582
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,-1.4605399729571114,8.635748765625278,7.440240577649093,0.0063781363684300195,0.5886938918592709,CE,108868.50756835938,129753.7692565918,137290.98944091797,186053.9358062744,68740.46430206299,337068.3601837158,390498.6081542969,178450.37184143066,527734.0662574768,75855.20571899414,125768.08905029295
16:2 Campesteryl ester,-1.5111497592780267,8.599014324618917,7.942972591430134,0.004827447078001497,0.5886938918592709,CE,98350.60737609863,120443.98805236816,131431.08966064453,185782.1937828064,66551.36469268799,337974.6212387085,383311.68368530273,173929.8528137207,523835.7752380371,71962.5654296875,117353.56846618652
16:3 Campesteryl ester,-1.4732216771602014,8.586788630694485,7.564854598666898,0.005951745587917028,0.5886938918592709,CE,100437.2666015625,118072.24786376952,136457.43032836914,189290.55142974856,64989.22410583496,331275.62284851074,373961.9270172119,172677.89218139648,515711.15589141846,74763.10524368286,114802.70822143556
16:3 Stigmasteryl ester,-1.2188345826744078,8.976107496350764,5.244050025014985,0.02202194919446838,0.5886938918592709,CE,140503.76998901367,230125.45840454104,206513.696723938,220924.29370880127,100984.72776794434,411188.2872314453,460511.33279418945,242870.8171234131,562328.8849334717,103573.42597198486,174687.61349487305
