lipid,logFC,logCPM,LR,PValue,FDR,type,DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M3-5xFAD-cerebellum10x_01202023,DOD99-M1-5xFAD-cerebellum10x_01202023,M1FAD173-5xFAD-Cerebellum10x_01182023,M2FAD173-5xFAD-Cerebellum10x_01192023,DOD100-M2-5xFAD-hippo10x_01202023,DOD100-M3-5xFAD-hippo10x_01202023,DOD99-M1-5xFAD-hippo10x_01202023,M1FAD173-5xFAD-Hippo10x_01182023,M2FAD173-5xFAD-Hippo10x_01192023,10xBlank_01202023
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",-1.2720226159788464,9.171835460081407,5.697564718459035,0.01698846851067378,0.5886938918592709,CE,173129.27224731445,277060.34257507324,237041.23654174805,223447.37371826172,89343.60666656494,499268.83602905273,530913.7354736328,301160.1184692383,602502.1294021606,107037.6085472107,197711.39486694336
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",-1.248600688889541,9.149564830358187,5.495743279447196,0.019062822672504746,0.5886938918592709,CE,176152.7712097168,267835.77947998047,236358.4162597656,224382.29598999023,88803.84687805176,479157.2927246094,521070.05615234375,297985.96279907227,599676.2238388062,98678.10720062256,197452.61389160156
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",-1.221184633182083,9.142769598130446,5.26373025315752,0.021774301344159655,0.5886938918592709,CE,175306.81085205078,278235.6174316406,244266.57760620117,213606.07862091064,89111.60607910156,485151.77462768555,520088.8929138184,296793.23989868164,562371.0579147339,102937.98823547363,201944.25617980957
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",-1.228954691580987,9.135714289911201,5.329020919800314,0.02097316383668663,0.5886938918592709,CE,169233.3512878418,278870.03869628906,241900.73580932617,216516.61446380615,87569.78634643555,482734.01651000977,514852.2113342285,295495.2796020508,571522.3371124268,98115.54702758788,199674.9553833008
17:1 Cholesteryl ester; 16:1 Campesteryl ester,-1.5413605558227441,8.647429985077794,8.249914026786428,0.004075393106928787,0.5886938918592709,CE,100099.72714233398,127040.96856689452,131818.60929107666,184913.35300827023,69245.70543670654,346586.8232803345,398959.0480499267,182229.13215637207,539455.1224517822,80697.56628417969,122837.10720825195
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,-1.4728377582030299,8.586174377964625,7.56106798881774,0.005964263693037042,0.5886938918592709,CE,104714.5871887207,123977.3080444336,138369.3503265381,170765.33235931396,67861.66511154175,330769.7475128174,378362.88427734375,172700.15437316897,506378.6541099548,74885.58505630493,119584.48794555664
Cer(d18:1/22:0),1.332834391065964,9.425622799898466,6.236919453542214,0.012511391362406683,0.5886938918592709,Cer,1678337.54813385,350475.44132995605,412625.9516067505,118941.70894622804,150862.49167633057,146988.2311859131,161351.4310951233,320065.5839996338,130616.02772140504,121500.13095474245,49472.7434463501
Cer(d18:2/14:0),1.443738843879418,10.439154764132939,7.276616448856657,0.006985799888371228,0.5886938918592709,Cer,3884935.4225616455,161394.81140899658,1033011.22555542,216766.83670806885,195495.1930770874,269953.9761657715,341031.68334198,631264.4131202698,223841.40049743652,217743.45613861084,40619.60283660889
Cer(d18:2/22:0),1.379964836552103,13.656822166910079,6.670058582511096,0.009804596564091734,0.5886938918592709,Cer,36221751.033203125,3476697.2163085938,7534093.382080078,1342229.7197265625,1960887.0690917969,2336834.541748047,2660257.4807128906,6691161.921001434,1968203.3681640625,1973253.4711914065,284826.11853027344
CerP(d18:1/16:0),1.3304779169937775,9.488582132432684,6.215612239881011,0.012662855326557665,0.5886938918592709,Cer,1734354.9717330933,394428.32166671753,426700.7503814697,127977.84979629517,154259.330619812,154111.23011779785,170179.87258148193,334149.6014022827,138412.9701309204,124573.1284790039,51915.16375732422
Lyso_PG(18:0) | PG (18:0),1.4159101506740925,9.836055427684819,7.009024342558405,0.008109986427814285,0.5886938918592709,PG,963624.8338012696,571519.407043457,998299.6575927734,395651.24841308594,223644.53442382812,69446.00533676147,630183.5602416992,22771.621612548828,255233.4156494141,219199.39416503903,1006352.5754394532
Lyso_PG(18:0) | PG (18:0)_2,1.3023594395794493,9.855525012618411,5.9638900241880055,0.014601789746214074,0.5886938918592709,PG,972521.5720825196,567666.005859375,970445.7316894532,395736.8428955078,228872.93286132812,151972.39044189453,623498.3439941406,26621.441871643063,253911.3983154297,220012.93603515625,1004986.3320922852
Lyso_PI(19:0),1.2303582702269102,9.172236698685834,5.340848007693239,0.02083133714156184,0.5886938918592709,PI,529254.7145385742,484439.8168334961,413745.2269897461,125100.61126708984,438352.7853088379,82597.007568359375,408106.2339477539,30866.562225341797,64033.24454498291,240850.85552978516,574804.6939086914
PC (34:0),1.3430898487745553,11.724602764392092,6.3300988412439985,0.011870570146932049,0.5886938918592709,PC,603786.881652832,12552702.819000244,941699.38772583,1125983.251739502,1178566.6207122805,1433346.9426574707,1278487.8649902344,46909.842960357666,1281487.8049316406,1696748.203277588,41339.46290588379
PC (34:1),1.3627556413388422,11.74187924710058,6.510407872055492,0.010724490643168424,0.5886938918592709,PC,628704.3765563965,12612282.07385254,1068184.6707305908,1098086.6652526855,1245018.453704834,1485534.6594543457,1216729.564163208,41541.74333190918,1298016.4420471191,1707484.1157989502,36019.26232910156
PC (34:2),1.3047829214255728,11.772391429803879,5.985434467975271,0.014424489136342858,0.5886938918592709,PC,712174.5064697266,12546810.162353516,1070276.280532837,1154056.8831176758,1295362.3955078125,1524304.7133789062,1359254.6876831057,42987.78302001953,1342187.9460754397,1779779.2218017578,42255.16339111328
PC (36:2),1.3458858983179465,10.784486567288464,6.355589039394541,0.011701208804172449,0.5886938918592709,PC,338383.81607055664,6547054.532836914,510861.3107757568,512960.8851623535,620163.6167297363,752633.8298339844,730934.6446685791,36005.482162475586,636512.2871704102,814948.791809082,36513.8621673584
PC (36:3),1.465249637268494,11.81871151240328,7.486507837506615,0.006216299330868615,0.5886938918592709,PC,719691.6755981445,13835294.039245604,1103990.530502319,1080139.570892334,1169060.3991394043,1534922.6520996094,1440910.1892700195,45851.42393493652,1198528.9013824463,1534095.840011597,39518.002670288086
PC (36:4),1.2690531688242759,12.343037841397978,5.671838423839844,0.017239379991232658,0.5886938918592709,PC,978536.9825439452,18627279.01867676,1459716.989868164,1832690.5215759275,1901743.4043579104,2252229.1623687744,2075945.081115723,61388.68461608887,2096319.9205932615,2678085.94039917,37044.02278137207
PC (36:5),1.312336504768526,12.212910712344806,6.052704125423887,0.013885016664777022,0.5886938918592709,PC,851489.8762207031,17421224.068145752,1351792.802986145,1540312.9434509275,1714870.1974487305,1948243.732421875,1901983.7871704104,53216.48407745361,1843176.958847046,2458360.6613311768,36505.94256591797
PC (36:6),1.2598210427048815,12.00754400866959,5.592059946354933,0.018042066492596067,0.5886938918592709,PC,746303.6601257324,15047176.547210691,1101017.4152832031,1318915.9271240234,1416989.590423584,1799577.7883911133,1649388.4610595703,52827.70310974121,1703571.7547302246,2083466.646118164,39996.64321899414
PC (36:7),1.2386971368413444,11.843596356667224,5.411451219591974,0.020005078383120288,0.5886938918592709,PC,693486.1385192871,12946903.819152832,1154330.5285339355,1244325.1918029785,1366423.3130493164,1573570.8822631836,1440989.174621582,48606.74264526367,1503536.1922607422,2005140.5511779785,41506.08236694336
PC (36:8),1.295986409586479,11.800908269168081,5.907519527927306,0.015076385999661795,0.5886938918592709,PC,672014.317199707,13035833.316101074,1002044.469909668,1177928.201538086,1229328.3050231934,1479966.2419128418,1398340.3334350586,42692.76382446289,1436670.2541351318,1851009.7006225584,42892.32275390625
PC (38:4),1.2401597369665192,11.413875732038713,5.423867417113797,0.019863314994522974,0.5886938918592709,PC,609069.1998901367,8218006.539428711,884731.9468383789,1753939.0909729004,1376433.8774719238,1063857.2419433594,1010126.9606323242,95018.5260848999,1558908.745513916,1119988.7946014404,36616.4825592041
PC (40:5),1.363558693409619,10.031331728155907,6.5177969164797105,0.010680022189152115,0.5886938918592709,PC,242035.1778869629,3168704.49508667,349955.7473297119,565552.6723937988,527020.6268005371,344288.92321777344,377377.6748352051,35561.84296798706,494106.64752197266,431340.1515045166,213092.73098754883
PC (40:7),1.2540761440704147,10.499738596122075,5.542662394473155,0.018558328004628873,0.5886938918592709,PC,335456.74462890625,4511761.0785217285,480489.8512649536,649403.3583068848,666096.8873977661,527305.7916107178,557571.6177520752,38610.16279220581,670839.423034668,696864.1000061035,221513.89488220215
PC (40:8),1.3660164468816036,10.89556676788971,6.540517521323636,0.010544467005285014,0.5886938918592709,PC,426430.0277404785,6118189.226348877,598494.3053283691,965909.6819152832,921250.1363525392,641225.174987793,711345.0379333496,59751.22533416748,871231.815612793,839428.156539917,207526.0332107544
PCo(36:2),1.4026151872139536,11.732260186247847,6.8828017661711804,0.00870290340626689,0.5886938918592709,PC,635699.3931884766,12751387.26651001,913944.4206237792,1136731.0454711914,1238618.6779632568,1340414.889831543,1292423.7257995603,46004.382720947266,1271560.2971038818,1657567.7111816406,38455.08250427246
PCo(36:3),1.3705722403248626,11.719850654909612,6.582705315466939,0.010297427231303039,0.5886938918592709,PC,660776.5511627197,12378989.3203125,1010021.8703536988,1133780.823303223,1221524.8397216797,1465749.753326416,1218300.186187744,46478.16384887695,1294465.305633545,1608316.1299438477,43695.343101501465
PCo(36:4),1.3628081219801293,11.706370908071625,6.510892180552354,0.010721570189704582,0.5886938918592709,PC,641946.6665344238,12099501.333770752,1069056.6254730225,1156657.224822998,1258096.15965271,1452391.4240722656,1183917.1985473633,43359.882736206055,1302595.547302246,1624021.5845031738,40222.52314758301
PCo(36:5),1.2913580097059836,11.665634308364753,5.866711192048843,0.015429851934777035,0.5886938918592709,PC,613445.4532165527,11625574.725616455,942188.9007873536,1128847.356414795,1244399.408065796,1389109.3690490725,1244042.1209106443,43599.642890930176,1305382.796295166,1673261.8927001953,41151.06303405762
PCo(38:6),1.2198170901274348,10.427121917731203,5.252310534277058,0.021917649002440764,0.5886938918592709,PC,249902.69981384277,4801410.91015625,423907.3187942505,486641.59463500977,515526.0128479004,611579.4259338379,585147.9164428711,36059.862968444824,550866.4632263184,676423.6957397461,37020.86282348633
PCo(40:0),1.2555893924310804,10.493710400373528,5.555651567930909,0.01842111506728209,0.5886938918592709,PC,336733.4436645508,4509558.5545043945,483440.14724731445,625521.7972106934,660986.4828948975,568625.840057373,537640.9997940063,37510.562480926514,644759.9307098389,684844.071472168,221136.15353393555
PCo(40:1),1.3601987082041338,10.89779351049749,6.486829061934259,0.01086766585306741,0.5886938918592709,PC,431233.21270751953,6162937.680435181,625124.6346054077,921325.9003601074,881592.9798126221,669111.9272842407,706888.7476196289,53432.164306640625,845675.1934967041,859522.4064178467,219818.29401397705
PCp(36:5),1.3091447837362924,11.70918639145134,6.024239726502884,0.014110708693302332,0.5886938918592709,PC,676848.2344055176,12187104.569335938,917633.7925720216,1130105.3331604004,1176226.067138672,1425499.0823059082,1271815.565979004,44896.06391143799,1328451.0096740725,1706374.0869140625,41386.5419921875
PG (38:2),1.3202960501885361,7.902177322534223,6.123835336781667,0.013337112483662112,0.5886938918592709,PG,108241.3465576172,473480.49029541016,134099.6678466797,195278.03314208984,160892.6131591797,43362.363021850586,130693.92932128906,19836.72134399414,110809.54754638672,83248.826171875,48587.86279296875
PI (38:4),1.3235595649527054,10.716090060227561,6.1532819012209075,0.013116847257139037,0.5886938918592709,PI,358304.6840209961,5697146.599731445,487689.34841918945,799294.29541015625,727740.4931640625,50485.063762664795,834440.9158935547,9794.500679016111,1128805.135848999,961774.7897338868,33924.32278442383
PI (38:6),1.2920412715176248,7.770433522488968,5.8725905322535255,0.015378405621799228,0.5886938918592709,PI,82134.625732421875,504326.20782470703,107226.1079711914,132818.2098083496,151443.10989379883,32778.88238143921,122441.4691772461,17289.701210021973,95292.92694091795,91899.46667480467,46680.34298706055
SM (d16:1/22:1),1.2577614690038876,12.087629857732223,5.574329300306829,0.018225644225764462,0.5886938918592709,SM,787470.04638671875,16042500.32458496,1222085.2166748047,1322755.6619873047,1378029.596206665,1947161.8707885745,1767955.6807861328,56256.7244720459,1659127.9621582031,2273597.4733581543,37677.30290222168
SM (d16:1/24:0),1.227311751113078,10.47107733913656,5.3152194390422665,0.021139931166577468,0.5886938918592709,SM,290274.3411254883,4987218.501617432,423728.8678894043,456328.27490234375,522513.02920532227,640452.7800292969,598282.5404510498,31146.86208343506,575681.86279296875,686202.8389282227,37166.00288391113
SM (d16:1/24:1),1.4206421917668381,11.222349854488206,7.054246020503342,0.00790775863662839,0.5886938918592709,SM,456118.1713562012,8963254.766998291,709499.6649627686,779349.3681640625,827770.094039917,969097.796142578,962537.433883667,34826.30319976807,841138.3558654785,1085983.7479858398,37923.60176086426
SM (d18:0/20:0),1.4249356472386974,11.744055100017311,7.095358232860509,0.007728384316074606,0.5886938918592709,SM,608658.4636535645,12972161.630126951,1001449.9672851562,1118465.8458251953,1193372.7640686035,1419877.01953125,1209397.158203125,46360.02328491211,1273527.449142456,1628841.8686523438,40929.26272583008
SM (d18:1/20:0),1.3452850593502008,11.720575988194867,6.35011349757972,0.011737378835511517,0.5886938918592709,SM,655190.8738708496,12297736.651062012,1014944.2344360352,1103331.5830688477,1267584.3840942385,1392916.0263061523,1322780.9508666992,45775.30305480957,1258626.8468933103,1702759.6933288574,34164.04275512695
SM (d18:2/22:1),1.2639204015035577,12.361278237941626,5.627419659614688,0.01768164047533896,0.5886938918592709,SM,1056576.8041687012,18391337.112609863,1582565.585784912,1915104.4025878904,2094455.1787109375,2281397.798187256,1950745.115814209,69806.86447143555,2204717.4811706543,2786987.816253662,39624.08305358887
SM (d18:2/24:1),1.220594815940547,11.391816667125724,5.258831794701109,0.02183567065531368,0.5886938918592709,SM,614607.3165588379,7996700.281463623,835013.3462677002,1734485.5180664062,1369946.0552368164,981419.563812256,1029593.3963928224,107579.7089691162,1568589.759918213,1115480.6082305908,77614.48603820801
TAG(56:6)_FA 16:0,1.2695892351607316,7.81875780049094,5.6763436430092025,0.01719516548702575,0.5886938918592709,TAG,69588.86447143555,630807.814239502,86311.2657623291,133964.8097229004,115811.92785644533,66715.10494995117,56572.7643737793,65414.6848449707,78465.86489868164,65645.20449829102,28520.901596069336
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",-1.1931487126704572,9.197112430449081,5.0312197209696015,0.024894360546795655,0.6239015874765195,CE,185224.33242797852,288059.8182067871,258973.9764404297,218629.17308807373,95617.1079788208,498600.83795166016,542809.4772644043,318725.1033630371,552400.2912902832,94015.80750274658,224405.7758178711
PC (38:3),1.192198788547688,11.390720084759193,5.02346539204882,0.025006075650361503,0.6239015874765195,PC,620858.499206543,7816160.118347168,846566.3328552246,1709095.600189209,1413220.151596069,949413.2244262696,1052499.165222168,100276.1467590332,1576680.2421264648,1178898.9043884275,131699.63079833984
PCo(36:1),1.1949397830809543,11.742995586670077,5.045970097822128,0.024683282547730234,0.6239015874765195,PC,650192.1107940674,11966178.162261965,1046377.6748352052,1173963.1620788574,1244106.0744018557,1517637.1856384275,1308699.344909668,59621.283210754395,1477874.3008422852,1880448.371459961,43135.74341201782
PI (38:5),1.2003653851119884,8.65916365501927,5.090597133526899,0.024055907177392383,0.6239015874765195,PI,134137.92880249023,1174254.846496582,153558.68927001953,189538.533203125,193860.15155029297,23458.64168548584,228410.59466552737,9685.060707092283,262300.5955505371,221383.09547424316,31828.921997070312
PC (36:0); PCp(38:6)_2,1.1808457392931653,10.33498043915182,4.930740133699146,0.02638301533694308,0.637022160635545,PC,266564.74310302734,4385001.407592773,398814.83627319336,456085.11933898926,504190.73516845703,577410.3676300049,533921.7199401855,33312.14247131348,524585.4631958008,682445.1289215088,36498.38232421875
PCo(36:0),1.183624664130514,11.854569168790523,4.953372284947321,0.026039827623303445,0.637022160635545,PC,753473.3560180664,12863804.369506836,1070536.8307800293,1296837.3340454102,1338363.0514831543,1676545.3081970215,1493610.8979797363,50674.84262084961,1548699.8108825684,2026302.675994873,40853.54264831543
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",-1.1584792721499195,9.261864679796307,4.750387144227715,0.029291703640362453,0.6448482404356264,CE,200000.09326171875,302431.44108581543,274596.4970703125,227412.97649383545,99282.3278427124,507301.7349853515,540377.458404541,337561.1262207031,573815.3596115112,101688.64781570436,254542.46154785156
PC (36:0); PCp(38:6),1.1687980551389596,10.353105505848518,4.833222504789774,0.02791640463529713,0.6448482404356264,PC,259913.45834350583,4415483.768127441,404203.798538208,501732.61752319336,490324.3750457764,608937.5494232178,536617.1040496826,30348.1622467041,512936.7006225586,704872.9450454712,40671.02262878418
PI (38:3),1.1605743262532595,7.830562029279958,4.767086399074287,0.02900887934384452,0.6448482404356264,PI,71037.14511108398,613214.9002075195,93223.74716186523,130455.16806030272,111191.0869140625,20407.881381988525,127588.16954040527,9886.040584564207,138834.08920288086,121236.50743103027,29888.84211730957
PIo (20:5),1.1630316408651957,8.87829469430014,4.78681790939936,0.028678360900246995,0.6448482404356264,PI,401664.26306152344,404593.89099121094,337387.61834716797,109972.3669090271,347691.3250427246,72706.32482910156,332578.3630371094,26987.401443481445,74784.7271232605,185316.65365600583,477581.294921875
SM (d18:0/22:0),1.1641795858375834,10.33682097415395,4.796077157268883,0.028524615052313906,0.6448482404356264,SM,260827.1423034668,4333278.241638184,405253.45025634766,489325.9677886963,504569.9276123047,550533.756439209,546255.8961029053,29879.12171936035,558161.6658630371,695338.3066558838,41125.7625579834
TAG(56:7)_FA 16:1,1.1697676049239967,7.818396850828884,4.840925678759504,0.027791972795447394,0.6448482404356264,TAG,68317.0446472168,618845.5997924805,84132.98573303223,127704.76834106444,115706.78814697266,79119.62557983398,56414.70413208008,68458.72547912598,76198.1852722168,67863.26454162598,28556.76222229004
PC (40:6),1.15494893199577,10.236039136628337,4.7222318453132175,0.029775073105816553,0.6459896295566286,PC,289096.29914855957,3571787.775604248,399761.713722229,551383.0026092529,564294.975769043,482976.9560699463,484574.97019577026,34112.822608947754,558778.6848907471,598694.6440048218,221396.63761138916
PC (38:5),1.1490510713887252,11.366724967699676,4.67533840679971,0.030598673717046578,0.6543744936345532,PC,584598.2369689941,7666555.805725098,871086.1785736084,1746017.4396362305,1319873.819519043,1000440.7562866212,1063915.464263916,99053.1286468506,1584955.8664093018,1162575.3454589844,32916.36234664917
PE (20:2),1.1299890457128863,9.626599153020264,4.525202098840957,0.0333991305934814,0.7042042042034036,PE,1368674.7342529297,827681.9338989258,523939.77880859375,5537.920436859131,393604.2275390625,600374.3332519531,439803.27587890625,41501.74253845215,1588.880107879639,316270.2826690674,80346.5669555664
PCo(38:5),1.1202427075300763,10.362148435029424,4.449341532643302,0.034914706801853754,0.7259349455885427,PC,266277.3796081543,4331138.375457764,427528.1547393799,477221.42253112793,539998.6547393799,589923.3050842285,581181.336807251,29848.462032318115,570746.0672149658,703543.906326294,36144.08254241943
TAG(58:8)_FA 18:2,1.1077062836212264,7.4684106716301075,4.352490012573071,0.036954877723078136,0.7578281089239448,TAG,52776.06362915039,438194.1513366699,75212.00527954102,97437.52662658691,107896.04760742188,68225.02462768555,47634.10314941406,52753.10417175293,59055.924072265625,50684.44421386719,34942.66258239746
PC (36:1),1.099051984195513,10.342905448267334,4.286430657695746,0.03841773787888829,0.7771804541175104,PC,267520.6982116699,4257458.500793457,410542.6410827637,476557.8649291992,519122.6141357422,585485.858581543,571128.4786071777,29771.36269378662,570017.9784545898,709561.9246673584,38418.34245300293
PI (36:3),1.096057710426413,7.8050642058969535,4.263555863984948,0.03893833337474052,0.7772091341598208,PI,85260.04669189453,264521.796875,210477.9165649414,223532.67498779297,156284.70867919922,32795.462352752686,117985.54748535156,14405.561016082764,132298.41046142578,109125.50680541992,57282.94403076172
PC (34:3),1.0921861547333398,12.419381097238867,4.234259795435129,0.039615894525764576,0.7803288698035469,PC,907888.7071533204,19383231.46862793,1467655.251373291,1773161.9710388184,1701044.7861328125,2591436.0328674316,2363891.7829589844,62258.02487182617,2364359.4662475586,3140575.685760498,42642.14239501953
Lyso_PE(20:2),1.0798479215326018,8.11572394763159,4.141169916130821,0.04185223480740609,0.7831599438335863,PE,497813.8829345703,318945.0990600586,195583.09620666504,4073.6602478027344,34685.04236602783,232311.51440429688,193570.87606811523,24860.721908569336,1707.560115814209,28796.80209350586,60406.58558654785
PC (40:9),1.0860522287609349,11.063472790730453,4.187897161486033,0.0407135686177085,0.7831599438335863,PC,533984.2189331055,5480465.393005371,732699.352935791,1603460.6638183594,1186885.8532562256,779031.0030212402,830082.9394989014,103123.38779067992,1416058.2973175049,893497.7504272461,202017.2525405884
PCo(40:2),1.0819843418688584,11.059912192420333,4.1572816191983275,0.04145588650758863,0.7831599438335863,PC,538514.3031921387,5366806.982116699,731096.2282867432,1607732.6070404053,1252283.0160369873,776825.2399139404,841557.0335998535,95251.76713562012,1422464.0228347778,891184.3437194824,202543.53397369385
TAG(58:7)_FA 18:1,1.0851498985030883,7.456811963720488,4.180963174104022,0.0408804615108822,0.7831599438335863,TAG,51913.52391052246,438581.90911865234,69730.80471801758,97224.70764160156,102954.50741577148,65500.78405761719,49036.64324951172,53295.243560791016,61932.36444091797,48667.62344360352,36611.28298950195
Lyso_PI(20:2) | PI (20:2),1.0624029082640856,9.696098812031767,4.011362591751094,0.04519461163305308,0.8054325430319103,PI,1003061.4029541016,942263.7373657228,672845.5310821533,248946.3592224121,501401.5224761963,25468.841903686523,703901.0188293457,12576.040897369385,368552.2669143677,531503.3065948486,67286.24493408203
Lyso_PI(20:2) | PI (20:2)_2,1.0687197580527008,9.70297558798844,4.058164384376141,0.04395825887907625,0.8054325430319103,PI,1007710.8746337892,945370.1643676758,679754.2737121582,249093.87591552737,509448.3409729004,28168.38198852539,700995.2515869141,12686.380825042725,365697.48373413086,537563.7187347412,65474.80474853515
PC (34:4),1.0633585963338896,12.347589698558844,4.018441192387559,0.045005292057911525,0.8054325430319103,PC,907231.9483032228,17858137.23461914,1460516.994598389,1774699.7514038086,1810527.606201172,2593891.733215332,2182887.515686035,66044.54438781738,2359206.197570801,2929873.885848999,42724.80323791504
SM (d18:2/20:1),1.066635562379759,12.361140209481906,4.042708434220106,0.044362569906039595,0.8054325430319103,SM,898888.7593383789,18341045.59020996,1333036.1792907715,1693331.7608947754,1811811.1926879885,2570134.7602539062,2237583.9177246094,81876.80433654785,2354503.1831054688,2960454.59072876,39032.083572387695
PE (36:1),1.047599484854442,8.879896872442613,3.9026599341268593,0.04820972205425685,0.8490582813555589,PE,134731.98907470703,1244609.780517578,172173.63153076172,283695.4572753906,227267.65991210935,209622.63342285156,184384.55267333984,37456.582973480225,219241.75799560547,223314.9158935547,60567.34436035156
PC (40:10),1.0288685278797558,11.015390489655625,3.767180615225243,0.052267663913151116,0.8983715851922929,PC,483116.81716918945,5147762.196105957,700965.8958587646,1630082.332977295,1149692.1485290527,759703.5677032471,848570.2675170898,106903.5273513794,1413595.9789123535,864567.3347625732,197675.9581604004
PCo(38:2),1.0264597807128006,11.196713177476873,3.749918494180747,0.05281008650428976,0.8983715851922929,PC,510138.0451965332,6597147.884643555,721171.741394043,1545484.365692139,1161990.4734802246,953455.445465088,969023.2352905272,88204.74746704102,1515114.8306427002,1099549.5719451904,35277.522384643555
SM (d18:1/24:1)15Z)),1.0298419846044684,11.12837709047691,3.7741686055196624,0.05204976170707271,0.8983715851922929,SM,535649.5189208984,5938858.217346191,736245.4084472656,1517174.514465332,1179319.0237426758,879806.6069946289,944257.7020568848,112168.26585388184,1436828.6246643066,957222.9588623048,164868.83058166504
PCo(40:3),1.0180704827128904,11.004948587957173,3.6900823903579276,0.054736912342498424,0.9206871660305633,PC,518166.7937011719,4999622.1201171875,705671.0090179443,1636029.7872924805,1154704.4332885742,731496.8892211914,858596.5847625732,104908.78936386108,1419485.6428222656,878470.9055175781,188046.9947052002
