lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD100-M2-5xFAD-diencephalon10x_01202023,DOD100-M3-5xFAD-diencephalon10x_01202023,DOD99-M1-5xFAD-diencephalon10x_01202023,M1FAD173-5xFAD-Diencephalon10x_01182023,M2FAD173-5xFAD-Diencephalon10x_01192023,DOD100-M1-WT-diencephalon10x_01202023,DOD99-M2-WT-diencephalon10x_01202023,M5FAD173-WT-Diencephalon10x_01192023,10xBlank_01202023
C24:6,-2.9580353264058137,6.941859225849114,34.24421669180629,4.861179222234916e-9,7.277185295685669e-6,5,3,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ diencephalon,FA,14206.14096069336,11297.280799865724,13010.440864562988,47410.3631439209,12029.120834350586,14413.2610206604,13877.68102645874,415605.2879180908,15041.60111618042
22:3 Campesteryl ester,2.411617216392478,10.83006287146407,18.245593420651858,1.9417464070975926e-5,0.014533971857125481,5,3,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ diencephalon,CE,4006962.4003601074,2313333.353652954,1145395.0406341553,463608.8536758423,215819.47241592407,427643.9084777832,345265.1865081787,99418.78695678712,78485.72638702393
22:2 Campesteryl ester,2.3371218954362454,10.598081199036304,17.27636726408673,3.2318142961467234e-5,0.01612675333777215,5,3,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ diencephalon,CE,3415261.498123169,1941418.5549240112,950963.794708252,341881.02141952515,226201.9358673096,366085.0646057129,299380.28102111816,109228.78860855104,80835.36569976807
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",2.2449912874272013,10.924822959216995,16.102030201058373,6.001965902171046e-5,0.01796988591110011,5,3,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ diencephalon,CE,4193570.23059082,2436225.9285354614,1227538.8339004517,487762.71195983887,245699.79766082764,491573.2315979004,408879.0844268799,132412.4898223877,79871.64535522461
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",2.264133806028745,10.939412447486191,16.34376485859684,5.282968608103774e-5,0.01796988591110011,5,3,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ diencephalon,CE,4263195.970428467,2450399.517211914,1237139.4935913086,480094.9753990173,260850.21912384036,483708.2539367676,420318.2272872925,128342.92868804932,78654.8657836914
"Cholesteryl 11-hydroperoxy-eicosatetraenoate, 22:2 Cholesteryl ester, 20:1 Stigmasteryl ester, 20:2 Sitosteryl ester",2.200091037545228,10.952338134626705,15.539815283525964,8.078568977892896e-5,0.020156029599842775,5,3,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ diencephalon,CE,4335094.217636108,2424601.445907593,1214155.489013672,473240.09295654297,260224.8973274231,508719.3950653076,431463.2315979004,140062.0503730774,95162.20687866212
PS (32:5),2.1693743021223373,7.969843971354317,15.158559392150892,9.884917886830147e-5,0.021139602966549615,5,3,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ diencephalon,PS,34273.522399902344,65589.324462890625,26214.4017868042,45109.22280883789,718289.7510681152,25751.381797790527,50682.403869628906,56235.723724365234,43834.64358520508
"ecdysone palmitate, 22:3 Cholesteryl ester, 20:2 Stigmasteryl ester, 20:3 Sitosteryl ester",1.969797258885006,11.041896541786802,12.767432342079701,3.5270665491194954e-4,0.06600023280039856,5,3,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ diencephalon,CE,4266531.996337891,2546012.7651367188,1304348.4512939453,547096.079498291,299023.34020996094,607827.5447998047,525964.3529052734,172992.2515258789,186491.7528076172
PG (32:5),1.789532132466147,8.1293724147133,10.737554770144925,0.0010498296427517216,0.17462166391103637,5,3,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ diencephalon,PG,56995.0637512207,66687.0654296875,55179.38348388672,45016.04336547852,738903.2070922852,69036.98474121094,59599.624603271484,56953.10424804688,52170.14404296875
20:0 Campesteryl ester,1.675827924303307,11.22954026062608,9.526999981200788,0.0020247082024084564,0.257078710130187,5,3,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ diencephalon,CE,4539166.369384766,2738800.2377929688,1488004.1958007812,631150.6455078125,367630.4270629883,792573.4987792969,704186.2043457031,251567.6792602539,317584.8635253906
22:5 Cholesteryl ester,1.6664029657064579,11.246694978779322,9.429155053163415,0.0021356266462324875,0.257078710130187,5,3,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ diencephalon,CE,4551026.404541016,2730467.060913086,1502246.861694336,666926.9046630859,385240.2494506836,781182.6794433594,727029.6968994141,266388.83935546875,343852.4637451172
22:6 Cholesteryl ester,1.6585415525837517,11.222214925316479,9.347843160008779,0.0022324804486923387,0.257078710130187,5,3,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ diencephalon,CE,4458070.431640625,2715212.2209472656,1491101.0864257812,645550.1623535156,377736.9682617188,792286.6184082031,704965.5673828125,258944.73635864255,318345.9444580078
Cholesteryl nitrolinoleate,1.6643577037162935,11.196080139944318,9.40797302458668,0.002160439264983231,0.257078710130187,5,3,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ diencephalon,CE,4343857.308349609,2643083.231811523,1497477.1091308594,648281.0699462891,371760.6458129883,763013.3603515625,696839.2486572266,257479.65899658203,321258.66369628906
20:1 Campesteryl ester,1.6282145372035615,11.158685459275198,9.036758783360712,0.002646043592107657,0.2829376612417973,5,3,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ diencephalon,CE,4235422.83215332,2598765.4096679688,1407519.564819336,627173.1862182617,362508.36560058594,774650.533203125,688702.3489990234,246157.97802734372,310572.0031738281
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",1.6073033886890788,11.269590326850812,8.824683405138783,0.0029718294799176144,0.29658858209577793,5,3,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ diencephalon,CE,4550953.7470703125,2741932.9650878906,1526239.79296875,680709.7716064453,397991.8699951172,825638.33642578125,752051.27490234375,282835.4387817383,370215.2233886719
Lyso_PS(20:2) | PS (20:2)_2,-1.4365904481453662,9.314976388234147,8.393835505055904,0.003764956288720774,0.35225872276343745,5,3,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ diencephalon,PS,46689.10316467285,179667.1521911621,37053.30271530152,112781.94929504396,648257.723526001,162181.99141311646,1324859.714050293,366582.3260498047,80939.62471008301
Lyso_PS(20:2) | PS (20:2),-1.3581211470778212,9.277710546995973,7.500142295379192,0.006169411849958731,0.5432711493757777,5,3,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ diencephalon,PS,42399.16296386719,180643.97396850583,38200.62283706665,115447.36895751952,654891.6980895996,53945.304470062256,1309739.403869629,406250.045715332,78611.82608032227
"lanosteryl oleate, 20:2 Campesteryl ester",1.3678497121206785,10.936536184687949,6.54349064946291,0.010526859809022114,0.8754838407836726,5,3,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ WT | Brain Region_ diencephalon,CE,3263123.1767578125,2069157.8939208984,1236304.8525390625,569448.6436157227,348855.00384521484,741519.9050292969,679613.8065185547,246037.3568725586,399176.990234375
