Lipid,Class,DOD93_F4_Female_5xFAD_cortex ,DOD94_F4_Female_5xFAD_cortex ,DOD94_F3_Female_WT_cortex ,FAD184_F3_Female_WT_cortex ,FAD184_F4_Female_WT_cortex ,Blank_Blank_Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
CAR(14:0),CAR,352516.32289886475,355747.00621795654,348522.6434059143,359881.06538009644,346274.64430618286,372286.3051757813,Genotype: 5xFAD | Brain Region: cortex  | Sex: Female,Genotype: WT | Brain Region: cortex  | Sex: Female,Genotype: 5xFAD__Brain Region: cortex __Sex: Female vs Genotype: WT__Brain Region: cortex __Sex: FemaleAveraging_All_Across_methods2,2,3,Blank_Blank_Blank_Blank_Blank
CAR(14:0)_QUAL,CAR,767989.5547332764,756529.673248291,744998.4352416992,772035.891960144,743653.8512954712,886736.28125,Genotype: 5xFAD | Brain Region: cortex  | Sex: Female,Genotype: WT | Brain Region: cortex  | Sex: Female,Genotype: 5xFAD__Brain Region: cortex __Sex: Female vs Genotype: WT__Brain Region: cortex __Sex: FemaleAveraging_All_Across_methods2,2,3,Blank_Blank_Blank_Blank_Blank
CAR(14:1),CAR,354174.50399017334,365205.88707733154,355140.1877403259,366563.72498703,356826.54473495483,368998.5258789063,Genotype: 5xFAD | Brain Region: cortex  | Sex: Female,Genotype: WT | Brain Region: cortex  | Sex: Female,Genotype: 5xFAD__Brain Region: cortex __Sex: Female vs Genotype: WT__Brain Region: cortex __Sex: FemaleAveraging_All_Across_methods2,2,3,Blank_Blank_Blank_Blank_Blank
CAR(14:1)_QUAL,CAR,814000.9125061035,762916.4165306091,744259.6683273315,776833.9528961182,752968.1960601807,902707.2607421876,Genotype: 5xFAD | Brain Region: cortex  | Sex: Female,Genotype: WT | Brain Region: cortex  | Sex: Female,Genotype: 5xFAD__Brain Region: cortex __Sex: Female vs Genotype: WT__Brain Region: cortex __Sex: FemaleAveraging_All_Across_methods2,2,3,Blank_Blank_Blank_Blank_Blank
CAR(14:2),CAR,379257.40713500977,390155.8661003113,374163.9449691773,395916.17125701904,389661.7878799439,397565.6098632813,Genotype: 5xFAD | Brain Region: cortex  | Sex: Female,Genotype: WT | Brain Region: cortex  | Sex: Female,Genotype: 5xFAD__Brain Region: cortex __Sex: Female vs Genotype: WT__Brain Region: cortex __Sex: FemaleAveraging_All_Across_methods2,2,3,Blank_Blank_Blank_Blank_Blank
CAR(14:2)_QUAL,CAR,807545.179107666,791702.0143814087,767973.9305114746,807015.7537155151,799562.6788711548,898668.984375,Genotype: 5xFAD | Brain Region: cortex  | Sex: Female,Genotype: WT | Brain Region: cortex  | Sex: Female,Genotype: 5xFAD__Brain Region: cortex __Sex: Female vs Genotype: WT__Brain Region: cortex __Sex: FemaleAveraging_All_Across_methods2,2,3,Blank_Blank_Blank_Blank_Blank
CAR(16:0),CAR,254972.17778015137,252360.7569503784,251302.79752731323,257439.0177116394,254987.4772911072,283562.0600585937,Genotype: 5xFAD | Brain Region: cortex  | Sex: Female,Genotype: WT | Brain Region: cortex  | Sex: Female,Genotype: 5xFAD__Brain Region: cortex __Sex: Female vs Genotype: WT__Brain Region: cortex __Sex: FemaleAveraging_All_Across_methods2,2,3,Blank_Blank_Blank_Blank_Blank
CAR(16:0)_QUAL,CAR,750047.2343788147,727270.5544624329,695143.8098487854,732082.8132858276,745552.4319190979,743383.630859375,Genotype: 5xFAD | Brain Region: cortex  | Sex: Female,Genotype: WT | Brain Region: cortex  | Sex: Female,Genotype: 5xFAD__Brain Region: cortex __Sex: Female vs Genotype: WT__Brain Region: cortex __Sex: FemaleAveraging_All_Across_methods2,2,3,Blank_Blank_Blank_Blank_Blank
CAR(16:1),CAR,243783.21682357788,245360.19734191892,240792.1379928589,251715.1997642517,250094.41779708865,271161.9794921875,Genotype: 5xFAD | Brain Region: cortex  | Sex: Female,Genotype: WT | Brain Region: cortex  | Sex: Female,Genotype: 5xFAD__Brain Region: cortex __Sex: Female vs Genotype: WT__Brain Region: cortex __Sex: FemaleAveraging_All_Across_methods2,2,3,Blank_Blank_Blank_Blank_Blank
CAR(16:1)_QUAL,CAR,704960.151763916,705393.8503189087,676417.1706314087,725311.6316871643,731428.8098487854,740003.9345703125,Genotype: 5xFAD | Brain Region: cortex  | Sex: Female,Genotype: WT | Brain Region: cortex  | Sex: Female,Genotype: 5xFAD__Brain Region: cortex __Sex: Female vs Genotype: WT__Brain Region: cortex __Sex: FemaleAveraging_All_Across_methods2,2,3,Blank_Blank_Blank_Blank_Blank
