Unnamed: 0,Class,Intensity,Lipid,Parent_Ion,Product_Ion,Sample_ID,Transition
735,TAG,35534.302463531494,"[TG(55:8),TG(54:1)]_FA18:1",906.8,607.5,11282023_FAD184_F3_WT_cereb_O3on_01,906.8 -> 607.5
736,TAG,23872.921710968018,"[TG(55:7),TG(54:0)]_FA16:1",908.9,637.6,11282023_FAD184_F3_WT_cereb_O3on_01,908.9 -> 637.6
737,TAG,23935.66171646118,"[TG(56:11),TG(55:4)]_FA18:1",914.8,615.5,11282023_FAD184_F3_WT_cereb_O3on_01,914.8 -> 615.5
738,TAG,24351.46172714233,"[TG(56:10),TG(55:3)]_FA18:1",916.8,617.5,11282023_FAD184_F3_WT_cereb_O3on_01,916.8 -> 617.5
739,TAG,25639.901809692383,"[TG(56:7),TG(55:0)]_FA18:1",922.9,623.6,11282023_FAD184_F3_WT_cereb_O3on_01,922.9 -> 623.6
740,TAG,23873.041690826416,"[TG(56:7),TG(55:0)]_FA16:1",922.9,651.6,11282023_FAD184_F3_WT_cereb_O3on_01,922.9 -> 651.6
741,TAG,24712.981719970703,[TG(56:6)]_FA18:1,924.8,625.5,11282023_FAD184_F3_WT_cereb_O3on_01,924.8 -> 625.5
742,TAG,26127.18186569214,"[TG(57:12),TG(56:5)]_FA18:1",926.8,627.5,11282023_FAD184_F3_WT_cereb_O3on_01,926.8 -> 627.5
743,TAG,25835.241821289062,"[TG(57:11),TG(56:4)]_FA18:1",928.8,629.5,11282023_FAD184_F3_WT_cereb_O3on_01,928.8 -> 629.5
744,TAG,25114.20178985596,"[TG(57:10),TG(56:3)]_FA18:1",930.6,631.5,11282023_FAD184_F3_WT_cereb_O3on_01,930.6 -> 631.5
745,TAG,30280.762134552,"[TG(57:9),TG(56:2)]_FA18:1",932.9,633.6,11282023_FAD184_F3_WT_cereb_O3on_01,932.9 -> 633.6
746,TAG,24421.04168701172,"[TG(58:7),TG(57:0)]_FA18:1",950.9,651.6,11282023_FAD184_F3_WT_cereb_O3on_01,950.9 -> 651.6
747,TAG,23791.28169631958,"[TG(59:13),TG(58:6)]_FA18:1",952.8,653.5,11282023_FAD184_F3_WT_cereb_O3on_01,952.8 -> 653.5
748,TAG,24101.56172180176,"[TG(59:12),TG(58:5)]_FA18:1",954.8,655.5,11282023_FAD184_F3_WT_cereb_O3on_01,954.8 -> 655.5
749,TAG,24016.301712036133,"[TG(59:11),TG(58:4)]_FA18:1",956.9,657.6,11282023_FAD184_F3_WT_cereb_O3on_01,956.9 -> 657.6
750,,25193.10181427002,,584.4,437.3,11282023_FAD184_F3_WT_cortex_O3on_01,584.4 -> 437.3
751,,25052.40180206299,,612.4,437.3,11282023_FAD184_F3_WT_cortex_O3on_01,612.4 -> 437.3
752,,24195.68173599243,,622.5,503.4,11282023_FAD184_F3_WT_cortex_O3on_01,622.5 -> 503.4
753,,23957.02169418335,,624.5,505.4,11282023_FAD184_F3_WT_cortex_O3on_01,624.5 -> 505.4
754,,26859.50191116333,,626.5,437.3,11282023_FAD184_F3_WT_cortex_O3on_01,626.5 -> 437.3
755,,24090.081665039062,,650.5,503.4,11282023_FAD184_F3_WT_cortex_O3on_01,650.5 -> 503.4
756,,23953.84169387817,,652.5,505.4,11282023_FAD184_F3_WT_cortex_O3on_01,652.5 -> 505.4
757,,25079.44176864624,,654.5,437.3,11282023_FAD184_F3_WT_cortex_O3on_01,654.5 -> 437.3
758,,24008.861652374268,,664.6,503.4,11282023_FAD184_F3_WT_cortex_O3on_01,664.6 -> 503.4
759,,23959.46166229248,,666.6,505.4,11282023_FAD184_F3_WT_cortex_O3on_01,666.6 -> 505.4
760,,24271.14170455933,,692.6,503.4,11282023_FAD184_F3_WT_cortex_O3on_01,692.6 -> 503.4
761,,30816.062213897705,,694.6,505.4,11282023_FAD184_F3_WT_cortex_O3on_01,694.6 -> 505.4
762,,24779.041759490967,,694.6,547.5,11282023_FAD184_F3_WT_cortex_O3on_01,694.6 -> 547.5
763,,23877.32166671753,,702.5,583.4,11282023_FAD184_F3_WT_cortex_O3on_01,702.5 -> 583.4
764,,24089.20170211792,,714.6,567.5,11282023_FAD184_F3_WT_cortex_O3on_01,714.6 -> 567.5
765,,23889.241691589355,,716.6,571.5,11282023_FAD184_F3_WT_cortex_O3on_01,716.6 -> 571.5
766,,24168.7216796875,,718.6,599.5,11282023_FAD184_F3_WT_cortex_O3on_01,718.6 -> 599.5
767,,24291.48170471192,,722.7,547.5,11282023_FAD184_F3_WT_cortex_O3on_01,722.7 -> 547.5
768,,25332.321781158447,,730.5,583.4,11282023_FAD184_F3_WT_cortex_O3on_01,730.5 -> 583.4
769,,24146.64175415039,,730.6,583.5,11282023_FAD184_F3_WT_cortex_O3on_01,730.6 -> 583.5
770,TAG | DAG,36734.14260864258,"[TG(42:2)]_FA18:1 | DG(44:9),DG(43:2)_C18:1",736.6,437.3,11282023_FAD184_F3_WT_cortex_O3on_01,736.6 -> 437.3
771,,91353.3063697815,,736.7,547.5,11282023_FAD184_F3_WT_cortex_O3on_01,736.7 -> 547.5
772,,23810.26166534424,,742.6,567.5,11282023_FAD184_F3_WT_cortex_O3on_01,742.6 -> 567.5
773,,23834.581676483154,,744.6,571.5,11282023_FAD184_F3_WT_cortex_O3on_01,744.6 -> 571.5
774,,23941.3816947937,,744.6,583.4,11282023_FAD184_F3_WT_cortex_O3on_01,744.6 -> 583.4
775,,23825.081718444824,,744.6,597.5,11282023_FAD184_F3_WT_cortex_O3on_01,744.6 -> 597.5
