Unnamed: 0,Class,Intensity,Lipid,Parent_Ion,Product_Ion,Sample_ID,Transition
1225,,23928.321743011475,,744.6,597.5,11282023_FAD184_F4_WT_cereb_O3on_01,744.6 -> 597.5
1226,,25081.04180145264,,746.6,599.5,11282023_FAD184_F4_WT_cereb_O3on_01,746.6 -> 599.5
1227,,26886.021949768063,,746.6,599.5,11282023_FAD184_F4_WT_cereb_O3on_01,746.6 -> 599.5
1228,,24489.42171859741,,748.6,601.5,11282023_FAD184_F4_WT_cereb_O3on_01,748.6 -> 601.5
1229,,24249.241733551025,,748.6,629.5,11282023_FAD184_F4_WT_cereb_O3on_01,748.6 -> 629.5
1230,,27557.38193130493,,750.6,603.5,11282023_FAD184_F4_WT_cereb_O3on_01,750.6 -> 603.5
1231,,25825.80179977417,,752.6,605.5,11282023_FAD184_F4_WT_cereb_O3on_01,752.6 -> 605.5
1232,,25635.3818359375,,754.6,607.5,11282023_FAD184_F4_WT_cereb_O3on_01,754.6 -> 607.5
1233,,24190.701709747314,,756.7,567.5,11282023_FAD184_F4_WT_cereb_O3on_01,756.7 -> 567.5
1234,,26806.381896972656,,756.7,637.6,11282023_FAD184_F4_WT_cereb_O3on_01,756.7 -> 637.6
1235,,23797.701663970947,,758.6,583.5,11282023_FAD184_F4_WT_cereb_O3on_01,758.6 -> 583.5
1236,,23728.34164428711,,758.7,571.5,11282023_FAD184_F4_WT_cereb_O3on_01,758.7 -> 571.5
1237,,24134.34172821045,,760.7,599.5,11282023_FAD184_F4_WT_cereb_O3on_01,760.7 -> 599.5
1238,,23853.52170562744,,762.6,615.5,11282023_FAD184_F4_WT_cereb_O3on_01,762.6 -> 615.5
1239,,23925.04166030884,,764.6,617.5,11282023_FAD184_F4_WT_cereb_O3on_01,764.6 -> 617.5
1240,,24337.58170700073,,764.7,547.5,11282023_FAD184_F4_WT_cereb_O3on_01,764.7 -> 547.5
1241,,23947.24171829224,,770.7,623.6,11282023_FAD184_F4_WT_cereb_O3on_01,770.7 -> 623.6
1242,,23990.98169708252,,770.7,651.6,11282023_FAD184_F4_WT_cereb_O3on_01,770.7 -> 651.6
1243,,23938.441703796387,,772.6,583.4,11282023_FAD184_F4_WT_cereb_O3on_01,772.6 -> 583.4
1244,,23708.101696014404,,772.6,597.5,11282023_FAD184_F4_WT_cereb_O3on_01,772.6 -> 597.5
1245,,23812.06169891357,,772.6,625.5,11282023_FAD184_F4_WT_cereb_O3on_01,772.6 -> 625.5
1246,,23840.10166168213,,772.7,583.5,11282023_FAD184_F4_WT_cereb_O3on_01,772.7 -> 583.5
1247,,23954.42169189453,,774.6,599.5,11282023_FAD184_F4_WT_cereb_O3on_01,774.6 -> 599.5
1248,,24063.60173034668,,774.6,627.5,11282023_FAD184_F4_WT_cereb_O3on_01,774.6 -> 627.5
1249,TAG,24178.1617012024,[TG(45:4)]_FA16:1,774.7,503.4,11282023_FAD184_F4_WT_cereb_O3on_01,774.7 -> 503.4
1250,,23859.80166244507,,776.6,601.5,11282023_FAD184_F4_WT_cereb_O3on_01,776.6 -> 601.5
1251,,23858.761680603027,,776.6,629.5,11282023_FAD184_F4_WT_cereb_O3on_01,776.6 -> 629.5
1252,,23758.261657714844,,776.6,629.5,11282023_FAD184_F4_WT_cereb_O3on_01,776.6 -> 629.5
1253,TAG,24857.4217376709,[TG(45:3)]_FA16:1,776.7,505.4,11282023_FAD184_F4_WT_cereb_O3on_01,776.7 -> 505.4
1254,,25042.22177886963,,778.6,603.5,11282023_FAD184_F4_WT_cereb_O3on_01,778.6 -> 603.5
1255,,24014.061653137207,,778.6,631.5,11282023_FAD184_F4_WT_cereb_O3on_01,778.6 -> 631.5
1256,,25282.601753234863,,780.7,605.5,11282023_FAD184_F4_WT_cereb_O3on_01,780.7 -> 605.5
1257,,25227.90175628662,,780.7,633.6,11282023_FAD184_F4_WT_cereb_O3on_01,780.7 -> 633.6
1258,,25133.321731567383,,782.6,607.5,11282023_FAD184_F4_WT_cereb_O3on_01,782.6 -> 607.5
1259,,23871.36163711548,,784.7,567.5,11282023_FAD184_F4_WT_cereb_O3on_01,784.7 -> 567.5
1260,,23784.581645965576,,784.7,637.6,11282023_FAD184_F4_WT_cereb_O3on_01,784.7 -> 637.6
1261,,23822.84168624878,,786.7,571.5,11282023_FAD184_F4_WT_cereb_O3on_01,786.7 -> 571.5
1262,,23938.621700286865,,786.7,597.5,11282023_FAD184_F4_WT_cereb_O3on_01,786.7 -> 597.5
1263,,27502.501956939697,,788.7,599.5,11282023_FAD184_F4_WT_cereb_O3on_01,788.7 -> 599.5
1264,,26227.08185195923,,788.7,599.5,11282023_FAD184_F4_WT_cereb_O3on_01,788.7 -> 599.5
1265,,23781.18165588379,,790.6,615.5,11282023_FAD184_F4_WT_cereb_O3on_01,790.6 -> 615.5
1266,,44135.24309158325,,790.7,601.5,11282023_FAD184_F4_WT_cereb_O3on_01,790.7 -> 601.5
1267,,23885.581672668457,,790.7,629.5,11282023_FAD184_F4_WT_cereb_O3on_01,790.7 -> 629.5
1268,,23901.041667938232,,792.6,617.5,11282023_FAD184_F4_WT_cereb_O3on_01,792.6 -> 617.5
1269,,118778.34795761108,,792.7,603.5,11282023_FAD184_F4_WT_cereb_O3on_01,792.7 -> 603.5
1270,,51996.00356674194,,794.7,605.5,11282023_FAD184_F4_WT_cereb_O3on_01,794.7 -> 605.5
