Unnamed: 0,Class,Intensity,Lipid,Parent_Ion,Product_Ion,Sample_ID,Transition
1470,TAG,53536.52365875244,[TG(51:6)]_FA16:1,854.7,583.4,11282023_FAD184_F4_WT_cortex_O3on_01,854.7 -> 583.4
1471,TAG,23789.741680145264,"[TG(52:7),TG(51:0)]_FA18:1",866.8,567.5,11282023_FAD184_F4_WT_cortex_O3on_01,866.8 -> 567.5
1472,TAG,23994.981693267822,[TG(52:6)]_FA18:2,868.8,571.5,11282023_FAD184_F4_WT_cortex_O3on_01,868.8 -> 571.5
1473,,23788.641674041748,,868.8,651.6,11282023_FAD184_F4_WT_cortex_O3on_01,868.8 -> 651.6
1474,,23671.88165664673,,870.7,653.5,11282023_FAD184_F4_WT_cortex_O3on_01,870.7 -> 653.5
1475,TAG,24175.74171447754,[TG(52:5)]_FA16:1,870.8,599.5,11282023_FAD184_F4_WT_cortex_O3on_01,870.8 -> 599.5
1476,,23657.441619873047,,872.7,655.5,11282023_FAD184_F4_WT_cortex_O3on_01,872.7 -> 655.5
1477,,23660.18162536621,,874.8,657.6,11282023_FAD184_F4_WT_cortex_O3on_01,874.8 -> 657.6
1478,TAG,23864.54166412353,[TG(53:6)]_FA18:1,882.8,583.5,11282023_FAD184_F4_WT_cortex_O3on_01,882.8 -> 583.5
1479,TAG,24171.34172058105,[TG(54:6)]_FA18:1,896.8,597.5,11282023_FAD184_F4_WT_cortex_O3on_01,896.8 -> 597.5
1480,TAG,32921.82239151001,[TG(54:5)]_FA18:1,898.8,599.5,11282023_FAD184_F4_WT_cortex_O3on_01,898.8 -> 599.5
1481,TAG,56559.76415634155,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.5,11282023_FAD184_F4_WT_cortex_O3on_01,900.8 -> 601.5
1482,TAG,23752.84164428711,"[TG(55:11),TG(54:4)]_FA16:1",900.8,629.5,11282023_FAD184_F4_WT_cortex_O3on_01,900.8 -> 629.5
1483,TAG,208459.09553909305,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.5,11282023_FAD184_F4_WT_cortex_O3on_01,902.8 -> 603.5
1484,TAG,69424.18510818481,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.5,11282023_FAD184_F4_WT_cortex_O3on_01,904.8 -> 605.5
