Unnamed: 0,Class,Intensity,Lipid,Parent_Ion,Product_Ion,Sample_ID,Transition
490,,24249.541778564453,,764.7,547.5,11282023_DOD94_F3_WT_hippo_O3on_01,764.7 -> 547.5
491,,24281.381729125977,,770.7,623.6,11282023_DOD94_F3_WT_hippo_O3on_01,770.7 -> 623.6
492,,23880.78168487549,,770.7,651.6,11282023_DOD94_F3_WT_hippo_O3on_01,770.7 -> 651.6
493,,24068.14171218872,,772.6,583.4,11282023_DOD94_F3_WT_hippo_O3on_01,772.6 -> 583.4
494,,23908.28171157837,,772.6,597.5,11282023_DOD94_F3_WT_hippo_O3on_01,772.6 -> 597.5
495,,23902.881721496586,,772.6,625.5,11282023_DOD94_F3_WT_hippo_O3on_01,772.6 -> 625.5
496,,24247.241790771484,,772.7,583.5,11282023_DOD94_F3_WT_hippo_O3on_01,772.7 -> 583.5
497,,24045.42172241211,,774.6,599.5,11282023_DOD94_F3_WT_hippo_O3on_01,774.6 -> 599.5
498,,24501.80173110962,,774.6,627.5,11282023_DOD94_F3_WT_hippo_O3on_01,774.6 -> 627.5
499,TAG,24073.9217414856,[TG(45:4)]_FA16:1,774.7,503.4,11282023_DOD94_F3_WT_hippo_O3on_01,774.7 -> 503.4
500,,24043.901741027832,,776.6,601.5,11282023_DOD94_F3_WT_hippo_O3on_01,776.6 -> 601.5
501,,23977.761756896973,,776.6,629.5,11282023_DOD94_F3_WT_hippo_O3on_01,776.6 -> 629.5
502,,24054.001720428467,,776.6,629.5,11282023_DOD94_F3_WT_hippo_O3on_01,776.6 -> 629.5
503,TAG,24405.401779174805,[TG(45:3)]_FA16:1,776.7,505.4,11282023_DOD94_F3_WT_hippo_O3on_01,776.7 -> 505.4
504,,24102.161735534668,,778.6,603.5,11282023_DOD94_F3_WT_hippo_O3on_01,778.6 -> 603.5
505,,23889.78176498413,,778.6,631.5,11282023_DOD94_F3_WT_hippo_O3on_01,778.6 -> 631.5
