,Class,Intensity,Lipid,Parent_Ion,Product_Ion,Sample_ID,Transition
4900,,25438.16183853149,,824.7,607.5,11292023_FAD185_M3_5xFAD_cereb_O3on_01,824.7 -> 607.5
4901,,23917.901775360107,,826.7,651.6,11292023_FAD185_M3_5xFAD_cereb_O3on_01,826.7 -> 651.6
4902,,24125.42172241211,,826.8,637.6,11292023_FAD185_M3_5xFAD_cereb_O3on_01,826.8 -> 637.6
4903,,23891.061683654785,,828.6,653.5,11292023_FAD185_M3_5xFAD_cereb_O3on_01,828.6 -> 653.5
4904,,23899.48171615601,,830.6,655.5,11292023_FAD185_M3_5xFAD_cereb_O3on_01,830.6 -> 655.5
4905,,23923.361686706543,,832.7,615.5,11292023_FAD185_M3_5xFAD_cereb_O3on_01,832.7 -> 615.5
4906,,23777.141735076904,,832.7,657.6,11292023_FAD185_M3_5xFAD_cereb_O3on_01,832.7 -> 657.6
4907,,24912.92182159424,,834.7,617.5,11292023_FAD185_M3_5xFAD_cereb_O3on_01,834.7 -> 617.5
4908,,24275.50180053711,,840.8,623.6,11292023_FAD185_M3_5xFAD_cereb_O3on_01,840.8 -> 623.6
4909,,24371.88174438477,,840.8,651.6,11292023_FAD185_M3_5xFAD_cereb_O3on_01,840.8 -> 651.6
4910,,24115.62170791626,,840.8,651.6,11292023_FAD185_M3_5xFAD_cereb_O3on_01,840.8 -> 651.6
4911,,24074.12172317505,,842.7,625.5,11292023_FAD185_M3_5xFAD_cereb_O3on_01,842.7 -> 625.5
4912,,23997.86172103882,,842.7,653.5,11292023_FAD185_M3_5xFAD_cereb_O3on_01,842.7 -> 653.5
4913,,24052.90171051025,,844.7,627.5,11292023_FAD185_M3_5xFAD_cereb_O3on_01,844.7 -> 627.5
4914,,24116.761726379395,,844.7,655.5,11292023_FAD185_M3_5xFAD_cereb_O3on_01,844.7 -> 655.5
4915,,24374.78173828125,,846.7,629.5,11292023_FAD185_M3_5xFAD_cereb_O3on_01,846.7 -> 629.5
4916,TAG,142845.110080719,[TG(50:3)]_FA18:1,846.8,547.5,11292023_FAD185_M3_5xFAD_cereb_O3on_01,846.8 -> 547.5
4917,,25150.96184539795,,846.8,657.6,11292023_FAD185_M3_5xFAD_cereb_O3on_01,846.8 -> 657.6
